Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,220.55,223.05,220.21,222.34,532668,,,,224.1304,225.8159,226.8133,227.4332,42.476,-1.1624,-1.269,0.1066,False,6.4521,224.00893774962438,,5.535259603675412,223.9625,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,,,923811.1,,0.5766,,41.7029,,1.79,0.71,0.34,,,-0.7988,,,,-1.7904,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,217.6,220.0,215.775,218.6,768016,,,,223.6037,225.5329,226.6506,227.3453,39.3003,-1.4625,-1.3077,-0.1548,False,6.4768,223.71654632255564,,5.514199062586158,223.9625,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,,,916716.0,,0.8378,,22.5773,32.3029,1.0,1.4,1.825,,,-2.2378,,,,-5.0037,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-24,217.66,228.0,217.66,226.74,750934,,,,223.9024,225.5803,226.6524,227.3393,53.1514,-1.0316,-1.2524,0.2209,True,6.8039,223.7358587739066,,6.298881948454148,224.7575,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,,,891682.5,,0.8422,,64.2035,42.8279,9.08,1.26,0.0,,,1.2673,,,,2.8376,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,230.36,234.95,230.27,234.39,815030,,,,224.9012,225.9258,226.8056,227.4094,61.3377,-0.0719,-1.0163,0.9444,True,6.9836,224.18919385429402,,7.159660427534008,225.3625,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,,,864019.4,,0.9433,,97.3032,61.3613,4.03,0.56,0.09,,,4.2191,,,,9.4888,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-28,237.68,241.94,234.06,236.32,1055921,,,,225.9887,226.3334,226.994,227.4981,67.914,0.8347,-0.6461,1.4808,True,7.02,224.96320304982987,,8.140008140008138,228.85750000000002,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,,,895448.5,,1.1792,,79.7514,80.4194,1.36,4.26,2.26,,,4.5716,,,,10.3313,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,231.61,233.98,228.795,233.32,687044,224.732,,,226.687,226.6074,227.1193,227.556,63.0817,1.2962,-0.2577,1.5538,True,7.1482,225.22201357377764,,6.994753934549089,228.85750000000002,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,0.8891,0.0982,872082.3,938204.8,0.7878,0.7323,68.9425,81.999,1.71,0.66,2.815,68.9425,,2.9261,,,241.94,6.633,248.573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,232.65,235.03,228.52,228.66,826238,224.7575,,,226.8749,226.6879,227.1498,227.567,56.3429,1.2712,0.0481,1.2231,False,7.2618,225.45459847723882,,6.8853587763733834,228.85750000000002,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,0.6762,0.0985,871868.6,902328.2,0.9477,0.9157,52.1528,66.9489,3.99,2.38,0.14,52.1528,,0.7868,,,241.94,1.7851,243.7251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-03,233.37,240.895,232.84,239.8,845406,225.371,,,228.1058,227.2021,227.4003,227.6887,69.1291,2.1258,0.4636,1.6622,True,7.4346,225.96717692018981,,7.6860258442619,228.85750000000002,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,1.0582,0.1147,781796.2,891097.5,1.0814,0.9487,91.8211,70.9721,6.43,1.095,0.53,92.2897,,5.1266,,,241.94,11.6942,253.6342,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,245.55,250.83,245.0,248.88,1531377,226.6235,,,230.0843,228.0522,227.8257,227.8996,71.654,3.4955,1.07,2.4255,True,7.8475,227.51963300259203,,8.19187184271606,233.3025,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,1.1695,0.1467,857968.9,918292.35,1.7849,1.6676,94.4373,79.4704,3.33,1.95,0.55,94.6787,,8.169,,,250.83,18.7957,269.6257,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-05,247.69,252.99,247.6,248.24,1084703,227.911,,,231.8134,228.8439,228.2299,228.102,69.8314,4.4777,1.7516,2.7262,True,7.8825,228.55909484782546,,8.155498165012913,234.3825,,,,,235.96106666666665,238.5889333333333,241.47786666666664,244.1057333333333,233.0721333333333,230.44426666666666,227.55533333333332,245.65886,239.94807,235.33249999999998,230.71693,224.14561,1.0327,0.1674,889733.7,931881.85,1.2191,1.164,87.2363,91.1649,0.55,4.75,0.09,87.7593,,7.0861,,,252.99,16.4266,269.4166,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,,,,,,,,
