Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,16.92,17.34,16.85,17.3,3185935,,,,16.5579,16.3619,16.2771,16.2302,62.2271,0.2109,0.128,0.0829,True,0.6246,16.29517049155263,,68.61063464837055,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,,,4394165.3,,0.725,,98.1859,,0.38,0.04,0.07,,,4.4822,,,,0.7421,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,
2026-07-23,17.125,17.33,16.79,16.83,4120989,,,,16.5838,16.3803,16.288,16.2362,56.66,0.2055,0.1435,0.0619,False,0.6168,16.324971890567973,,57.90387955993057,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,,,4026897.2,,1.0234,,76.8707,86.5131,0.295,0.205,0.04,,,1.4848,,,,0.2462,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,16.88,17.0,16.665,16.69,2425808,,,,16.5939,16.3924,16.296,16.2407,52.9412,0.1877,0.1523,0.0353,False,0.6,16.336407322742236,,59.523809523809575,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,,,3877512.0,,0.6256,,70.5215,81.8594,0.19,0.12,0.025,,,0.5792,,,,0.0961,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,16.81,16.96,16.64,16.74,3154425,,,,16.6078,16.406,16.3048,16.2456,58.4615,0.1756,0.157,0.0186,False,0.5718,16.350297254853693,,62.460961898813274,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,,,3823958.4,,0.8249,,72.7891,73.3938,0.07,0.15,0.1,,,0.796,,,,0.1322,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-28,16.8,17.045,16.635,16.8,3314078,,,,16.6261,16.4215,16.3146,16.2512,66.6667,0.1689,0.1594,0.0095,False,0.5386,16.36546933270907,,79.57559681697619,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,,,3452425.7,,0.9599,,68.7861,70.6989,0.0,0.245,0.165,,,1.0459,,,,0.1739,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-30,16.67,17.275,16.4438,17.2,3713838,16.6075,,,16.6808,16.452,16.3321,16.2606,61.2536,0.1937,0.1662,0.0274,True,0.5187,16.38640330647647,,82.63097008758892,16.8,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,0.8416,0.1044,3426508.5,5388424.85,1.0839,0.6892,87.037,76.2041,0.53,0.075,0.2262,93.6508,,3.1128,,,17.34,0.5192,17.8592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-31,17.24,17.445,16.865,17.06,3001941,16.6515,,,16.7169,16.4759,16.3465,16.2685,52.2293,0.1997,0.1729,0.0268,False,0.5062,16.406374523542098,,84.67161525218036,16.9444,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,0.7361,0.1039,3309521.0,5324444.85,0.9071,0.5638,67.5105,74.4446,0.18,0.205,0.195,83.3333,,2.0525,,,17.445,0.3431,17.7881,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,17.14,17.23,16.918,17.03,2870697,16.695,,,16.7467,16.4976,16.3601,16.2761,62.5954,0.1997,0.1783,0.0214,False,0.4824,16.42286896366179,,88.84676893916962,16.9444,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,0.6974,0.1017,3223429.1,5291013.35,0.8906,0.5426,64.9789,73.1755,0.11,0.09,0.112,82.0346,,1.6917,,,17.445,0.2833,17.7283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,17.28,17.445,16.89,16.97,4225037,16.7235,,,16.768,16.5161,16.3722,16.283,52.2936,0.1927,0.1812,0.0115,False,0.4842,16.447201181821132,,103.27225517098938,16.9444,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,0.6458,0.1011,3261943.2,5120251.6,1.2953,0.8252,59.9156,64.135,0.31,0.165,0.08,79.4372,,1.2049,,,17.445,0.202,17.647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-05,17.19,17.37,16.97,16.98,3787088,16.774,,,16.7882,16.5343,16.3842,16.29,52.5114,0.1858,0.1821,0.0037,False,0.4824,16.46773046171115,,88.84676893916954,16.9444,,,,,16.17,16.42,16.85,17.100000000000005,15.740000000000002,15.49,15.06,16.9612,16.6619,16.42,16.1781,15.8337,0.6332,0.0922,3379983.6,4754611.4,1.1204,0.7965,60.7595,61.8847,0.21,0.18,0.01,79.8701,,1.1427,,,17.445,0.1918,17.6368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
