Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,75.78,76.02,73.67,74.19,4677973,,,,74.6714,73.7131,73.1687,72.8342,56.9157,0.7088,0.7476,-0.0388,False,2.2682,75.27426108190832,,22.043772634230844,75.715,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,,,5762966.2,,0.8117,,25.0485,,1.59,0.24,0.52,,,-0.6447,,,,-0.4814,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-23,73.89,75.11,73.55,74.57,6319722,,,,74.6617,73.7467,73.1964,72.8515,48.9161,0.6138,0.7208,-0.107,False,2.1939,75.21442942528552,,19.534429431873683,75.715,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,,,5833807.4,,1.0833,,30.2605,36.6182,0.68,0.54,0.34,,,-0.1228,,,,-0.0917,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-24,75.115,76.06,74.28,75.35,5098137,,,,74.7273,73.8096,73.2391,72.8764,49.675,0.5946,0.6956,-0.101,True,2.1368,75.21525300049247,,20.0568276784222,75.715,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,,,5827810.6,,0.8748,,42.1842,32.4977,0.235,0.71,0.835,,,0.8333,,,,0.6227,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-07-27,76.03,77.65,75.53,76.92,3472024,,,,74.9361,73.9316,73.312,72.9166,52.7463,0.698,0.6961,0.0019,True,2.1175,75.26687718999575,,20.239500758981272,75.8,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,,,5565645.0,,0.6238,,75.803,49.4159,0.89,0.73,0.5,,,2.6475,,,,1.9839,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,
2026-07-28,78.29,79.43,77.28,77.51,6322325,,,,75.1812,74.0719,73.3951,72.9623,61.0856,0.8181,0.7205,0.0976,True,2.1189,75.43398313701753,,23.596831282656325,76.49000000000001,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,,,5665814.0,,1.1159,,68.2645,62.0839,0.78,1.14,0.23,,,3.0975,,,,2.3288,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,,,,,,,,
2026-07-30,77.0,77.38,75.26,76.03,4775409,75.414,,,75.2621,74.1487,73.4473,72.9928,53.8524,0.7848,0.7333,0.0515,False,2.1475,75.46795594040408,,23.282887077997664,76.49000000000001,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,0.6312,0.0623,5607469.1,5547775.95,0.8516,0.8608,43.8017,62.623,0.97,0.38,0.77,53.5519,,1.0203,,,79.43,0.7679,80.1979,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-31,75.61,77.52,74.91,77.29,5017415,75.656,,,75.4552,74.2719,73.5234,73.0356,56.598,0.8503,0.7567,0.0936,True,2.1975,75.51577862558288,,19.502681618722562,76.49000000000001,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,0.9008,0.0539,5368916.4,5485239.1,0.9345,0.9147,64.6281,58.8981,1.68,0.23,0.7,70.765,,2.4316,,,79.43,1.8348,81.2648,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-03,79.31,80.17,76.85,77.1,5059653,75.771,,,75.6119,74.3828,73.5942,73.076,56.5118,0.8768,0.7808,0.0961,True,2.2932,75.62130131634164,,21.803457405388556,76.86,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,0.8173,0.0553,5120441.7,5520169.45,0.9881,0.9166,54.7865,54.4054,2.21,0.86,0.25,61.9107,,1.9681,,,80.17,1.4881,81.6581,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,
2026-08-04,76.05,76.42,74.99,76.04,7600771,75.802,,,75.6526,74.4478,73.6426,73.1055,57.6535,0.803,0.7852,0.0178,False,2.3004,75.63284519043654,,21.735755317497272,76.86,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,0.5569,0.0552,5317072.7,5540845.15,1.4295,1.3718,37.6133,52.3426,0.01,0.37,1.05,48.7593,,0.512,,,80.17,0.3874,80.5574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,
2026-08-05,76.1,76.6499,72.98,74.39,10164115,75.707,,,75.5324,74.4455,73.6574,73.1183,49.5021,0.6044,0.749,-0.1446,False,2.3961,75.56257786169854,,17.88647454605618,76.575,,,,,75.74986666666666,76.56473333333332,78.10946666666666,78.92433333333332,74.20513333333332,73.39026666666666,71.84553333333332,78.00588,76.66706,75.58500000000001,74.50294,72.96238,0.1963,0.0573,5850754.4,5814867.65,1.7372,1.748,19.6106,37.3368,1.71,0.5499,1.41,28.2878,,-1.5124,,,80.17,-1.1424,79.0276,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
