Ticker,Date,Generated_At,Close,RSI,VolRel10,N_Entry,Entry_Flags,N_Exit,Exit_Flags
KER.PA,2026-08-18,2026-08-19T03:34:08.879388,255.7,41.9,1.04,4,"ADX_Strong,OBV_Div_Up,Williams_Oversold,ROC_Momentum_Down",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
MC.PA,2026-08-18,2026-08-19T03:34:09.580247,447.75,33.5,1.04,3,"ADX_Weak,Williams_Oversold,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
RMS.PA,2026-08-18,2026-08-19T03:34:10.267079,1560.5,43.4,1.04,1,ROC_Momentum_Down,5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
TEP.PA,2026-08-18,2026-08-19T03:34:10.881703,68.78,60.9,0.97,4,"ADX_Strong,Williams_Overbought,ROC_Momentum_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
ABNB,2026-08-18,2026-08-19T03:34:16.020682,183.25,70.5,0.65,2,"ADX_Strong,Williams_Overbought",1,EXIT_Oneil_PivotBreak
ADBE,2026-08-18,2026-08-19T03:34:16.719093,263.14,58.7,1.1,2,"ADX_Strong,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
AMD,2026-08-18,2026-08-19T03:34:17.416444,484.39,46.9,0.97,3,"ADX_Weak,ROC_Momentum_Up,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
AMZN,2026-08-18,2026-08-19T03:34:18.040396,259.45,50.6,0.96,2,"ADX_Strong,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
ARRY,2026-08-18,2026-08-19T03:34:18.728170,4.8,33.4,0.72,3,"Williams_Oversold,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
ASML,2026-08-18,2026-08-19T03:34:19.407190,1802.98,53.5,1.23,0,,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
ASTS,2026-08-18,2026-08-19T03:34:20.065580,67.07,47.4,0.81,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
BIDU,2026-08-18,2026-08-19T03:34:20.780131,90.87,23.2,4.56,4,"ADX_Weak,Williams_Oversold,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
BKNG,2026-08-18,2026-08-19T03:34:21.466188,208.25,56.8,0.82,2,"ADX_Strong,ROC_Momentum_Down",4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
CAKE,2026-08-18,2026-08-19T03:34:22.141085,106.36,61.3,0.92,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
CELH,2026-08-18,2026-08-19T03:34:22.756115,29.9,54.1,0.52,3,"Williams_Overbought,ROC_Momentum_Up,ATR_Pct_High",1,EXIT_Oneil_PivotBreak
COIN,2026-08-18,2026-08-19T03:34:23.451381,146.23,42.9,1.0,2,"ADX_Strong,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
COST,2026-08-18,2026-08-19T03:34:24.130913,961.35,55.6,1.19,3,"BB_Squeeze,ADX_Strong,OBV_Div_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_VCP_Resolved"
CROX,2026-08-18,2026-08-19T03:34:24.768539,128.66,46.2,0.85,3,"OBV_Div_Down,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
DLO,2026-08-18,2026-08-19T03:34:25.440067,13.64,40.2,1.47,4,"ADX_Weak,Williams_Oversold,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
DOCU,2026-08-18,2026-08-19T03:34:26.076160,60.01,60.5,1.03,3,"ADX_Strong,OBV_Div_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
DPZ,2026-08-18,2026-08-19T03:34:26.702172,336.25,47.9,0.94,3,"ADX_Strong,Williams_Oversold,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
DUOL,2026-08-18,2026-08-19T03:34:27.374218,139.64,55.6,0.97,3,"ADX_Weak,ROC_Momentum_Up,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
EXPE,2026-08-18,2026-08-19T03:34:27.958277,321.42,65.0,0.6,2,"ADX_Strong,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
FISV,2026-08-18,2026-08-19T03:34:28.636591,51.72,47.0,0.62,2,"ADX_Weak,ATR_Pct_High",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
FIVE,2026-08-18,2026-08-19T03:34:29.306013,238.51,66.7,0.68,1,ADX_Strong,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
FTNT,2026-08-18,2026-08-19T03:34:30.000327,158.01,49.8,0.94,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
GLBE,2026-08-18,2026-08-19T03:34:30.615296,41.31,59.2,0.49,2,"ADX_Strong,OBV_Div_Down",3,"EXIT_VSA_NoDemand,EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
GOOG,2026-08-18,2026-08-19T03:34:31.276639,341.28,44.9,0.89,2,"ADX_Weak,OBV_Div_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_VCP_Resolved,EXIT_Livermore_Pivot"
GRAB,2026-08-18,2026-08-19T03:34:31.928451,3.45,41.8,1.09,4,"ADX_Strong,OBV_Div_Up,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
INTC,2026-08-18,2026-08-19T03:34:32.576500,96.685,44.6,1.12,2,"ADX_Weak,ATR_Pct_High",4,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
INTU,2026-08-18,2026-08-19T03:34:33.258602,350.41,65.2,1.18,4,"ADX_Strong,Williams_Overbought,ROC_Momentum_Up,ATR_Pct_High",1,EXIT_Livermore_Pivot
IRDM,2026-08-18,2026-08-19T03:34:33.929111,49.03,51.9,0.99,2,"BB_Squeeze,ADX_Strong",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
IREN,2026-08-18,2026-08-19T03:34:34.613169,42.0,50.4,0.99,2,"ROC_Momentum_Up,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
JD,2026-08-18,2026-08-19T03:34:35.244064,28.82,38.6,0.71,3,"ADX_Strong,Williams_Oversold,ROC_Momentum_Down",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
KHC,2026-08-18,2026-08-19T03:34:35.865773,24.82,46.5,0.68,0,,3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
KTOS,2026-08-18,2026-08-19T03:34:36.552588,61.99,63.4,0.62,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
LIN,2026-08-18,2026-08-19T03:34:37.202950,478.705,37.9,1.25,2,"ADX_Strong,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
LULU,2026-08-18,2026-08-19T03:34:37.848037,119.01,48.1,1.15,2,"ADX_Weak,ROC_Momentum_Down",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
MDB,2026-08-18,2026-08-19T03:34:38.469298,434.62,64.9,0.69,3,"ADX_Strong,MFI_Overbought,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
MDLZ,2026-08-18,2026-08-19T03:34:39.119274,62.66,54.7,1.07,1,ADX_Strong,1,EXIT_Oneil_PivotBreak
MELI,2026-08-18,2026-08-19T03:34:39.815316,1779.14,44.9,0.61,3,"ADX_Weak,Williams_Oversold,ROC_Momentum_Down",4,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
META,2026-08-18,2026-08-19T03:34:40.504425,543.67,36.3,1.85,3,"OBV_Div_Up,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
MNDY,2026-08-18,2026-08-19T03:34:41.196493,88.04,53.1,0.64,2,"ADX_Weak,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
MNST,2026-08-18,2026-08-19T03:34:41.889600,47.38,16.2,1.86,5,"Breakout_Vol,ADX_Strong,Williams_Oversold,ROC_Momentum_Up,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
MSFT,2026-08-18,2026-08-19T03:34:42.554133,481.63,62.6,0.88,2,"ADX_Strong,ROC_Momentum_Down",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
NFLX,2026-08-18,2026-08-19T03:34:43.243756,77.77,58.7,1.23,3,"ADX_Strong,Williams_Overbought,ROC_Momentum_Up",0,
NVDA,2026-08-18,2026-08-19T03:34:43.902818,219.74,56.5,0.96,1,ADX_Strong,2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
OLLI,2026-08-18,2026-08-19T03:34:44.548596,76.21,54.7,0.99,2,"ADX_Strong,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
ONDS,2026-08-18,2026-08-19T03:34:45.203593,9.06,55.5,0.91,2,"ROC_Momentum_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
PDD,2026-08-18,2026-08-19T03:34:45.876772,87.27,50.7,0.97,3,"ADX_Strong,OBV_Div_Down,ROC_Momentum_Down",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
PEP,2026-08-18,2026-08-19T03:34:46.528879,140.13,52.1,1.04,3,"REB,BB_Squeeze,ADX_Strong",6,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_VCP_Resolved,EXIT_Livermore_Pivot"
PYPL,2026-08-18,2026-08-19T03:34:47.188578,60.43,69.4,1.05,2,"ADX_Strong,ROC_Momentum_Up",2,"TP_Agotamiento,EXIT_Livermore_Pivot"
QS,2026-08-18,2026-08-19T03:34:47.826296,5.76,44.0,1.17,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
REGN,2026-08-18,2026-08-19T03:34:48.491764,810.24,78.2,1.06,3,"ADX_Strong,Williams_Overbought,MFI_Overbought",1,EXIT_Oneil_PivotBreak
RGTI,2026-08-18,2026-08-19T03:34:49.180923,17.71,52.7,0.75,3,"ADX_Strong,ROC_Momentum_Down,ATR_Pct_High",2,"EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
RKLB,2026-08-18,2026-08-19T03:34:49.877439,79.16,50.5,0.75,3,"ADX_Strong,OBV_Div_Up,ATR_Pct_High",3,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Livermore_Pivot"
SBUX,2026-08-18,2026-08-19T03:34:50.543998,106.01,51.8,0.99,2,"BB_Squeeze,ADX_Weak",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
SOFI,2026-08-18,2026-08-19T03:34:51.225238,17.66,48.8,0.7,2,"ADX_Weak,ATR_Pct_High",3,"EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Livermore_Pivot"
STNE,2026-08-18,2026-08-19T03:34:51.921241,9.12,25.2,1.06,5,"ADX_Strong,OBV_Div_Down,Williams_Oversold,ROC_Momentum_Down,ATR_Pct_High",5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
TEAM,2026-08-18,2026-08-19T03:34:52.746450,163.0,77.3,0.73,5,"ADX_Strong,Williams_Overbought,MFI_Overbought,ROC_Momentum_Up,ATR_Pct_High",0,
TSLA,2026-08-18,2026-08-19T03:34:53.414411,336.87,45.1,0.92,1,ADX_Strong,5,"EXIT_Weinstein_Stage3,EXIT_Oneil_PivotBreak,EXIT_Darvas_BoxBreak,EXIT_Minervini_TrendLost,EXIT_Livermore_Pivot"
