Ticker,Price,Price_Date,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
KER.PA,250.6,2026-08-20,EUR,1.1,,,0.0,0.0,,45300200000.0,17066500000.0,19963900000.0,4856500000.0,,,,122620024.0,,,,,2026,2026-06-30,EUR,False,0.0,0.0,0.0,,,1.8,,,1.169771189171769,1.988574267262792,8756000000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
MC.PA,443.1,2026-08-20,EUR,1.1,,,0.0,0.0,,156240700000.0,75843900000.0,40404100000.0,14852200000.0,,,,495489084.0,,,,,2026,2026-06-30,EUR,False,0.0,0.0,0.0,,,2.89,,,0.5327270881376089,1.5840018411362442,19539300000.000004,"currency=EUR verify_fx_handling,eps_negative (loss)"
RMS.PA,1549.5,2026-08-20,EUR,1.1,,,0.0,0.0,,26754200000.0,20732800000.0,2580600000.0,13462900000.0,,,,104814777.0,,,,,2026,2026-06-30,EUR,False,0.0,0.0,0.0,,,7.83,,,0.12446943972835314,4.994036409290646,13997500000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
TEP.PA,69.74,2026-08-20,EUR,1.1,,,0.0,0.0,,12626900000.0,4506700000.0,5407600000.0,1135200000.0,,,,58609326.0,,,,,2025,2025-12-31,EUR,False,0.0,0.0,0.0,,,0.91,,,1.1999023675860385,1.1839791598827742,621500000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
ABNB,185.0,2026-08-20,USD,1.0,13159000000.0,2691000000.0,4.475675675675675,4.475675675675675,2738000000.0,22208000000.0,8199000000.0,2067000000.0,11014000000.0,2738000000.0,3363000000.0,672000000.0,601250000.0,82.90143627935254,20.80705220761456,20.44988220989437,20.80705220761456,2026,2026-06-30,USD,False,0.32821075740944017,0.12117255043227666,-2.928995310718562,41.33454106280194,38.69505017398454,13.57,37.36,7.77,0.25210391511159896,1.3771704886804894,5148000000.0,
ADBE,272.22,2026-08-20,USD,1.0,25198000000.0,7229000000.0,17.50363196125908,17.50363196125908,9849000000.0,29496000000.0,11623000000.0,6648000000.0,6595000000.0,9090000000.0,9111000000.0,1882000000.0,413000000.0,89.40392094610684,36.07429161044527,28.6887848241924,39.08643543138344,2026,2026-05-31,USD,False,0.6219564656284953,0.24508407919717928,0.6177062207423957,15.552200857656661,11.051747446950353,9.67,11.42,4.46,0.5719693710745934,0.9963725490196078,-37000000.0,
AMD,469.455,2026-08-20,USD,1.0,41305000000.0,6434000000.0,3.9478447614664827,3.9478447614664827,9515000000.0,76926000000.0,62999000000.0,3847000000.0,10552000000.0,6488000000.0,7544000000.0,1098000000.0,1629750000.0,53.204212565064765,15.707541459871685,15.576806681999757,23.03595206391478,2026,2026-06-30,USD,False,0.1021286052159558,0.08363882172477446,0.09847757687532063,118.91425027199253,30.51176998390684,12.14,79.7,18.36,0.0610644613406562,2.850026441036489,17492000000.0,
AMZN,260.11,2026-08-20,USD,1.0,,,0.0,0.0,,818042000000.0,411065000000.0,152987000000.0,123029000000.0,,,21416000000.0,10723750000.0,,,,,2026,2026-06-30,USD,False,0.0,0.0,0.0,,,6.79,,,0.37217228418863196,1.0508153482718285,11078000000.0,eps_negative (loss)
ASML,1750.31,2026-08-20,EUR,1.1,38860250000.0,11702240000.0,30.21083238944867,27.46439308131697,14632860000.0,55623260000.0,21573420000.0,4829990000.0,14654090000.0,13764740000.0,13876390000.0,2438810000.0,387352452.0,52.733139905173026,35.42113084707381,30.11365083858184,37.655084565848135,2026,2026-06-30,EUR,False,0.5424378703052182,0.21038392931302477,0.9656348422501433,57.93650361687178,40.41168034635507,31.43,45.66,17.19,0.22388615249691518,1.2617963311751201,6987420000.0,currency=EUR verify_fx_handling
ASTS,65.06,2026-08-20,USD,1.0,84935000.0,-487246000.0,-1.7886219148957676,-1.7886219148957676,-316394000.0,5014387000.0,2392325000.0,2239510000.0,2335683000.0,-374162000.0,-642065000.0,4899000.0,272414196.0,,-440.5274621769588,-573.6692765055631,-372.51309825160416,2026,2026-03-31,USD,False,-0.2036704879144765,-0.09716960418092979,-0.16419508888350723,,,7.41,,207.54,0.9361228094008966,16.352578087585805,2308168000.0,eps_negative (loss)
