Ticker,Date,Close,Volume,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_K,Stoch_D,BB_Upper,BB_Lower,BB_Mid,BB_Width,ATR_14,Vol_SMA_20,Vol_Ratio,Ret_1D,Ret_5D,Ret_20D,High_20D,Low_20D,High_52W,Low_52W,Dist_SMA_20_Pct,Dist_SMA_50_Pct,Dist_SMA_200_Pct
,2026-08-18,255.7,282950,275.23,270.64,262.45,269.96,269.9,267.77,263.39,22.13,2.1304,5.4265,-3.2961,8.81,20.65,307.38,233.91,270.64,73.47,8.8,339291.0,0.83,-0.54,-9.81,1.89,293.5,236.2,,,-5.52,-2.57,-5.28
,2026-08-18,447.75,462483,467.95,469.71,484.44,527.68,464.9,472.44,477.65,35.57,-7.5448,-4.5261,-3.0187,6.9,8.08,494.01,445.41,469.71,48.6,11.34,529619.0,0.87,0.39,-6.48,-6.44,496.35,444.15,,,-4.67,-7.57,-15.15
,2026-08-18,1560.5,78261,1596.45,1598.55,1632.84,1848.56,1588.63,1604.86,1623.79,58.44,-16.2314,-12.9174,-3.314,36.02,41.61,1705.21,1491.89,1598.55,213.32,42.64,98793.0,0.79,0.68,-5.05,-7.17,1705.0,1465.5,,,-2.38,-4.43,-15.58
,2026-08-18,68.78,270237,69.08,64.9,57.84,57.59,67.67,64.05,61.2,59.72,3.62,3.5437,0.0763,80.48,84.36,76.21,53.59,64.9,22.62,3.74,338512.0,0.8,0.23,-2.52,28.99,72.0,52.98,,,5.98,18.92,19.44
,2026-08-18,183.25,4345974,176.37,161.53,149.93,135.14,173.74,163.18,154.33,75.26,10.5617,8.3219,2.2398,89.94,87.65,197.72,125.34,161.53,72.38,6.78,5017751.0,0.87,2.21,-0.94,26.43,187.12,135.72,,,13.44,22.22,35.6
,2026-08-18,263.14,4771688,263.19,250.44,230.43,271.79,258.58,249.02,242.37,58.97,9.562,9.7305,-0.1685,68.11,62.14,285.39,215.49,250.44,69.9,11.15,4819342.0,0.99,3.58,-0.22,12.1,273.4,210.88,,,5.07,14.19,-3.18
,2026-08-18,484.39,23646174,486.93,497.1,511.15,325.84,492.49,498.12,488.86,56.74,-5.6352,-6.731,1.0957,38.87,64.5,550.25,443.95,497.1,106.29,27.99,27760906.0,0.85,-4.27,2.12,-3.81,561.47,442.27,,,-2.56,-5.24,48.66
,2026-08-18,259.45,33099164,268.56,258.73,248.97,238.03,263.82,259.02,254.38,65.99,4.797,5.8048,-1.0078,50.57,55.07,294.83,222.62,258.73,72.21,9.54,47810821.0,0.69,-0.71,-4.71,3.78,287.2,228.1,,,0.28,4.21,9.0
,2026-08-18,1802.98,1507654,1784.46,1744.06,1783.26,1433.81,1788.04,1765.99,1736.83,71.35,22.0476,4.4883,17.5593,70.3,85.73,1912.22,1575.89,1744.06,336.34,66.91,1522254.0,0.99,-4.26,0.2,3.68,1896.35,1553.58,,,3.38,1.11,25.75
,2026-08-18,67.07,9307227,70.31,65.49,72.71,81.93,68.88,68.95,72.6,64.0,-0.0629,-1.2357,1.1728,61.27,74.75,77.41,53.57,65.49,23.84,5.27,12358226.0,0.75,-5.72,-6.37,16.81,75.08,53.36,,,2.41,-7.75,-18.14
,2026-08-18,90.87,16215738,105.38,106.83,110.8,124.72,104.35,107.62,111.63,28.04,-3.2638,-2.1406,-1.1232,5.11,10.7,116.27,97.4,106.83,18.87,3.75,2716459.0,5.97,-12.73,-14.23,-17.25,114.45,89.6,,,-14.94,-17.99,-27.14
,2026-08-18,208.25,4535746,210.52,198.6,184.44,2652.84,205.94,200.86,292.38,60.25,5.0851,3.5153,1.5698,70.87,73.45,226.46,170.74,198.6,55.72,7.21,5854968.0,0.77,1.7,-2.17,16.05,215.69,171.02,,,4.86,12.91,-92.15
,2026-08-18,106.36,1794482,110.19,101.67,87.1,64.26,107.29,99.59,90.17,69.82,7.7008,8.0055,-0.3047,39.86,65.13,123.72,79.61,101.67,44.12,4.67,1880678.0,0.95,-2.48,-5.93,23.52,118.46,82.92,,,4.62,22.12,65.51
,2026-08-18,29.9,9287383,28.13,28.33,29.2,39.0,28.72,28.83,29.6,51.36,-0.1135,-0.4052,0.2918,91.23,89.57,31.13,25.54,28.33,5.59,1.99,13319934.0,0.7,-0.15,6.44,1.63,30.51,23.56,,,5.53,2.41,-23.33
,2026-08-18,146.23,6720691,149.44,154.91,157.4,201.89,150.84,154.45,160.17,32.46,-3.6084,-3.3953,-0.213,27.74,33.1,172.96,136.86,154.91,36.1,8.08,7775301.0,0.86,-2.87,-1.58,-8.85,181.49,139.11,,,-5.6,-7.1,-27.57
,2026-08-18,128.66,746264,133.15,133.42,129.18,100.25,132.22,131.65,127.41,43.29,0.5685,1.6878,-1.1193,55.37,60.53,141.45,125.39,133.42,16.06,6.76,1016188.0,0.73,-1.01,-2.32,-4.97,141.28,113.0,,,-3.57,-0.41,28.34
,2026-08-18,13.64,3616159,14.36,14.59,13.87,13.36,14.33,14.35,14.03,31.76,-0.0221,0.1593,-0.1814,2.9,9.24,15.55,13.62,14.59,1.93,0.56,2092632.0,1.73,-1.94,-3.33,-7.27,15.65,13.58,,,-6.48,-1.66,2.08
,2026-08-18,60.01,2974087,59.77,56.22,50.38,54.09,58.9,55.83,52.96,59.38,3.063,2.8999,0.163,58.28,64.06,65.44,47.01,56.22,18.43,2.87,2986221.0,1.0,0.32,1.13,14.74,65.25,46.57,,,6.73,19.11,10.95
,2026-08-18,336.25,598232,350.37,346.59,323.61,368.94,345.97,339.96,333.88,40.98,6.0128,9.3034,-3.2905,4.68,12.14,374.32,318.86,346.59,55.46,10.59,771086.0,0.78,0.25,-5.9,2.21,372.16,315.68,,,-2.98,3.91,-8.86
,2026-08-18,139.64,1572583,134.28,132.27,128.13,136.52,134.62,132.01,127.76,49.29,2.6057,2.6445,-0.0387,79.3,63.71,146.2,118.34,132.27,27.86,9.44,1361067.0,1.16,7.28,3.1,4.29,146.85,112.02,,,5.57,8.99,2.29
,2026-08-18,321.42,1014203,319.85,300.7,271.64,253.18,314.78,298.42,280.53,64.92,16.3637,15.7291,0.6346,71.61,80.28,349.6,251.8,300.7,97.8,13.16,1604764.0,0.63,0.92,0.11,21.25,335.0,251.12,,,6.89,18.33,26.95
,2026-08-18,51.72,5827768,53.1,52.87,51.52,59.15,52.97,52.66,52.91,41.73,0.3089,0.4575,-0.1486,30.55,45.45,56.3,49.45,52.87,6.85,2.39,8272339.0,0.7,-0.94,-1.9,0.08,56.63,49.56,,,-2.18,0.39,-12.55
,2026-08-18,238.51,566432,237.07,223.71,203.23,201.91,233.05,221.81,214.38,72.51,11.2455,10.1877,1.0578,73.85,79.98,254.31,193.11,223.71,61.21,8.68,887255.0,0.64,-0.02,1.83,16.84,249.0,198.83,,,6.62,17.36,18.13
,2026-08-18,158.01,4054606,161.01,158.86,155.14,104.84,160.02,158.43,151.35,57.83,1.5955,2.4637,-0.8682,29.1,40.02,169.08,148.64,158.86,20.44,7.02,5046018.0,0.8,1.39,-2.4,-1.47,172.09,146.12,,,-0.54,1.85,50.72
,2026-08-18,341.28,14216917,348.16,345.22,351.86,330.89,346.37,348.64,350.71,55.12,-2.2625,-1.4613,-0.8011,22.04,28.3,375.73,314.72,345.22,61.0,10.18,20247126.0,0.7,-0.05,-0.5,-2.87,381.81,314.89,,,-1.14,-3.01,3.14
,2026-08-18,3.45,39727919,3.64,3.55,3.59,4.2,3.6,3.61,3.62,50.0,-0.0059,0.002,-0.0079,21.21,36.36,3.85,3.25,3.55,0.61,0.14,46000236.0,0.86,-3.63,-7.75,-4.7,3.97,3.26,,,-2.8,-3.89,-17.86
,2026-08-18,350.41,3892939,337.06,320.67,294.44,448.62,334.02,319.71,317.61,69.03,14.3054,11.9198,2.3856,80.09,69.51,363.32,278.02,320.67,85.3,14.1,3500190.0,1.11,4.41,4.15,19.26,362.0,278.94,,,9.28,19.01,-21.89
,2026-08-18,42.0,42987217,41.59,40.1,44.81,47.07,41.75,41.71,43.72,63.91,0.0441,-0.9475,0.9916,57.4,67.2,46.01,34.19,40.1,11.82,3.83,45387437.0,0.95,-6.46,5.66,4.48,49.18,32.32,,,4.73,-6.27,-10.76
,2026-08-18,28.82,7972605,31.1,31.3,29.13,29.33,30.51,30.45,29.98,31.27,0.0591,0.6452,-0.5861,9.41,7.16,34.53,28.06,31.3,6.47,0.84,9132004.0,0.87,1.12,-9.71,-5.82,33.49,28.34,,,-7.91,-1.05,-1.75
,2026-08-18,61.99,2766531,61.61,55.05,53.09,73.61,59.84,56.32,55.9,76.15,3.5191,2.4096,1.1095,78.72,84.12,69.32,40.78,55.05,28.54,4.04,3889150.0,0.71,-2.05,-2.73,34.94,67.1,43.09,,,12.61,16.77,-15.79
,2026-08-18,119.01,3042356,122.5,120.15,117.57,156.26,120.6,120.13,121.81,47.71,0.4719,1.075,-0.6031,29.39,22.54,129.62,110.69,120.15,18.92,4.21,2551024.0,1.19,2.83,-5.25,2.01,128.86,109.2,,,-0.95,1.23,-23.84
,2026-08-18,434.62,1119744,424.48,373.82,352.77,338.77,415.93,384.41,360.57,77.92,31.5186,23.2917,8.2269,75.16,82.87,493.79,253.86,373.82,239.93,22.34,1440659.0,0.78,-0.93,-1.03,34.41,473.1,291.79,,,16.26,23.2,28.29
,2026-08-18,62.66,6811787,62.54,61.95,61.19,58.67,62.38,61.81,61.29,51.1,0.5692,0.527,0.0422,61.47,66.73,64.11,59.79,61.95,4.32,1.35,8194824.0,0.83,0.77,1.42,3.97,63.92,59.1,,,1.14,2.41,6.81
,2026-08-18,1779.14,340286,1840.54,1843.03,1765.74,1876.63,1831.92,1823.89,1796.33,41.84,8.0319,22.5605,-14.5286,10.67,22.09,1934.24,1751.82,1843.03,182.42,67.95,454007.0,0.75,-0.47,-8.29,-2.91,1946.0,1759.21,,,-3.47,0.76,-5.2
,2026-08-18,543.67,27014940,584.11,588.73,595.12,626.51,581.65,591.75,598.74,37.97,-10.0991,-6.5719,-3.5271,21.81,48.9,637.11,540.35,588.73,96.77,23.51,16320422.0,1.66,-4.45,-9.26,-15.82,655.88,524.49,,,-7.65,-8.65,-13.22
,2026-08-18,88.04,1188076,88.74,85.53,81.02,100.94,87.44,85.25,82.74,50.92,2.1973,2.6146,-0.4172,51.31,41.63,98.96,72.09,85.53,26.88,6.59,1877493.0,0.63,5.65,0.65,14.71,95.46,69.1,,,2.94,8.67,-12.78
,2026-08-18,47.38,16316680,64.83,80.02,88.9,80.46,63.88,76.68,82.87,8.46,-12.7971,-7.6713,-5.1257,4.42,2.85,125.42,34.61,80.02,90.81,5.25,7084808.0,2.3,4.09,4.06,-50.36,99.17,45.05,,,-40.79,-46.7,-41.12
,2026-08-18,481.63,24062584,494.39,458.7,415.64,432.63,480.65,456.07,435.22,77.71,24.5766,25.1624,-0.5859,60.51,72.89,555.94,361.46,458.7,194.48,16.77,36614334.0,0.66,0.27,-4.4,19.72,513.73,377.39,,,5.0,15.88,11.33
,2026-08-18,77.77,36092692,75.75,73.41,74.81,154.22,75.53,74.75,76.99,65.01,0.7784,0.0413,0.7371,84.47,81.64,79.48,67.35,73.41,12.13,2.28,36460053.0,0.99,2.3,3.98,15.04,79.1,66.72,,,5.93,3.95,-49.57
,2026-08-18,219.74,102793756,221.65,212.97,207.24,195.19,218.86,213.82,210.13,72.21,5.0395,3.9408,1.0987,77.53,87.69,233.38,192.56,212.97,40.82,6.47,118007625.0,0.87,-2.34,1.03,8.1,227.92,191.52,,,3.18,6.03,12.58
,2026-08-18,76.21,1226816,77.97,73.87,73.3,96.63,76.12,74.47,75.22,66.82,1.6538,1.4972,0.1566,47.71,55.51,84.48,63.26,73.87,21.21,2.94,1310556.0,0.94,1.71,-3.18,13.02,81.8,64.0,,,3.17,3.97,-21.13
,2026-08-18,9.06,79248214,9.18,8.57,8.37,9.39,8.94,8.62,8.69,63.64,0.3168,0.2323,0.0845,70.48,71.75,10.02,7.12,8.57,2.9,0.71,94249875.0,0.84,0.67,-6.98,31.88,9.99,6.84,,,5.77,8.25,-3.55
,2026-08-18,87.27,5314411,88.93,87.57,84.03,101.5,87.75,87.06,87.22,53.98,0.6887,1.1797,-0.4909,37.95,29.36,93.99,81.15,87.57,12.84,2.16,5316993.0,1.0,0.38,-3.57,1.42,93.19,82.06,,,-0.34,3.86,-14.02
