Ticker,Asset_Type,Snapshot_Date,Price,Price_Date,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,ATR_14,BB_PctB,BB_Width,VolRel10,VolRel20,Stoch_K,Stoch_D,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
KER.PA,stock,2026-08-21,250.6,2026-08-20,256203.0,26.6017,0.264,4.4012,-4.1372,271.7,,,266.2886,260.9678,256.1087,252.6974,8.7339,0.1897,0.2503,0.9918,0.7688,0.0,9.3687,25.1309,,-5.8916,,277.8114,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,EUR,1.1,,,0.0,0.0,,45300200000.0,17066500000.0,19963900000.0,4856500000.0,,,,122620024.0,,,,,2026.0,2026-06-30,EUR,False,0.0,0.0,0.0,,,1.8,,,1.169771189171769,1.988574267262792,8756000000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
MC.PA,stock,2026-08-21,443.1,2026-08-20,558304.0,30.9113,-9.2068,-6.5214,-2.6854,468.285,,,466.3781,477.6671,484.8386,489.6811,11.0518,0.028,0.1139,1.2363,1.0977,0.0,9.8659,0.0,,-4.9912,,473.0719,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,EUR,1.1,,,0.0,0.0,,156240700000.0,75843900000.0,40404100000.0,14852200000.0,,,,495489084.0,,,,,2026.0,2026-06-30,EUR,False,0.0,0.0,0.0,,,2.89,,,0.5327270881376089,1.5840018411362442,19539300000.000004,"currency=EUR verify_fx_handling,eps_negative (loss)"
RMS.PA,stock,2026-08-21,1549.5,2026-08-20,95586.0,52.9801,-17.3745,-14.1396,-3.2349,1590.05,,,1592.8883,1614.1736,1625.8559,1632.9399,40.1429,0.2986,0.1266,1.3672,0.9669,20.5575,33.889,34.4969,,-2.7239,,1661.6117,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,EUR,1.1,,,0.0,0.0,,26754200000.0,20732800000.0,2580600000.0,13462900000.0,,,,104814777.0,,,,,2026.0,2026-06-30,EUR,False,0.0,0.0,0.0,,,7.83,,,0.1244694397283531,4.994036409290646,13997500000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
TEP.PA,stock,2026-08-21,69.74,2026-08-20,320403.0,51.6415,3.6726,3.8532,-0.1807,66.489,,,66.2038,60.6641,57.0782,54.7292,2.6629,0.6795,0.2725,1.1498,0.9466,72.9268,81.8039,90.1224,,5.3414,,75.5362,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,EUR,1.1,,,0.0,0.0,,12626900000.0,4506700000.0,5407600000.0,1135200000.0,,,,58609326.0,,,,,2025.0,2025-12-31,EUR,False,0.0,0.0,0.0,,,0.91,,,1.1999023675860383,1.1839791598827742,621500000.0,"currency=EUR verify_fx_handling,eps_negative (loss)"
IGV,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILF,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQQ,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLT,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
