date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,148.31,150.19,147.89,149.71,60131810,,,,149.71,149.71,149.71,149.71,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,1.4000000000000057,0.4799999999999897,0.4200000000000159,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,149.71,,,,,,149.26333333333332,150.63666666666666,151.56333333333333,152.93666666666667,148.33666666666664,146.9633333333333,146.03666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-24,149.45,150.86,149.15,149.62,48606428,,,,149.70142857142858,149.7064705882353,149.70821782178217,149.70910447761196,,-0.007179487179485,-0.001435897435897,-0.005743589743588,0,,0.5,0.05,,,,,,,0.1700000000000159,1.240000000000009,0.2999999999999829,,0,-0.0544235873737297,,,,0,,,-0.06011622470109,,,,-0.0543939842162038,,0,25,20,20,,,,,149.62,,,,,,149.8766666666667,150.60333333333332,151.58666666666667,152.31333333333333,148.89333333333332,148.16666666666666,147.1833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-25,149.81,150.32,147.8,148.36,58991300,,,,149.57367346938778,149.65366782006922,149.68152043917263,149.69568055246162,,-0.1132354445174712,-0.0237958068522118,-0.0894396376652593,0,,0.5,0.05,,,,,,,1.4499999999999886,0.5099999999999909,0.5600000000000023,,0,-0.8180597663708353,,,,0,,,-0.842133404625045,,,,-0.811421850674922,,0,25,20,20,,,,,148.36,,,,,,148.82666666666668,149.85333333333335,151.34666666666666,152.3733333333333,147.33333333333337,146.3066666666667,144.8133333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-26,148.35,149.12,147.51,147.54,48597200,,,,149.37999028182705,149.57077888594887,149.6391140938425,149.6742309947257,,-0.2604503917821148,-0.0711267238381924,-0.1893236679439223,0,,0.5,0.05,,,,,,,0.8100000000000023,0.7700000000000102,0.0300000000000011,,0,-1.2471128384350387,,,,0,,,-0.5527096252359254,,,,-1.2317515072505008,,0,25,20,20,,,,,147.54,,,,,,148.05666666666664,148.6033333333333,149.66666666666666,150.2133333333333,146.99333333333328,146.44666666666663,145.38333333333327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-27,147.48,148.75,146.83,148.6,55802400,,,,149.3057054930816,149.53270912571557,149.6185375771327,149.66354212910653,,-0.2882632377383629,-0.1145540266182265,-0.1737092111201363,1,,0.5,0.05,,,,,,,1.1200000000000043,0.1500000000000056,0.6499999999999773,,0,-0.4749027544290777,,,,0,,,0.718449234106,,,,-0.4726580881494242,,0,25,20,20,,,,,148.6,,,,,,148.06000000000003,149.29000000000005,149.98000000000002,151.21000000000004,147.37000000000006,146.14000000000004,145.45000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-30,149.0,153.49,148.61,153.12,90956723,,,,149.66897163659763,149.67338719921693,149.68787346669444,149.69793474473732,,0.0538009226974907,-0.0808830367550831,0.1346839594525738,1,,0.5,0.05,,,,,,,4.1200000000000045,0.3700000000000045,0.3899999999999863,,0,2.253806402431016,,,,0,,,3.041722745625841,2.2777369581190365,,,2.305774086416261,,0,25,20,20,,,,,153.12,,,,,,151.74,154.87,156.62,159.75,149.99,146.86,145.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-08-31,152.66,152.8,151.29,151.83,86453117,,,,149.87478386168357,149.75796025022805,149.7302918138886,149.71914932439168,,0.2182808099597935,-0.0210502674121077,0.2393310773719012,1,,0.5,0.05,,,,,,,0.8299999999999841,0.1400000000000147,0.5400000000000205,,0,1.287766672144138,,,,0,,,-0.8424764890282099,1.4770752573185495,,,1.3045664440262843,,0,25,20,20,,,,,151.83,,,,,,151.97333333333336,152.65666666666672,153.48333333333338,154.16666666666674,151.1466666666667,150.46333333333334,149.63666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-09-01,152.83,154.98,152.34,152.51,80313711,,,,150.12575682723752,149.8658833776701,149.78533554034627,149.74691898285545,,0.3989043021458087,0.0629406464994755,0.3359636556463332,1,,0.5,0.05,,,,,,,0.3200000000000216,2.1499999999999773,0.1699999999999875,,0,1.5633356322617975,,,,0,,,0.4478693275373535,2.79724993259638,,,1.5881639654321398,,0,25,20,20,,,,,152.51,,,,,,153.27666666666667,154.21333333333334,155.91666666666666,156.85333333333332,151.57333333333335,150.63666666666668,148.93333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-09-02,153.87,154.72,152.4,153.65,71171317,,,,150.46139903416727,150.01428010795755,149.86186354944832,149.7857556098917,,0.6268126871673871,0.1757150546330578,0.4510976325343293,1,,0.5,0.05,,,,,,,0.2199999999999988,0.8499999999999943,1.25,,0,2.0752365543981344,,,,0,,,0.7474919677398217,4.141249830554439,,,2.119215284651617,,0,25,20,20,150.905,,,,153.65,,,,,,153.59,154.78,155.91,157.1,152.46,151.27,150.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
2021-09-03,153.76,154.63,153.09,154.3,57866066,,,,150.8269800785323,150.18234755470434,149.94974743955825,149.83067346451966,,0.8500820750086007,0.3105884587081664,0.5394936163004342,1,,0.5,0.05,65889007.2,,0.8782355124027427,,,,0.5400000000000205,0.3299999999999841,0.6699999999999875,,0,2.250823021041937,,,,0,,,0.4230393752033823,3.8358008075370265,,,2.3026516341170424,,0,25,20,20,150.905,,,,154.3,,,,,,154.0066666666667,154.92333333333335,155.54666666666668,156.46333333333337,153.38333333333338,152.4666666666667,151.8433333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.05,151.91,26.92,46.91,31.97,34.78,41.12,62.69,32.24,11.21,2.14,4622.65,31.9,41.65,21.11,96.67,expensive,USD,1.0,stock,25.0
