date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,3.19,3.21,3.16,3.18,15096000,,,,3.18,3.18,3.18,3.18,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0099999999999997,0.02,0.02,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,3.18,,,,,,3.1833333333333336,3.206666666666667,3.2333333333333334,3.256666666666667,3.156666666666667,3.1333333333333337,3.106666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-24,3.21,3.33,3.21,3.27,18444300,,,,3.1885714285714286,3.1835294117647064,3.181782178217822,3.18089552238806,,0.0071794871794867,0.0014358974358973,0.0057435897435894,1,,0.5,0.05,,,,,,,0.06,0.06,0.0,,0,2.490170380078636,,,,0,,,2.830188679245272,,,,2.553763440860214,,0,25,20,20,,,,,3.27,,,,,,3.27,3.33,3.39,3.45,3.21,3.15,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-25,3.27,3.32,3.25,3.32,16271372,,,,3.2010884353741496,3.18888119953864,3.184519164787766,3.1822796465434027,,0.0167112279932788,0.0044909635473736,0.0122202644459051,1,,0.5,0.05,,,,,,,0.0499999999999998,0.0,0.02,,0,3.581673633308744,,,,0,,,1.5290519877675823,,,,3.7147228833730006,,0,25,20,20,,,,,3.32,,,,,,3.296666666666667,3.3433333333333337,3.3666666666666667,3.4133333333333336,3.273333333333334,3.226666666666667,3.203333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-26,3.28,3.28,3.21,3.21,22672492,,,,3.2019371558147065,3.1897093877920266,3.1850237357820674,3.1825554709559065,,0.0152137459756716,0.0066355200330332,0.0085782259426383,0,,0.5,0.05,,,,,,,0.0699999999999998,0.0,0.0,,0,0.2511789465823508,,,,0,,,-3.3132530120481896,,,,0.2518114439145492,,0,25,20,20,,,,,3.21,,,,,,3.233333333333333,3.256666666666666,3.303333333333333,3.3266666666666658,3.186666666666666,3.163333333333333,3.1166666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-27,3.23,3.24,3.19,3.23,28839625,,,,3.2046098076418774,3.191289411800182,3.185914354875492,3.183027555822017,,0.0154625706516124,0.008400930156749,0.0070616404948633,0,,0.5,0.05,,,,,,,0.0,0.0100000000000002,0.04,,0,0.7860740668149402,,,,0,,,0.6230529595015577,,,,0.7923021485353945,,0,25,20,20,,,,,3.23,,,,,,3.22,3.2500000000000004,3.2700000000000005,3.3000000000000007,3.2,3.17,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-30,3.2,3.28,3.18,3.27,13604847,,,,3.2108374450093176,3.194376101533509,3.187579417155185,3.183892953276524,,0.0186721903190685,0.0104551821892129,0.0082170081298555,1,,0.5,0.05,,,,,,,0.0699999999999998,0.0099999999999997,0.02,,0,1.80925244619824,,,,0,,,1.238390092879249,2.830188679245272,,,1.842589542570592,,0,25,20,20,,,,,3.27,,,,,,3.2433333333333336,3.306666666666667,3.3433333333333333,3.4066666666666667,3.2066666666666674,3.143333333333334,3.106666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-08-31,3.26,3.29,3.21,3.26,18410440,,,,3.215519593103668,3.196949587747881,3.189013488102608,3.184650237323524,,0.0201763403113028,0.0123994138136309,0.0077769264976719,0,,0.5,0.05,,,,,,,0.0,0.0300000000000002,0.0499999999999998,,0,1.3644296593966816,,,,0,,,-0.3058103975535187,-0.3058103975535187,,,1.3833038676464309,,0,25,20,20,,,,,3.26,,,,,,3.2533333333333334,3.296666666666667,3.333333333333333,3.376666666666667,3.216666666666667,3.1733333333333333,3.1366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-09-01,3.27,3.33,3.24,3.28,25678503,,,,3.221660584236652,3.2002064666597287,3.1908152012094866,3.185598991181001,,0.0227203171962577,0.0144635944901563,0.0082567227061014,1,,0.5,0.05,,,,,,,0.0099999999999997,0.0500000000000002,0.0299999999999998,,0,1.7786407244923137,,,,0,,,0.6134969325153339,-1.2048192771084376,,,1.8108492262902665,,0,25,20,20,,,,,3.28,,,,,,3.283333333333333,3.326666666666666,3.373333333333333,3.416666666666666,3.2366666666666664,3.1933333333333334,3.1466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-09-02,3.2,3.22,3.13,3.15,27615078,,,,3.214835766690304,3.1982375856142493,3.1900069794033583,3.18524477236328,,0.0140841701152822,0.0143877096151815,-0.0003035394998992,0,,0.5,0.05,,,,,,,0.0500000000000002,0.02,0.02,,0,-2.0582783076287017,,,,0,,,-3.963414634146334,-1.869158878504673,,,-2.016767617247614,,0,25,20,20,3.23,,,,3.15,,,,,,3.1666666666666665,3.203333333333333,3.256666666666667,3.293333333333333,3.113333333333333,3.076666666666666,3.0233333333333325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
2021-09-03,3.17,3.19,3.13,3.14,27226700,,,,3.2077085508150374,3.195953758727416,3.1890167421874502,3.184794575623347,,0.0063597338539449,0.0127821144629342,-0.0064223806089892,0,,0.5,0.05,21385935.7,,1.2731124034942274,,,,0.0299999999999998,0.02,0.0100000000000002,,0,-2.156323274364243,,,,0,,,-0.3174603174603052,-2.786377708978327,,,-2.1108074422108385,,0,25,20,20,3.23,,,,3.14,,,,,,3.1533333333333338,3.176666666666668,3.213333333333334,3.236666666666668,3.116666666666668,3.0933333333333337,3.0566666666666675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.91,4.01,2.02,50.88,fair,USD,1.0,stock,25.0
