date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,127.17,130.425,126.32,129.92,4563120,,,,129.92,129.92,129.92,129.92,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.749999999999986,0.5050000000000239,0.8500000000000085,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,129.92,,,,,,128.88833333333332,131.45666666666665,132.99333333333334,135.56166666666667,127.35166666666663,124.7833333333333,123.24666666666661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,129.44,130.03,128.09,128.15,2960456,,,,129.75142857142856,129.8505882352941,129.88495049504948,129.90238805970148,,-0.14119658119659562,-0.028239316239319124,-0.1129572649572765,0,,0.5,0.05,,,,,,,1.289999999999992,0.5900000000000034,0.060000000000002274,,0,-1.2496516359177186,,,,0,,,-1.362376847290625,,,,-1.2342280844691933,,0,25,20,20,,,,,128.15,,,,,,128.75666666666666,129.42333333333332,130.69666666666666,131.36333333333332,127.48333333333332,126.81666666666666,125.54333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,127.715,128.8,126.4,126.89,4355456,,,,129.47891156462583,129.7344867358708,129.82564454465245,129.8724140491572,,-0.35072442593812525,-0.09273633817908036,-0.2579880877590449,0,,0.5,0.05,,,,,,,0.8250000000000028,1.085000000000008,0.4899999999999949,,0,-2.0402802148521015,,,,0,,,-0.9832227857978992,,,,-1.9994851156388105,,0,25,20,20,,,,,126.89,,,,,,127.36333333333334,128.32666666666668,129.76333333333335,130.7266666666667,125.92666666666668,124.96333333333334,123.52666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,127.0,130.15,126.92,129.85,3830632,,,,129.51425332037576,129.73901666779744,129.82612683089695,129.87219102379242,,-0.27476220257676687,-0.12914151105861765,-0.14562069151814921,1,,0.5,0.05,,,,,,,2.8499999999999943,0.30000000000001137,0.0799999999999983,,0,0.25856502088889977,,,,0,,,2.3327291354716673,,,,0.25923531272941,,0,25,20,20,,,,,129.85,,,,,,128.97333333333333,131.02666666666664,132.20333333333332,134.25666666666666,127.79666666666665,125.74333333333333,124.56666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,130.19,130.59,128.82,130.46,3657057,,,,129.60432443272092,129.76729052396226,129.8386787748396,129.87803986932684,,-0.16345547826142592,-0.13600430449917933,-0.027451173762246595,1,,0.5,0.05,,,,,,,0.27000000000001023,0.12999999999999545,1.3700000000000045,,0,0.6558911292956406,,,,0,,,0.4697728147863067,,,,0.6602214633071782,,0,25,20,20,,,,,130.46,,,,,,129.95666666666668,131.09333333333336,131.7266666666667,132.86333333333337,129.32333333333335,128.18666666666667,127.55333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,129.92,131.11,129.21,130.53,4159392,,,,129.69248401055702,129.79720069949315,129.85236830405069,129.88452703480618,,-0.06880256914530491,-0.12256395742840445,0.05376138828309954,1,,0.5,0.05,,,,,,,0.6100000000000136,0.5800000000000125,0.7099999999999795,,0,0.6416272040473279,,,,0,,,0.0536562931166662,0.46951970443351865,,,0.6457706441761135,,0,25,20,20,,,,,130.53,,,,,,130.28333333333333,131.35666666666665,132.18333333333334,133.25666666666666,129.45666666666665,128.38333333333333,127.55666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,128.42,129.23,126.46,127.59,4195459,,,,129.49224743812303,129.71064380931696,129.80756893169323,129.861695920032,,-0.22839014668514324,-0.1437291952797522,-0.08466095140539104,0,,0.5,0.05,,,,,,,0.8299999999999841,0.8100000000000023,1.1300000000000097,,0,-1.4909063705016277,,,,0,,,-2.2523557802803906,-0.4369879047990688,,,-1.4690048831162672,,0,25,20,20,,,,,127.59,,,,,,127.75999999999999,129.06,130.52999999999997,131.82999999999998,126.28999999999999,124.99,123.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,127.42,127.75,124.46,124.9,6267199,,,,129.05489053925416,129.52199111091238,129.71038934888742,129.81232581137496,,-0.5654073069037224,-0.22806481760454625,-0.3373424892991762,0,,0.5,0.05,,,,,,,2.519999999999996,0.3299999999999983,0.44000000000001194,,0,-3.3265736903556076,,,,0,,,-2.108315698722474,-1.568287493104259,,,-3.2194754665189356,,0,25,20,20,,,,,124.9,,,,,,125.70333333333333,126.94666666666667,128.99333333333334,130.23666666666668,123.65666666666667,122.41333333333333,120.36666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,124.65,125.65,123.18,125.37,6194499,,,,128.70394858313472,129.3591679300923,129.62444104494907,129.76812356449562,,-0.7855158249450369,-0.3395550190726444,-0.4459608058723925,0,,0.5,0.05,,,,,,,0.7199999999999989,0.28000000000000114,1.4699999999999989,,0,-2.65928737587518,,,,0,,,0.3763010408326606,-3.450134770889479,,,-2.5904011647173286,,0,25,20,20,127.14500000000001,,,,125.37,,,,,,124.73333333333335,126.28666666666669,127.20333333333335,128.7566666666667,123.81666666666669,122.26333333333335,121.34666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,125.37,127.3852,122.82,123.81,4327197,,,,128.2378582418838,129.14155350146123,129.50930359851444,129.7088387529086,,-1.0734582157187447,-0.4863356584018645,-0.5871225573168801,0,,0.5,0.05,4451046.7,,0.9721751515211017,,,,1.5600000000000023,2.015199999999993,0.9900000000000091,,0,-3.5763332863935036,,,,0,,,-1.2443168222062706,-5.0973478460831,,,-3.4528479363183977,,0,25,20,20,126.965,,,,123.81,,,,,,124.67173333333334,126.52346666666668,129.23693333333335,131.08866666666668,121.95826666666667,120.10653333333333,117.39306666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,124.24,126.08,123.06,124.62,4765180,,,,127.89330031408534,128.9642376778745,129.41248570547455,129.6582035414369,,-1.2222055792511952,-0.6335096425717307,-0.5886959366794645,0,,0.5,0.05,4471252.7,,1.0657371255263652,,,,0.38000000000000966,1.4599999999999937,1.1799999999999926,,0,-2.6266251918514945,,,,0,,,0.6542282529682586,-4.5276947828085445,,,-2.5593993634120276,,0,25,20,20,126.965,,,,124.62,,,,,,124.58666666666666,126.11333333333332,127.60666666666665,129.13333333333333,123.09333333333332,121.56666666666666,120.07333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,124.12,124.78,123.6,123.81,3607594,,,,127.50441456988673,128.7621107101147,129.30154539447506,129.6000124614226,,-1.38943265234073,-0.7846942445255306,-0.6047384078151995,0,,0.5,0.05,4535966.5,,0.7953308297140201,,,,0.3100000000000023,0.6599999999999966,0.21000000000000796,,0,-2.9839387528363877,,,,0,,,-0.6499759268175254,-2.9626146249706053,,,-2.8974797322501944,,0,25,20,20,126.965,,,,123.81,,,,,,124.06333333333333,124.52666666666667,125.24333333333334,125.70666666666668,123.34666666666666,122.88333333333333,122.16666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,123.81,124.44,122.63,123.41,4772621,,,,127.11447032513561,128.55222401560042,129.1848811292379,129.53842029762737,,-1.5365258560166808,-0.9350605668237606,-0.6014652891929202,1,,0.5,0.05,4577683.0,,1.0425844253523016,,,,0.4000000000000057,0.6299999999999955,0.7800000000000011,,0,-3.001758629880574,,,,0,,,-0.3230756804781576,-1.1929543634907946,,,-2.9142790082515844,,0,25,20,20,126.87,,,,123.41,,,,,,123.49333333333334,124.35666666666668,125.30333333333334,126.16666666666669,122.54666666666668,121.68333333333334,120.73666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
