date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,355.8,362.65,354.0,362.09,3058636,,,,362.09,362.09,362.09,362.09,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,6.289999999999964,0.5600000000000023,1.8000000000000114,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,362.09,,,,,,359.58,365.15999999999997,368.22999999999996,373.80999999999995,356.51,350.93,347.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,362.56,364.65,361.4,363.21,2259516,,,,362.1966666666666,362.13392156862744,362.1121782178218,362.1011442786069,,0.08934472934475934,0.01786894586895187,0.07147578347580748,1,,0.5,0.05,,,,,,,0.6499999999999773,1.4399999999999977,1.160000000000025,,0,0.27899378688179793,,,,0,,,0.30931536358365097,,,,0.27977433990742917,,0,25,20,20,,,,,363.21,,,,,,363.08666666666664,364.7733333333333,366.33666666666664,368.0233333333333,361.5233333333333,359.83666666666664,358.2733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,363.03,363.23,353.695,354.91,4067395,,,,361.50269841269835,361.8506305267205,361.9695608273699,362.02959060419295,,-0.5037822744944833,-0.08646129820373517,-0.41732097629074816,0,,0.5,0.05,,,,,,,8.119999999999948,0.20000000000004547,1.2150000000000318,,0,-1.8575690774276084,,,,0,,,-2.2851793728146164,,,,-1.8236927252952273,,0,25,20,20,,,,,354.91,,,,,,357.27833333333336,360.86166666666674,366.8133333333334,370.39666666666676,351.3266666666667,347.74333333333334,341.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,355.98,360.37,355.16,356.35,2353776,,,,361.0119652305366,361.6349195256727,361.8582823951448,361.97307726484775,,-0.8478700151150065,-0.23874304158598944,-0.609126973529017,0,,0.5,0.05,,,,,,,0.37000000000000455,4.019999999999982,0.8199999999999932,,0,-1.30825458973946,,,,0,,,0.40573666563354926,,,,-1.2913603092239638,,0,25,20,20,,,,,356.35,,,,,,357.29333333333335,359.4266666666667,362.50333333333333,364.63666666666666,354.2166666666667,352.08333333333337,349.0066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,357.63,358.26,349.11,353.96,3803095,,,,360.340349494295,361.3339422893718,361.70188076355777,361.8933451527597,,-1.2984473615828165,-0.45068390558535487,-0.8477634559974616,0,,0.5,0.05,,,,,,,3.670000000000016,0.6299999999999955,4.849999999999966,,0,-1.8025622935628451,,,,0,,,-0.6706889294233354,,,,-1.7706453088723724,,0,25,20,20,,,,,353.96,,,,,,353.77666666666664,358.44333333333327,362.9266666666666,367.59333333333325,349.2933333333333,344.62666666666667,340.1433333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,353.995,357.25,352.455,356.7,2639259,,,,359.99364954245743,361.1522190623376,361.60283361972495,361.8416700766129,,-1.4180911816179105,-0.644165360791866,-0.7739258208260444,1,,0.5,0.05,,,,,,,2.704999999999984,0.5500000000000114,1.5400000000000205,,0,-0.9233668467780892,,,,0,,,0.7740987682224088,-1.4885801872462578,,,-0.91491878999632,,0,25,20,20,,,,,356.7,,,,,,355.4683333333333,358.4816666666666,360.2633333333333,363.27666666666664,353.6866666666666,350.6733333333333,348.8916666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,350.24,352.7131,341.28,345.63,4229423,,,,358.6256829193662,360.5435045893048,361.2865398846809,361.68035992659685,,-2.378745557068555,-0.9910814000472039,-1.3876641570213513,0,,0.5,0.05,,,,,,,4.610000000000014,2.473099999999988,4.350000000000023,,0,-3.7599985300368113,,,,0,,,-3.103448275862064,-4.840175105310973,,,-3.623745743354414,,0,25,20,20,,,,,345.63,,,,,,346.54103333333325,351.8020666666665,357.97413333333327,363.23516666666654,340.3689666666665,335.1079333333332,328.93586666666647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,345.72,348.51,343.36,348.5,3035328,,,,357.6613321651409,360.071210291685,361.0333410750833,361.54921206663073,,-2.8753409161017203,-1.3679333032581074,-1.507407612843613,0,,0.5,0.05,,,,,,,2.7799999999999727,0.009999999999990905,2.3600000000000136,,0,-2.628789717400543,,,,0,,,0.8303677342823335,-1.8060916852159825,,,-2.5614544657880103,,0,25,20,20,,,,,348.5,,,,,,346.78999999999996,350.2199999999999,351.93999999999994,355.3699999999999,345.06999999999994,341.64,339.91999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,342.24,344.405,331.5,344.31,4918293,,,,356.3897767208418,359.45312361357975,360.70218580626977,361.3776776182065,,-3.565888950488386,-1.807524432704163,-1.7583645177842229,0,,0.5,0.05,,,,,,,2.069999999999993,0.09499999999997044,10.740000000000009,,0,-3.508401359484702,,,,0,,,-1.202295552367283,-3.3787007155886117,,,-3.389484634488773,,0,25,20,20,348.075,,,,344.31,,,,,,340.07166666666666,348.6433333333333,352.97666666666663,361.5483333333333,335.73833333333334,327.1666666666667,322.83333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,345.805,354.67,345.1013,348.97,4662587,,,,355.68313131885685,359.0420207267727,360.4698652952545,361.2542181394184,,-3.694541809902603,-2.184927908143851,-1.509613901758752,1,,0.5,0.05,3502730.8,,1.3311291293067684,,,,3.1650000000000205,5.699999999999989,0.7037000000000262,,0,-1.9236986901042565,,,,0,,,1.3534315006825226,-1.409763815120335,,,-1.8873909746478106,,0,25,20,20,348.075,,,,348.97,,,,,,349.58043333333336,354.05956666666674,359.1491333333334,363.6282666666668,344.4908666666667,340.0117333333333,334.92216666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
