date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,8.79,9.63,8.51,9.26,1760122,,,,9.26,9.26,9.26,9.26,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.4700000000000006,0.370000000000001,0.2799999999999993,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,9.26,,,,,,9.133333333333333,9.756666666666666,10.253333333333334,10.876666666666669,8.636666666666665,8.013333333333332,7.516666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,9.5574,9.5574,8.96,9.44,941206,,,,9.277142857142858,9.267058823529412,9.263564356435644,9.26179104477612,,0.0143589743589735,0.0028717948717947,0.0114871794871788,1,,0.5,0.05,,,,,,,0.1173999999999999,0.0,0.4799999999999986,,0,1.725181598062944,,,,0,,,1.943844492440605,,,,1.755466584539565,,0,25,20,20,,,,,9.44,,,,,,9.319133333333331,9.678266666666666,9.916533333333332,10.275666666666664,9.080866666666669,8.721733333333335,8.483466666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,9.39,9.518,9.21,9.44,703752,,,,9.292653061224492,9.273840830449828,9.26705813155573,9.263564268211182,,0.0254452480093512,0.007386485499306,0.0180587625100452,1,,0.5,0.05,,,,,,,0.0499999999999989,0.0780000000000011,0.1799999999999997,,0,1.5608785887235992,,,,0,,,0.0,,,,1.5856283216936526,,0,25,20,20,,,,,9.44,,,,,,9.389333333333331,9.568666666666664,9.697333333333331,9.876666666666663,9.260666666666664,9.081333333333331,8.952666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,9.84,11.22,9.61,11.08,3846192,,,,9.462876579203112,9.344670601804737,9.302957970534823,9.281638255592163,,0.1646673114333285,0.0388426506861105,0.125824660747218,1,,0.5,0.05,,,,,,,1.2400000000000002,0.1400000000000005,0.2300000000000004,,0,14.594976721993577,,,,0,,,17.3728813559322,,,,17.08913148408694,,0,25,20,20,,,,,11.08,,,,,,10.636666666666663,11.66333333333333,12.246666666666666,13.273333333333332,10.05333333333333,9.026666666666664,8.443333333333328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2021-08-27,11.13,11.17,10.16,10.99,2193879,,,,9.608316904993291,9.40919332330259,9.336364743395524,9.29863687991463,,0.2646883889144114,0.0840117983317707,0.1806765905826406,1,,0.5,0.05,,,,,,,0.1400000000000005,0.0399999999999991,0.8300000000000001,,0,12.572184667940936,,,,0,,,-0.8122743682310474,,,,14.380074144813747,,0,25,20,20,,,,,10.99,,,,,,10.773333333333332,11.386666666666668,11.783333333333331,12.396666666666668,10.376666666666669,9.763333333333334,9.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2021-08-30,11.18,12.36,11.1,12.36,4018616,,,,9.870381961660598,9.524911232192684,9.39623870887284,9.329098204492595,,0.4493238383492848,0.1570742063352735,0.2922496320140113,1,,0.5,0.05,,,,,,,1.1799999999999995,0.0,0.08,,0,20.142540763263764,,,,0,,,12.465878070973613,33.47732181425484,,,25.22311748430601,,0,25,20,20,,,,,12.36,,,,,,11.94,12.78,13.2,14.04,11.52,10.68,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2021-08-31,12.275,12.66,11.58,12.35,2088909,,,,10.106536060550065,9.635699027008656,9.454729031469418,9.359156928826003,,0.5880630213726281,0.2432719693427444,0.3447910520298837,1,,0.5,0.05,,,,,,,0.0749999999999992,0.3100000000000005,0.6950000000000003,,0,18.16569991457437,,,,0,,,-0.0809061488673101,30.82627118644068,,,22.19814905927156,,0,25,20,20,,,,,12.35,,,,,,12.196666666666667,12.813333333333334,13.276666666666667,13.893333333333334,11.733333333333334,11.116666666666667,10.653333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2021-09-01,12.22,12.74,11.7,12.26,1548717,,,,10.3116278643072,9.738612790655376,9.51027895163834,9.388021038986938,,0.6828807514180077,0.3311937257577971,0.3516870256602106,1,,0.5,0.05,,,,,,,0.0399999999999991,0.4800000000000004,0.5200000000000014,,0,15.892105511360509,,,,0,,,-0.7287449392712531,29.8728813559322,,,18.89490351408936,,0,25,20,20,,,,,12.26,,,,,,12.233333333333333,12.766666666666666,13.273333333333332,13.806666666666668,11.726666666666665,11.193333333333332,10.686666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2021-09-02,12.27,12.99,12.25,12.38,1566563,,,,10.508615686754135,9.84219660278654,9.567105111011836,9.417791973922393,,0.7589586795000791,0.4167467165062535,0.3422119629938255,0,,0.5,0.05,,,,,,,0.1100000000000012,0.6099999999999994,0.0199999999999995,,0,15.11618992928809,,,,0,,,0.978792822185981,11.732851985559575,,,17.808095462133057,,0,25,20,20,10.75,,,,12.38,,,,,,12.54,12.830000000000002,13.28,13.570000000000002,12.090000000000002,11.8,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2021-09-03,12.52,12.9108,12.06,12.36,1077401,,,,10.684938002301362,9.940933990912558,9.62240996029873,9.447067675674408,,0.8083193504532691,0.4950612432956567,0.3132581071576124,0,,0.5,0.05,1974535.7,,0.5456477692451952,,,,0.1600000000000001,0.3908000000000005,0.2999999999999989,,0,13.552281534778624,,,,0,,,-0.1615508885298933,12.465878070973613,,,15.676852756074547,,0,25,20,20,10.975,,,,12.36,,,,,,12.443599999999998,12.827199999999996,13.294399999999998,13.677999999999995,11.976399999999996,11.5928,11.125599999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
