date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,159.28,161.47,152.8,161.06,88699200,,,,161.06,161.06,161.06,161.06,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,1.7800000000000011,0.4099999999999966,6.47999999999999,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,161.06,,,,,,158.44333333333333,164.08666666666664,167.11333333333332,172.75666666666663,155.41666666666666,149.77333333333334,146.74666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,169.04,174.15,168.16,171.7,62786404,,,,162.07333333333332,161.47725490196078,161.27069306930693,161.16587064676617,,0.848774928774958,0.1697549857549916,0.6790199430199664,1,,0.5,0.05,,,,,,,2.6599999999999966,2.450000000000017,0.8799999999999955,,0,5.606678314890312,,,,0,,,6.606233701726061,,,,5.939698079058862,,0,25,20,20,,,,,171.7,,,,,,171.33666666666667,174.51333333333335,177.32666666666668,180.50333333333336,168.52333333333334,165.34666666666666,162.53333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,168.7,169.61,166.08,169.1,26055400,,,,162.74253968253967,161.77618608227604,161.4257288501127,161.2448172074949,,1.2966894749231415,0.39514188358862157,0.9015475913345199,1,,0.5,0.05,,,,,,,0.4000000000000057,0.5100000000000193,2.619999999999976,,0,3.759586231496347,,,,0,,,-1.5142690739662124,,,,3.9064526889292495,,0,25,20,20,,,,,169.1,,,,,,168.26333333333335,170.4466666666667,171.79333333333335,173.9766666666667,166.91666666666669,164.73333333333335,163.38666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,167.46,168.45,164.82,165.24,18816500,,,,162.9803930461073,161.91202192218677,161.50125897189264,161.28457027010688,,1.324922358943212,0.5810979786595397,0.7438243802836723,0,,0.5,0.05,,,,,,,2.219999999999999,0.9899999999999807,0.4200000000000159,,0,1.367469713079581,,,,0,,,-2.2826729745712537,,,,1.3864287057237952,,0,25,20,20,,,,,165.24,,,,,,166.17,167.51999999999998,169.79999999999998,171.14999999999998,163.89,162.54,160.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,159.99,161.77,158.55,159.47,31718100,,,,162.646069898859,161.8162563566108,161.46103602195416,161.2665148445337,,0.8716584092844073,0.6392100647845133,0.23244834449989404,0,,0.5,0.05,,,,,,,0.5200000000000102,1.7800000000000011,0.9199999999999875,,0,-1.9916409975913953,,,,0,,,-3.491890583393853,,,,-1.9527492430859401,,0,25,20,20,,,,,159.47,,,,,,159.93000000000004,161.31000000000006,163.15000000000003,164.53000000000006,158.09000000000006,156.71000000000004,154.87000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,160.17,163.29,158.23,162.29,23769400,,,,162.61215847992005,161.8348345387045,161.4774511502323,161.2766987764289,,0.7315609169957611,0.6576802352267628,0.07388068176899831,0,,0.5,0.05,,,,,,,2.1200000000000045,1.0,1.9399999999999977,,0,-0.19850790555182868,,,,0,,,1.76835768483099,0.7636905501055447,,,-0.19811463234456977,,0,25,20,20,,,,,162.29,,,,,,161.26999999999998,164.30999999999997,166.32999999999998,169.36999999999998,159.24999999999997,156.20999999999998,154.18999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,167.7,169.0,166.14,166.99,24629105,,,,163.02909576754672,162.03699789012788,161.58661053339603,161.33354754482266,,0.9883898228437431,0.7238221527501589,0.2645676700935842,1,,0.5,0.05,,,,,,,0.7099999999999795,1.3000000000000114,0.8500000000000227,,0,2.3719409739824466,,,,0,,,2.896050280362328,-2.7431566686080266,,,2.429568914557988,,0,25,20,20,,,,,166.99,,,,,,167.37666666666667,168.61333333333334,170.23666666666668,171.47333333333336,165.75333333333333,164.51666666666665,162.89333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,169.56,174.79,169.33,173.28,29550200,,,,164.0053723611137,162.47789993365225,161.81816280006146,161.452417718506,,1.6801117311538007,0.9150800684308873,0.7650316627229135,1,,0.5,0.05,,,,,,,3.719999999999999,1.509999999999991,0.22999999999998977,,0,5.3523936050821215,,,,0,,,3.7666926163243186,2.4719101123595655,,,5.655075504761544,,0,25,20,20,,,,,173.28,,,,,,172.46666666666667,175.60333333333332,177.92666666666665,181.0633333333333,170.14333333333335,167.0066666666667,164.68333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,178.01,178.18,171.67,172.0,29374892,,,,164.76676546957907,162.85131562252863,162.0197833386741,161.55736878598358,,2.100804260671282,1.1522249068789663,0.9485793537923157,1,,0.5,0.05,,,,,,,6.009999999999991,0.17000000000001592,0.3300000000000125,,0,4.205368913035424,,,,0,,,-0.7386888273314907,4.091019123698847,,,4.389983932625299,,0,25,20,20,165.49,,,,172.0,,,,,,173.95000000000002,176.23000000000005,180.46000000000004,182.74000000000007,169.72000000000003,167.44,163.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,169.53,172.06,168.88,170.3,16440499,,,,165.29374018676202,163.1434208922334,162.183748025037,161.64436014134694,,2.2708533449294634,1.3759505944890658,0.8949027504403977,0,,0.5,0.05,35183970.0,,0.46727242548240006,,,,0.7700000000000102,1.759999999999991,0.6500000000000057,,0,2.939671058859653,,,,0,,,-0.9883720930232487,6.7912460023829,,,3.0287050239056352,,0,25,20,20,168.20499999999998,,,,170.3,,,,,,170.41333333333333,171.94666666666666,173.59333333333333,175.12666666666667,168.76666666666665,167.23333333333332,165.58666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
