date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,5725.22,5794.9999,5665.05,5720.87,195558,,,,5720.87,5720.87,5720.87,5720.87,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,4.350000000000364,69.77989999999954,55.81999999999971,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,5720.87,,,,,,5726.973300000001,5788.896600000001,5856.9232,5918.846500000001,5658.946700000001,5597.023400000001,5528.996800000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,5708.18,5774.48,5700.12,5703.6,115620,,,,5719.225238095238,5720.192745098039,5720.52801980198,5720.698159203981,,-1.3776638176641427,-0.2755327635328286,-1.102131054131314,0,,0.5,0.05,,,,,,,4.579999999999927,66.29999999999927,3.480000000000473,,0,-0.27395396057292526,,,,0,,,-0.3018771620400318,,,,-0.2732055032761969,,0,25,20,20,,,,,5703.6,,,,,,5726.066666666666,5752.0133333333315,5800.426666666665,5826.373333333331,5677.653333333332,5651.706666666666,5603.293333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,5700.87,5728.164,5643.64,5705.68,170965,,,,5717.935215419501,5719.623617839293,5720.233999607882,5720.548724784042,,-2.2754042580827445,-0.6755070624428118,-1.5998971956399326,0,,0.5,0.05,,,,,,,4.8100000000004,22.48399999999947,57.22999999999956,,0,-0.21478974319451716,,,,0,,,0.03646819552562963,,,,-0.2143293856574731,,0,25,20,20,,,,,5705.68,,,,,,5692.4946666666665,5741.349333333333,5777.018666666666,5825.873333333332,5656.825333333333,5607.970666666667,5572.301333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,5676.19,5693.0,5581.0569,5615.68,151452,,,,5708.196623474787,5715.547397531869,5718.163623378023,5719.505254885694,,-10.132318799628592,-2.566869409879968,-7.565449389748625,0,,0.5,0.05,,,,,,,60.50999999999931,16.8100000000004,34.623100000000704,,0,-1.6474696470380554,,,,0,,,-1.5773755275444779,,,,-1.6207679864129916,,0,25,20,20,,,,,5615.68,,,,,,5629.9123,5678.7677,5741.8554,5790.710800000001,5566.8246,5517.9692,5454.8814999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,5630.0,5665.715,5595.0,5651.99,167952,,,,5702.843611715283,5713.0549505698355,5716.85325459826,5718.833461304742,,-13.276028838736238,-4.708701295651222,-8.567327543085016,0,,0.5,0.05,,,,,,,21.98999999999978,13.725000000000364,35.0,,0,-0.899747022115812,,,,0,,,0.6465824263490738,,,,-0.8917237641027981,,0,25,20,20,,,,,5651.99,,,,,,5637.568333333334,5680.136666666667,5708.283333333334,5750.851666666667,5609.421666666667,5566.8533333333335,5538.706666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,5634.14,5634.14,5587.75,5599.05,138932,,,,5692.958505837637,5708.584168194548,5714.520516883443,5717.641586067879,,-19.810889651841535,-7.729138966889286,-12.08175068495225,0,,0.5,0.05,,,,,,,35.090000000000146,0.0,11.300000000000182,,0,-1.6772221329982189,,,,0,,,-0.9366612467467172,-2.1293964029946433,,,-1.6495554243253612,,0,25,20,20,,,,,5599.05,,,,,,5606.98,5626.209999999999,5653.37,5672.599999999999,5579.819999999999,5560.589999999999,5533.4299999999985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,5577.32,5577.32,5456.97,5505.55,244599,,,,5675.1100767102425,5700.622043951624,5710.382486846147,5715.531222027403,,-32.16371918174627,-12.616055009860684,-19.54766417188559,0,,0.5,0.05,,,,,,,71.76999999999953,0.0,48.57999999999993,,0,-3.0798026847497955,,,,0,,,-1.6699261481858518,-3.472368328774811,,,-2.987784808017913,,0,25,20,20,,,,,5505.55,,,,,,5513.28,5569.589999999999,5633.629999999999,5689.939999999999,5449.24,5392.93,5328.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,5524.86,5596.92,5485.0,5582.95,189831,,,,5666.332926547362,5696.007453992736,5707.859071265035,5714.212005887827,,-35.30096489113839,-17.153036986116227,-18.147927905022165,1,,0.5,0.05,,,,,,,58.090000000000146,13.970000000000255,39.85999999999967,,0,-1.4935280908366066,,,,0,,,1.4058540926882745,-2.1510144277281706,,,-1.4715500770649144,,0,25,20,20,,,,,5582.95,,,,,,5554.956666666666,5624.913333333332,5666.876666666666,5736.833333333332,5512.993333333332,5443.036666666666,5401.073333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,5570.0,5598.5,5453.945,5585.86,220370,,,,5658.668838304757,5691.6879459930215,5705.443248071668,5712.934871500885,,-37.12449398093395,-21.147328385079774,-15.977165595854174,1,,0.5,0.05,,,,,,,15.859999999999673,12.640000000000327,116.05500000000029,,0,-1.3034490356857682,,,,0,,,0.05212298157784012,-0.5310131631432125,,,-1.286677845713434,,0,25,20,20,5624.472449999999,,,,5585.86,,,,,,5546.1016666666665,5638.258333333333,5690.656666666667,5782.8133333333335,5493.703333333333,5401.546666666666,5349.148333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,5594.07,5652.505,5455.0,5505.8,202426,,,,5644.109901323352,5684.398222620746,5701.489916426684,5710.873828003364,,-44.516666413326675,-25.82119599072915,-18.695470422597523,0,,0.5,0.05,179770.5,,1.1260245702159142,,,,88.26999999999953,58.4350000000004,50.80000000000018,,0,-2.512076379878516,,,,0,,,-1.4332618432971733,-2.5865226230053384,,,-2.4505175083660653,,0,25,20,20,5614.2125,,,,5505.8,,,,,,5537.768333333333,5620.536666666667,5735.2733333333335,5818.041666666667,5423.031666666667,5340.263333333333,5225.526666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,5528.49,5638.5,5509.975,5569.7,214137,,,,5637.0232440544605,5679.900253106207,5698.880215111304,5709.469113296863,,-44.70350616618907,-29.59765802582114,-15.105848140367932,1,,0.5,0.05,181628.4,,1.1789841236282432,,,,41.210000000000036,68.80000000000018,18.514999999999418,,0,-1.2087409385507426,,,,0,,,1.1605942823931015,-0.5241960689759906,,,-1.1943048864570245,,0,25,20,20,5591.0545,,,,5569.7,,,,,,5572.724999999999,5635.4749999999985,5701.249999999999,5763.999999999998,5506.949999999999,5444.2,5378.424999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,5546.8,5604.43,5517.5,5571.83,158878,,,,5630.814363668322,5675.662203964787,5696.364369267515,5708.099569880974,,-44.170534392321315,-32.51223329912118,-11.658301093200137,1,,0.5,0.05,185954.2,,0.8543931785353597,,,,25.029999999999745,32.600000000000364,29.300000000000182,,0,-1.058617432124127,,,,0,,,0.03824263425318275,1.2038760886741606,,,-1.047528116872513,,0,25,20,20,5573.4725,,,,5571.83,,,,,,5564.586666666667,5611.673333333334,5651.516666666667,5698.603333333334,5524.743333333334,5477.656666666667,5437.8133333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
