date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,48.84,49.11,47.72,47.92,11609088,,,,47.92,47.92,47.92,47.92,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.9200000000000017,0.269999999999996,0.20000000000000284,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,47.92,,,,,,48.25,48.78,49.64,50.17,47.39,46.86,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,47.97,48.15,46.935,47.14,10859702,,,,47.84571428571429,47.88941176470589,47.90455445544554,47.91223880597015,,-0.06222222222222484,-0.01244444444444497,-0.04977777777777988,0,,0.5,0.05,,,,,,,0.8299999999999983,0.17999999999999972,0.2049999999999983,,0,-1.497060427904723,,,,0,,,-1.6277128547579345,,,,-1.4749790994864458,,0,25,20,20,,,,,47.14,,,,,,47.40833333333334,47.881666666666675,48.623333333333335,49.09666666666667,46.66666666666668,46.19333333333334,45.45166666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,47.2,47.4,46.985,47.21,12198255,,,,47.78517006802721,47.86276816608998,47.89080090187236,47.90525135516448,,-0.10467869578981492,-0.03089129471351896,-0.07378740107629597,0,,0.5,0.05,,,,,,,0.00999999999999801,0.18999999999999773,0.2150000000000034,,0,-1.2183225334192167,,,,0,,,0.14849384811199684,,,,-1.2036580956150145,,0,25,20,20,,,,,47.21,,,,,,47.19833333333333,47.41166666666666,47.61333333333333,47.82666666666666,46.99666666666666,46.78333333333333,46.58166666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,47.3,47.84,47.19,47.63,8562338,,,,47.770391966310335,47.8536400027139,47.88563652757786,47.90251253571011,,-0.10324512156738308,-0.04536206008429179,-0.05788306148309129,1,,0.5,0.05,,,,,,,0.3300000000000054,0.21000000000000085,0.10999999999999943,,0,-0.29475533552452726,,,,0,,,0.8896420249947079,,,,-0.29388908177547,,0,25,20,20,,,,,47.63,,,,,,47.553333333333335,47.91666666666667,48.20333333333334,48.56666666666668,47.266666666666666,46.90333333333333,46.61666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,47.625,47.65,46.65,46.88,7871975,,,,47.68559273142364,47.81545804182316,47.86572293297235,47.892338281623445,,-0.1607744281273895,-0.06844453369291134,-0.09232989443447817,0,,0.5,0.05,,,,,,,0.7449999999999974,0.02499999999999858,0.23000000000000398,,0,-1.7184145294872804,,,,0,,,-1.5746378332983424,,,,-1.6893839109034943,,0,25,20,20,,,,,46.88,,,,,,47.06,47.470000000000006,48.06,48.470000000000006,46.470000000000006,46.06,45.470000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,46.99,47.36,46.8201,47.18,10686964,,,,47.637441042716624,47.790538118614414,47.8521442610323,47.88525033852272,,-0.18008343551056072,-0.09077231405644122,-0.0893111214541195,1,,0.5,0.05,,,,,,,0.18999999999999773,0.17999999999999972,0.1699000000000055,,0,-0.9695655843930145,,,,0,,,0.639931740614319,-1.5442404006677846,,,-0.9602552796789307,,0,25,20,20,,,,,47.18,,,,,,47.12003333333333,47.41996666666667,47.659933333333335,47.95986666666667,46.880066666666664,46.58013333333333,46.34016666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,47.3,47.86,47.04,47.41,9510322,,,,47.61577999102933,47.77561505513934,47.84338892913067,47.88052147943294,,-0.174811763967341,-0.10758020403862117,-0.06723155992871982,1,,0.5,0.05,,,,,,,0.10999999999999943,0.45000000000000284,0.259999999999998,,0,-0.43404343182731747,,,,0,,,0.48749470114455296,0.5727619855748767,,,-0.4321676365862316,,0,25,20,20,,,,,47.41,,,,,,47.43666666666667,47.833333333333336,48.25666666666667,48.653333333333336,47.013333333333335,46.61666666666667,46.193333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,47.32,48.51,47.3,47.5,8380235,,,,47.60475332521701,47.764806621604464,47.8365891483558,47.8767351960555,,-0.16150989294097684,-0.1183661418190923,-0.04314375112188454,1,,0.5,0.05,,,,,,,0.17999999999999972,1.009999999999998,0.020000000000003126,,0,-0.22053331624633937,,,,0,,,0.18983336848765742,0.614276636305866,,,-0.22004803701297965,,0,25,20,20,,,,,47.5,,,,,,47.77,48.24000000000001,48.980000000000004,49.45000000000001,47.03000000000001,46.56,45.82000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,47.6,47.685,46.31,46.69,10633066,,,,47.51763396091063,47.72265734232585,47.81388441274479,47.86492688564699,,-0.21386301515175177,-0.13746551648562422,-0.07639749866612755,0,,0.5,0.05,,,,,,,0.9100000000000037,0.08500000000000085,0.37999999999999545,,0,-1.7726150372898513,,,,0,,,-1.705263157894743,-1.9735460844006014,,,-1.7417406800840862,,0,25,20,20,47.71,,,,46.69,,,,,,46.895,47.480000000000004,48.27,48.855000000000004,46.105000000000004,45.52,44.730000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,46.72,47.17,46.5,47.14,8227251,,,,47.48166882177628,47.699808034783665,47.80054016694786,47.85771368280473,,-0.21654579733795032,-0.15328157265608944,-0.06326422468186088,1,,0.5,0.05,9853919.6,,0.8349216691396589,,,,0.4200000000000017,0.030000000000001137,0.21999999999999886,,0,-0.7247959732207915,,,,0,,,0.9638038123795267,0.5546075085324231,,,-0.7195804828569615,,0,25,20,20,47.41,,,,47.14,,,,,,46.93666666666667,47.373333333333335,47.60666666666667,48.04333333333334,46.70333333333333,46.266666666666666,46.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
