date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,42.94,43.44,42.13,42.98,542148,,,,42.98,42.98,42.98,42.98,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0399999999999991,0.4600000000000008,0.8099999999999952,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,42.98,,,,,,42.85,43.56999999999999,44.15999999999999,44.87999999999998,42.25999999999999,41.54,40.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-24,43.14,44.49,43.14,44.0,679100,,,,43.07714285714285,43.02,43.00019801980198,42.99014925373135,,0.0813675213675182,0.0162735042735036,0.0650940170940145,1,,0.5,0.05,,,,,,,0.8599999999999994,0.490000000000002,0.0,,0,2.0974025974026067,,,,0,,,2.373196835737557,,,,2.1423360084897625,,0,25,20,20,,,,,44.0,,,,,,43.876666666666665,44.61333333333333,45.22666666666667,45.96333333333333,43.26333333333333,42.52666666666666,41.91333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-25,43.56,45.11,43.53,44.78,1110500,,,,43.23931972789115,43.089019607843134,43.035441623370254,43.00795871389322,,0.2064119609418711,0.0543011956071771,0.1521107653346939,1,,0.5,0.05,,,,,,,1.2199999999999989,0.3299999999999983,0.0300000000000011,,0,3.440554426326152,,,,0,,,1.7727272727272814,,,,3.563146418131663,,0,25,20,20,,,,,44.78,,,,,,44.473333333333336,45.41666666666667,46.053333333333335,46.99666666666667,43.83666666666667,42.89333333333334,42.25666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-26,44.62,45.33,44.19,44.93,929400,,,,43.40033689666342,43.161214917339485,43.07295763082827,43.02708350280972,,0.3139947901133268,0.106239914508407,0.2077548756049198,1,,0.5,0.05,,,,,,,0.3100000000000023,0.3999999999999986,0.4299999999999997,,0,3.4045473032196334,,,,0,,,0.3349709691826685,,,,3.5245420029312733,,0,25,20,20,,,,,44.93,,,,,,44.81666666666666,45.44333333333333,45.95666666666666,46.58333333333333,44.30333333333333,43.67666666666666,43.16333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-27,44.99,46.8,44.86,46.68,940215,,,,43.712685763647855,43.29920648920852,43.14438421239603,43.06343093064245,,0.5343061828816928,0.1918531681830642,0.3424530146986286,1,,0.5,0.05,,,,,,,1.6899999999999975,0.1199999999999974,0.1300000000000025,,0,6.356714302382486,,,,0,,,3.8949476964166494,,,,6.788222193429736,,0,25,20,20,,,,,46.68,,,,,,46.11333333333334,47.366666666666674,48.053333333333335,49.30666666666667,45.42666666666668,44.17333333333334,43.48666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-30,46.42,46.7,45.31,45.77,1131560,,,,43.90862045282425,43.39610035237682,43.19637660422977,43.09036196615845,,0.628233271997864,0.2791291889460242,0.3491040830518398,1,,0.5,0.05,,,,,,,0.6499999999999986,0.2800000000000011,0.4600000000000008,,0,4.066811333134698,,,,0,,,-1.9494430162810603,6.491391344811559,,,4.239212090882316,,0,25,20,20,,,,,45.77,,,,,,45.92666666666667,46.54333333333334,47.31666666666667,47.93333333333334,45.153333333333336,44.53666666666667,43.763333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-08-31,45.95,46.86,45.6,46.65,1872700,,,,44.16970421922194,43.52370426012675,43.26476518632423,43.12578125007728,,0.7648629484051384,0.3762759408378471,0.3885870075672912,1,,0.5,0.05,,,,,,,0.6999999999999957,0.2100000000000008,0.3500000000000014,,0,5.316818393950819,,,,0,,,1.9226567620712176,6.02272727272728,,,5.615377835604053,,0,25,20,20,,,,,46.65,,,,,,46.370000000000005,47.14000000000001,47.63,48.400000000000006,45.88000000000001,45.11000000000001,44.62000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-09-01,47.0,47.1,46.22,46.9,801009,,,,44.42973238881985,43.65610801463158,43.33675003411979,43.1633356654994,,0.8831356242409782,0.4776478775184734,0.4054877467225048,1,,0.5,0.05,,,,,,,0.1000000000000014,0.1000000000000014,0.6799999999999997,,0,5.267095119787096,,,,0,,,0.5359056806002238,4.734256364448419,,,5.559942584308156,,0,25,20,20,,,,,46.9,,,,,,46.74,47.260000000000005,47.620000000000005,48.14000000000001,46.38,45.86,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-09-02,47.0,47.7,46.63,46.67,618800,,,,44.64309120893225,43.77429985719505,43.4027549839392,43.198227847932245,,0.9473875996195886,0.5715958219386964,0.3757917776808922,0,,0.5,0.05,,,,,,,0.3299999999999983,0.7000000000000028,0.0399999999999991,,0,4.343065761876481,,,,0,,,-0.4904051172707868,3.872690852437133,,,4.540251887087531,,0,25,20,20,44.915000000000006,,,,46.67,,,,,,47.0,47.37,48.07,48.44,46.3,45.93,45.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
2021-09-03,46.52,46.8,45.44,45.52,756474,,,,44.72660633189109,43.84275868632466,43.44468062782158,43.22133005840058,,0.8951931347496185,0.6363152845008808,0.2588778502487376,0,,0.5,0.05,938190.6,,0.8063116385945457,,,,1.0,0.279999999999994,0.0800000000000054,,0,1.7429562128930562,,,,0,,,-2.4641097064495354,-2.485004284490133,,,1.7738740610490085,,0,25,20,20,45.42,,,,45.52,,,,,,45.92,46.39999999999999,47.28,47.75999999999999,45.03999999999999,44.56,43.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.62,45.34,14.46,78.95,expensive,USD,1.0,stock,25.0
