date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,37.94,38.74,37.89,38.24,9640000,,,,38.24,38.24,38.24,38.24,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.3000000000000042,0.5,0.0499999999999971,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,38.24,,,,,,38.29,38.69,39.14,39.54,37.84,37.44,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-24,38.33,38.55,38.22,38.41,6515000,,,,38.25619047619048,38.24666666666667,38.24336633663366,38.24169154228856,,0.0135612535612494,0.0027122507122498,0.0108490028489995,1,,0.5,0.05,,,,,,,0.0799999999999983,0.1400000000000005,0.1099999999999994,,0,0.4004413533182009,,,,0,,,0.4445606694560622,,,,0.4020513331175707,,0,25,20,20,,,,,38.41,,,,,,38.39333333333333,38.56666666666666,38.72333333333333,38.89666666666666,38.236666666666665,38.06333333333333,37.906666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-25,38.64,38.82,38.41,38.49,8280000,,,,38.27845804988662,38.2562091503268,38.24825017155181,38.24416227321107,,0.0304133895017031,0.0082524784701405,0.0221609110315625,1,,0.5,0.05,,,,,,,0.1499999999999985,0.1799999999999997,0.0800000000000054,,0,0.5496023645450211,,,,0,,,0.2082790939859524,,,,0.5526396853229703,,0,25,20,20,,,,,38.49,,,,,,38.57333333333333,38.736666666666665,38.98333333333333,39.14666666666667,38.32666666666666,38.16333333333333,37.91666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-26,38.4,38.49,37.98,38.13,8455000,,,,38.26431918799266,38.25125977188261,38.245908583996325,38.24302633019404,,0.0145520898595918,0.0095124007480308,0.005039689111561,0,,0.5,0.05,,,,,,,0.269999999999996,0.0900000000000034,0.1500000000000056,,0,-0.3522664253675827,,,,0,,,-0.9353078721745844,,,,-0.3510298650101388,,0,25,20,20,,,,,38.13,,,,,,38.2,38.42,38.71,38.93,37.90999999999999,37.68999999999999,37.399999999999984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-27,38.35,38.6,38.2,38.38,8935000,,,,38.27533640818384,38.256308408279374,38.248563859560754,38.244389252281664,,0.0219023298566796,0.0119903865697605,0.009911943286919,1,,0.5,0.05,,,,,,,0.0300000000000011,0.2199999999999988,0.1499999999999985,,0,0.2727034700785896,,,,0,,,0.6556517178075039,,,,0.2734491754689948,,0,25,20,20,,,,,38.38,,,,,,38.39333333333334,38.58666666666667,38.79333333333334,38.98666666666667,38.18666666666668,37.99333333333334,37.78666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-30,38.38,38.65,38.22,38.32,8235000,,,,38.2795900835949,38.25880611775861,38.24997843659915,38.24514159803011,,0.022625140910172,0.0141173374378428,0.0085078034723292,0,,0.5,0.05,,,,,,,0.0600000000000022,0.269999999999996,0.1000000000000014,,0,0.1054538528316891,,,,0,,,-0.1563314226159518,0.2092050209204998,,,0.105565175376372,,0,25,20,20,,,,,38.32,,,,,,38.39666666666667,38.57333333333334,38.82666666666667,39.00333333333334,38.14333333333334,37.96666666666667,37.71333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-08-31,38.5,38.5,37.92,38.07,15720000,,,,38.25962912325253,38.25140195627788,38.246414507161546,38.243398895562144,,0.0029905895599355,0.0118919878622614,-0.0089013983023258,0,,0.5,0.05,,,,,,,0.4299999999999997,0.0,0.1499999999999985,,0,-0.4981064440570791,,,,0,,,-0.6524008350730637,-0.8851861494402424,,,-0.4956376410279464,,0,25,20,20,,,,,38.07,,,,,,38.16333333333333,38.406666666666666,38.74333333333333,38.986666666666665,37.82666666666667,37.583333333333336,37.24666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-09-01,38.16,38.23,37.85,37.97,9500000,,,,38.23204539722848,38.24036658544346,38.24094095256429,38.24067850854163,,-0.0204038947122953,0.00543281134735,-0.0258367060596453,0,,0.5,0.05,,,,,,,0.1899999999999977,0.0700000000000002,0.1199999999999974,,0,-0.6901379963878944,,,,0,,,-0.2626740215392775,-1.3510002598077553,,,-0.6854077371635464,,0,25,20,20,,,,,37.97,,,,,,38.016666666666666,38.18333333333333,38.39666666666666,38.563333333333325,37.803333333333335,37.63666666666667,37.42333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-09-02,38.16,38.16,37.89,38.06,7280000,,,,38.21566012130196,38.2332933860143,38.2373579634046,38.23888071243674,,-0.0313208964103495,-0.0019179302041898,-0.0294029662061596,0,,0.5,0.05,,,,,,,0.0999999999999943,0.0,0.1700000000000017,,0,-0.4089861305884292,,,,0,,,0.2370292336054902,-0.1835824809860997,,,-0.4073202472700163,,0,25,20,20,38.335,,,,38.06,,,,,,38.03666666666667,38.18333333333334,38.306666666666665,38.45333333333333,37.91333333333334,37.76666666666667,37.64333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
2021-09-03,37.94,38.44,37.8,38.4,7830000,,,,38.23321630022559,38.239830900288254,38.24057859779263,38.240483889427416,,-0.0123946624539925,-0.0040132766541503,-0.0083813857998421,1,,0.5,0.05,9039000.0,,0.8662462661798872,,,,0.4600000000000008,0.0399999999999991,0.1400000000000005,,0,0.4343325514958677,,,,0,,,0.8933263268523284,0.0521104742053024,,,0.4362272283470673,,0,25,20,20,38.31,,,,38.4,,,,,,38.21333333333333,38.626666666666665,38.85333333333333,39.266666666666666,37.986666666666665,37.57333333333333,37.34666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,54.26,12.91,25.38,16.88,19.91,31.08,16.93,21.88,4.36,3.02,47.92,53.13,75.33,27.74,12.28,cheap,USD,1.0,stock,25.0
