date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,64.77,65.09,64.52,64.53,2035957,,,,64.53,64.53,64.53,64.53,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.2399999999999948,0.3200000000000074,0.0100000000000051,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,64.53,,,,,,64.71333333333334,64.90666666666668,65.28333333333335,65.47666666666669,64.33666666666667,64.14333333333333,63.766666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-24,64.81,64.98,64.04,64.58,2182145,,,,64.53476190476191,64.53196078431372,64.5309900990099,64.53049751243782,,0.0039886039886027,0.0007977207977205,0.0031908831908822,1,,0.5,0.05,,,,,,,0.2300000000000039,0.1700000000000017,0.539999999999992,,0,0.070049698417607,,,,0,,,0.0774833410816633,,,,0.0700988024172947,,0,25,20,20,,,,,64.58,,,,,,64.53333333333335,65.02666666666669,65.47333333333334,65.96666666666668,64.08666666666669,63.59333333333335,63.14666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-25,64.43,64.45,63.34,63.56,2822294,,,,64.44192743764172,64.49384467512496,64.51176257229683,64.52084082077177,,-0.0742993969204945,-0.0142217027459224,-0.0600776941745721,0,,0.5,0.05,,,,,,,0.8700000000000045,0.019999999999996,0.2199999999999988,,0,-1.3875510346786046,,,,0,,,-1.5794363580055704,,,,-1.3685615448034707,,0,25,20,20,,,,,63.56,,,,,,63.78333333333334,64.22666666666667,64.89333333333335,65.33666666666667,63.116666666666674,62.67333333333334,62.00666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-26,63.63,63.93,63.3338,63.58,2167513,,,,64.35983911024726,64.45800762904163,64.49331182829096,64.51147922056508,,-0.1331939914000202,-0.038016160476742,-0.0951778309232781,0,,0.5,0.05,,,,,,,0.0500000000000042,0.2999999999999971,0.2462000000000017,,0,-1.22654782989504,,,,0,,,0.0314663310257978,,,,-1.211685922507382,,0,25,20,20,,,,,63.58,,,,,,63.6146,63.8954,64.2108,64.4916,63.29919999999999,63.01839999999999,62.70299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-27,63.81,64.47,63.45,63.98,1735344,,,,64.32366395689039,64.43926223182432,64.48314723763173,64.5061908701117,,-0.145909767799651,-0.0595948819413238,-0.0863148858583272,1,,0.5,0.05,,,,,,,0.1699999999999946,0.490000000000002,0.3599999999999994,,0,-0.5371427897630331,,,,0,,,0.6291286568103072,,,,-0.5342729809681108,,0,25,20,20,,,,,63.98,,,,,,63.96666666666667,64.48333333333333,64.98666666666666,65.50333333333333,63.46333333333334,62.94666666666667,62.44333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-30,63.89,63.95,63.1606,63.23,2715823,,,,64.21950548480558,64.39184018351749,64.45833244084693,64.49349245349367,,-0.2140385411292698,-0.090483613778913,-0.1235549273503567,0,,0.5,0.05,,,,,,,0.6600000000000037,0.0600000000000022,0.0693999999999945,,0,-1.564930388748353,,,,0,,,-1.1722413254141917,-2.014566868123357,,,-1.5408176648755134,,0,25,20,20,,,,,63.23,,,,,,63.446866666666665,63.73313333333333,64.23626666666667,64.52253333333333,62.94373333333333,62.65746666666666,62.15433333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-08-31,62.96,64.0,62.65,62.98,3822528,,,,64.10145734339552,64.33647390181092,64.42905853112718,64.47843282709076,,-0.2849196194800782,-0.1293708149191461,-0.1555488045609321,0,,0.5,0.05,,,,,,,0.019999999999996,1.0200000000000031,0.3100000000000023,,0,-1.7806563089798773,,,,0,,,-0.3953819389530322,-2.477547228244037,,,-1.7495036616528223,,0,25,20,20,,,,,62.98,,,,,,63.21,63.77,64.56,65.12,62.42,61.86,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-09-01,63.39,63.4599,62.15,62.71,2211680,,,,63.96893759640548,64.27269061154382,64.39501776813457,64.46083648055254,,-0.3587447421825089,-0.1752456003718187,-0.1834991418106902,0,,0.5,0.05,,,,,,,0.6799999999999997,0.0698999999999969,0.5600000000000023,,0,-2.0075547702208163,,,,0,,,-0.4287075261987905,-1.3373190685965983,,,-1.968045185224736,,0,25,20,20,,,,,62.71,,,,,,62.7733,63.3966,64.0832,64.7065,62.0867,61.4634,60.7768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-09-02,62.7,64.86,62.7,64.61,2206224,,,,64.02999115865258,64.28591843069897,64.39927484203288,64.46232069467641,,-0.2609297272948652,-0.192382425756428,-0.0685473015384371,1,,0.5,0.05,,,,,,,1.9099999999999968,0.25,0.0,,0,0.8977075396183584,,,,0,,,3.0298198054536707,1.6200062912865798,,,0.905839327558681,,0,25,20,20,63.620000000000005,,,,64.61,,,,,,64.05666666666667,65.41333333333334,66.21666666666667,67.57333333333334,63.25333333333335,61.89666666666668,61.09333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
2021-09-03,64.6,64.66,64.17,64.37,1889717,,,,64.06237295306661,64.28921574714215,64.39869514219065,64.46140208079903,,-0.2004657728695562,-0.1939990951790536,-0.0064666776905026,1,,0.5,0.05,2378922.5,,0.7943583702285384,,,,0.2299999999999897,0.0600000000000022,0.2000000000000028,,0,0.477904376158755,,,,0,,,-0.3714595263890952,0.6095654892154023,,,0.4801992694818913,,0,25,20,20,63.565,,,,64.37,,,,,,64.39999999999999,64.62999999999998,64.88999999999999,65.11999999999998,64.13999999999999,63.91,63.64999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74,-33.28,-3.42,7.12,-0.16,0.49,-4.8,1.6,31.04,0.15,15.87,32.05,22.9,40.23,4.12,10.42,cheap,USD,1.0,stock,25.0
