date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,85.39,85.84,84.51,84.6,3708535,,,,84.6,84.6,84.6,84.6,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.7900000000000063,0.45000000000000284,0.0899999999999892,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,84.6,,,,,,84.98333333333333,85.45666666666666,86.31333333333333,86.78666666666666,84.12666666666667,83.65333333333334,82.79666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,84.49,84.51,83.78,83.81,3269900,,,,84.5247619047619,84.56901960784313,84.58435643564356,84.59213930348258,,-0.0630199430199525,-0.012603988603990502,-0.05041595441596201,0,,0.5,0.05,,,,,,,0.6799999999999926,0.020000000000010232,0.030000000000001137,,0,-0.8528360634314524,,,,0,,,-0.9338061465720915,,,,-0.8456242746560548,,0,25,20,20,,,,,83.81,,,,,,84.03333333333335,84.28666666666669,84.76333333333335,85.0166666666667,83.55666666666669,83.30333333333334,82.82666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,83.58,84.19,82.96,83.57,3158527,,,,84.43383219954649,84.52984236831988,84.56427016959121,84.58196876314943,,-0.13082166540857543,-0.03624752396490749,-0.09457414144366794,0,,0.5,0.05,,,,,,,0.010000000000005116,0.6099999999999994,0.6099999999999994,,0,-1.0336630364323245,,,,0,,,-0.28636200930677314,,,,-1.0230877564634966,,0,25,20,20,,,,,83.57,,,,,,83.57333333333332,84.18666666666665,84.80333333333333,85.41666666666666,82.95666666666665,82.34333333333332,81.72666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,83.79,83.79,82.49,83.03,3914435,,,,84.30013389482778,84.47102502054263,84.53388858207455,84.56652628789422,,-0.22552875086508095,-0.07410376934494219,-0.15142498152013878,0,,0.5,0.05,,,,,,,0.7600000000000051,0.0,0.5400000000000063,,0,-1.5297288869418033,,,,0,,,-0.6461648917075458,,,,-1.506680756180517,,0,25,20,20,,,,,83.03,,,,,,83.10333333333334,83.71666666666668,84.40333333333335,85.0166666666667,82.41666666666667,81.80333333333333,81.11666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,83.32,83.78,83.04,83.71,3903215,,,,84.24393066674894,84.44118090208998,84.51757395668693,84.55800363826343,,-0.24291431638383187,-0.10786587875272013,-0.13504843763111174,1,,0.5,0.05,,,,,,,0.39000000000000057,0.07000000000000739,0.2799999999999869,,0,-0.6378337913617774,,,,0,,,0.8189810911718665,,,,-0.6337912565607366,,0,25,20,20,,,,,83.71,,,,,,83.50999999999999,83.97999999999998,84.24999999999999,84.71999999999997,83.23999999999998,82.77,82.49999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,83.94,84.69,83.41,84.6,5480000,,,,84.27784203182046,84.44740910200802,84.51920615556442,84.55842151250957,,-0.18277008063488154,-0.12284671912915243,-0.059923361505729106,1,,0.5,0.05,,,,,,,0.6599999999999966,0.09000000000000341,0.5300000000000011,,0,0.3808013808268783,,,,0,,,1.063194361486075,0.0,,,0.3822570208405468,,0,25,20,20,,,,,84.6,,,,,,84.23333333333333,85.05666666666667,85.51333333333334,86.33666666666667,83.77666666666667,82.95333333333333,82.49666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,84.77,86.88,84.61,86.39,8277338,,,,84.47899993355183,84.5235891372234,84.55625157822651,84.57664617407664,,0.009226344303868927,-0.09643210644254817,0.1056584507464171,1,,0.5,0.05,,,,,,,1.6200000000000045,0.4899999999999949,0.1599999999999966,,0,2.2120616581180315,,,,0,,,2.1158392434988293,3.078391600047725,,,2.2621007208315578,,0,25,20,20,,,,,86.39,,,,,,85.96,87.30999999999999,88.22999999999999,89.57999999999998,85.03999999999999,83.69,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,86.1,86.21,83.89,85.71,6689100,,,,84.59623803511832,84.57011505341072,84.57909808162796,84.58792332657339,,0.10530073598744139,-0.05608553795655026,0.16138627394399163,1,,0.5,0.05,,,,,,,0.39000000000000057,0.10999999999999943,1.8199999999999932,,0,1.2994539317252074,,,,0,,,-0.7871281398310059,2.560727533804008,,,1.3165620490349945,,0,25,20,20,,,,,85.71,,,,,,85.27,86.64999999999999,87.58999999999999,88.96999999999998,84.33,82.95,82.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,85.75,87.5,85.73,86.96,5223603,,,,84.8213582222499,84.66383603170833,84.626244654269,84.61152607954281,,0.27908778661148403,0.010949126957056597,0.26813865965442746,1,,0.5,0.05,,,,,,,1.2099999999999937,0.5400000000000063,0.01999999999999602,,0,2.4593396708257766,,,,0,,,1.4584062536460163,4.733228953390323,,,2.521348187029028,,0,25,20,20,84.995,,,,86.96,,,,,,86.73,87.73,88.5,89.5,85.96000000000001,84.96000000000001,84.19000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,87.11,87.79,86.63,87.47,4937188,,,,85.07360982013086,84.7738816775237,84.68255664131317,84.63996860611454,,0.4527490053441454,0.09930910263447437,0.35343990270967107,1,,0.5,0.05,4856184.1,,1.0166805661259837,,,,0.35999999999999943,0.3200000000000074,0.480000000000004,,0,2.7396709498904124,,,,0,,,0.5864765409383743,4.491697527177174,,,2.81684318431506,,0,25,20,20,85.14,,,,87.47,,,,,,87.29666666666667,87.96333333333334,88.45666666666668,89.12333333333335,86.80333333333333,86.13666666666666,85.64333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
