date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,235.49,238.5,234.38,234.64,1325086,,,,234.64,234.64,234.64,234.64,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.8500000000000227,3.009999999999991,0.2599999999999909,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,234.64,,,,,,235.84,237.3,239.96,241.42000000000002,233.18,231.72,229.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,235.03,235.28,232.62,232.75,1367423,,,,234.45999999999998,234.56588235294117,234.60257425742572,234.62119402985076,,-0.1507692307692139,-0.03015384615384278,-0.12061538461537111,0,,0.5,0.05,,,,,,,2.280000000000001,0.25,0.12999999999999545,,0,-0.7346938775510116,,,,0,,,-0.8054892601431884,,,,-0.729335494327382,,0,25,20,20,,,,,232.75,,,,,,233.54999999999998,234.47999999999996,236.20999999999998,237.13999999999996,231.81999999999996,230.89,229.15999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,232.88,235.38,232.67,234.74,1563604,,,,234.48666666666665,234.5727104959631,234.60529555925885,234.62237617880746,,-0.1084286653517097,-0.04580880999341616,-0.06261985535829354,1,,0.5,0.05,,,,,,,1.8600000000000136,0.6399999999999864,0.21000000000000796,,0,0.10792082019824432,,,,0,,,0.8549946294307276,,,,0.10803741506270097,,0,25,20,20,,,,,234.74,,,,,,234.26333333333332,235.85666666666665,236.97333333333333,238.56666666666666,233.14666666666665,231.5533333333333,230.43666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,220.73,227.57,215.1,225.9,5959721,,,,233.66888888888886,234.23260420200376,234.4329134689765,234.53558636608304,,-0.7792053885676182,-0.19248812570825657,-0.5867172628593617,0,,0.5,0.05,,,,,,,5.170000000000016,1.6699999999999875,5.6299999999999955,,0,-3.4390831734789082,,,,0,,,-3.76586862060152,,,,-3.3247425131477435,,0,25,20,20,,,,,225.9,,,,,,222.85666666666665,230.61333333333332,235.32666666666665,243.08333333333331,218.14333333333332,210.38666666666666,205.67333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,225.83,226.31,222.79,225.25,3009074,,,,232.86708994708994,233.8803452136899,234.2510735983037,234.44319247189318,,-1.3477147256904232,-0.42353344570468987,-0.9241812799857333,0,,0.5,0.05,,,,,,,0.5800000000000125,0.47999999999998977,2.460000000000008,,0,-3.3816159587524695,,,,0,,,-0.287737937140331,,,,-3.2710031927743106,,0,25,20,20,,,,,225.25,,,,,,224.78333333333333,226.77666666666667,228.30333333333334,230.29666666666668,223.25666666666666,221.26333333333332,219.73666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,225.51,228.24,224.58,225.36,2078600,,,,232.15212899974802,233.54621402883933,234.07501273497093,234.35281244729723,,-1.7689945228585486,-0.6926256611354618,-1.0763688617230869,0,,0.5,0.05,,,,,,,0.14999999999997726,2.730000000000018,0.7800000000000011,,0,-3.013901757076678,,,,0,,,0.0488346281908969,-3.954994885782459,,,-2.925723330219976,,0,25,20,20,,,,,225.36,,,,,,226.06000000000003,227.54000000000005,229.72000000000003,231.20000000000005,223.88000000000005,222.40000000000003,220.22000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,225.46,226.08,221.77,222.91,2568640,,,,231.27192623786726,233.12910759633584,233.8539233738824,234.23895361697586,,-2.2743391557069685,-1.0089683600497632,-1.2653707956572053,0,,0.5,0.05,,,,,,,2.5500000000000114,0.6200000000000045,1.1399999999999864,,0,-3.7512566676538808,,,,0,,,-1.0871494497692646,-4.227712137486572,,,-3.6156252831426143,,0,25,20,20,,,,,222.91,,,,,,223.58666666666667,225.40333333333334,227.89666666666668,229.71333333333334,221.09333333333333,219.27666666666667,216.78333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,222.85,223.67,220.62,222.69,1292219,,,,230.45459992949895,232.7197308278521,233.63285558430056,234.12403865561294,,-2.6618959004662486,-1.3395538681330603,-1.3223420323331883,0,,0.5,0.05,,,,,,,0.1599999999999966,0.8199999999999932,2.069999999999993,,0,-3.486730400780887,,,,0,,,-0.09869454039747039,-5.133339013376503,,,-3.3692536108519056,,0,25,20,20,,,,,222.69,,,,,,222.32666666666668,224.03333333333336,225.37666666666667,227.08333333333334,220.98333333333338,219.2766666666667,217.9333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,222.5,225.02,222.02,224.96,1219900,,,,229.9313046981181,232.4154276581324,233.46111586975994,234.032854191378,,-2.754119607608459,-1.62246701602814,-1.1316525915803188,1,,0.5,0.05,,,,,,,2.460000000000008,0.060000000000002274,0.47999999999998977,,0,-2.2098616190069804,,,,0,,,1.0193542592842109,-0.41611332447986094,,,-2.162082585772755,,0,25,20,20,226.8,,,,224.96,,,,,,224.0,225.98,227.0,228.98,222.98,221.0,219.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,225.35,225.62,221.7,222.45,1107864,,,,229.21879948877353,232.02462657349975,233.24307397134885,233.91760191086678,,-2.995216590610397,-1.8970169309445915,-1.0981996596658057,1,,0.5,0.05,2149213.1,,0.5154742449690075,,,,2.9000000000000057,0.27000000000001023,0.75,,0,-3.042840858068572,,,,0,,,-1.1157539118065496,-1.2430632630410665,,,-2.9529861878126864,,0,25,20,20,225.24,,,,222.45,,,,,,223.25666666666666,224.81333333333333,227.17666666666668,228.73333333333335,220.89333333333332,219.33666666666664,216.9733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
