date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,67.88,69.45,63.63,65.01,1506700,,,,65.01,65.01,65.01,65.01,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.8699999999999903,1.5700000000000074,1.3800000000000026,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,65.01,,,,,,66.03000000000002,68.43000000000004,71.85000000000002,74.25000000000003,62.61000000000003,60.210000000000015,56.79000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,65.39,70.18,61.89,69.0,1346631,,,,65.39,65.1664705882353,65.0890099009901,65.04970149253732,,0.31829059829060213,0.06365811965812043,0.25463247863248173,1,,0.5,0.05,,,,,,,3.6099999999999994,1.1800000000000068,3.5,,0,5.231884057971014,,,,0,,,6.1375173050299825,,,,5.520721822908701,,0,25,20,20,,,,,69.0,,,,,,67.02333333333333,72.15666666666665,75.31333333333333,80.44666666666666,63.866666666666646,58.73333333333332,55.57666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,69.0,69.85,64.51,65.41,1364602,,,,65.39190476190475,65.17602076124568,65.09536614057446,65.05328655231307,,0.27765456449218107,0.10645740862493257,0.17119715586724848,0,,0.5,0.05,,,,,,,3.5900000000000034,0.8499999999999943,0.8999999999999915,,0,0.027664329758816605,,,,0,,,-5.202898550724644,,,,0.02767198502800556,,0,25,20,20,,,,,65.41,,,,,,66.59,68.67,71.92999999999999,74.00999999999999,63.33000000000001,61.250000000000014,57.99000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,66.01,67.0,62.04,63.12,821896,,,,65.17553287981859,65.0953924960988,65.05624997937497,65.0340498702005,,0.05997499881543433,0.09716092666303293,-0.037185927847598596,0,,0.5,0.05,,,,,,,2.8900000000000077,0.9899999999999949,1.0799999999999983,,0,-3.256547654972422,,,,0,,,-3.500993731845281,,,,-3.153841309757948,,0,25,20,20,,,,,63.12,,,,,,64.05333333333333,66.06666666666666,69.01333333333332,71.02666666666666,61.106666666666655,59.09333333333333,56.146666666666654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,64.51,69.22,63.5,67.33,1175313,,,,65.38072022459777,65.18302416291844,65.10127473225863,65.05689514512389,,0.2245853106206539,0.12264580345455713,0.10193950716609677,1,,0.5,0.05,,,,,,,2.819999999999993,1.8900000000000006,1.0100000000000051,,0,2.895113285908558,,,,0,,,6.66983523447402,,,,2.9814290339812852,,0,25,20,20,,,,,67.33,,,,,,66.68333333333334,69.86666666666667,72.40333333333334,75.58666666666667,64.14666666666668,60.96333333333334,58.42666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,65.04,66.83,61.33,62.31,2009435,,,,65.08827067939798,65.07035654868635,65.04600196528321,65.02956285512266,,-0.049461713584605604,0.08822430004672459,-0.1376860136313302,0,,0.5,0.05,,,,,,,2.730000000000004,1.789999999999992,0.980000000000004,,0,-4.458787801954705,,,,0,,,-7.455814644289315,-4.153207198892483,,,-4.268465962297209,,0,25,20,20,,,,,62.31,,,,,,63.49,65.65,68.99000000000001,71.15,60.150000000000006,57.99,54.650000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,63.11,65.56,62.85,64.0,1626635,,,,64.98462585278864,65.02838178207121,65.02528905507958,65.01931844860403,,-0.12879243951653052,0.04482095213407357,-0.17361339165060408,0,,0.5,0.05,,,,,,,0.8900000000000006,1.5600000000000023,0.259999999999998,,0,-1.5384778949822486,,,,0,,,2.7122452254854768,-7.246376811594201,,,-1.5151673797724676,,0,25,20,20,,,,,64.0,,,,,,64.13666666666667,65.42333333333335,66.84666666666666,68.13333333333334,62.71333333333334,61.42666666666667,60.00333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,65.12,73.43,65.12,68.92,4191723,,,,65.35942339061829,65.18099426120567,65.10241204408791,65.05813120035921,,0.2030002104173434,0.07645680379072753,0.12654340662661587,1,,0.5,0.05,,,,,,,3.799999999999997,4.510000000000005,0.0,,0,5.166245805835334,,,,0,,,7.687500000000003,5.366151964531429,,,5.447686691025488,,0,25,20,20,,,,,68.92,,,,,,69.15666666666668,73.19333333333336,77.46666666666668,81.50333333333336,64.88333333333335,60.84666666666668,56.57333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,69.9,72.74,67.42,68.54,2045192,,,,65.66233544865464,65.31271997645251,65.17048309271983,65.09277666105217,,0.4303249337510806,0.14723042978279816,0.28309450396828245,1,,0.5,0.05,,,,,,,1.3599999999999994,2.839999999999989,1.1200000000000045,,0,4.198518458338723,,,,0,,,-0.5513639001741066,8.586818757921444,,,4.38251934184641,,0,25,20,20,67.38,,,,68.54,,,,,,69.56666666666666,71.71333333333332,74.88666666666666,77.03333333333332,66.39333333333333,64.24666666666667,61.07333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,69.7,72.36,67.46,67.97,1761735,,,,65.88211302497325,65.41692703619948,65.22591907108182,65.1214057490019,,0.5580542761492921,0.22939519905609695,0.3286590770931952,1,,0.5,0.05,1784986.2,,0.9869740169419797,,,,1.730000000000004,2.6599999999999966,0.5100000000000051,,0,3.071777217929599,,,,0,,,-0.8316311642836416,0.9505421060448604,,,3.169125699164073,,0,25,20,20,67.38,,,,67.97,,,,,,69.26333333333334,71.06666666666668,74.16333333333334,75.96666666666668,66.16666666666667,64.36333333333333,61.266666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-07,68.55,69.7,62.0,62.93,1763954,,,,65.60095940354724,65.31940048576028,65.1804553271,65.09960071667352,,0.24971624781571222,0.23345940880802002,0.016256839007692203,0,,0.5,0.05,1810711.6,,0.9741772240261783,,,,5.619999999999997,1.1500000000000057,0.9299999999999997,,0,-4.244334027565925,,,,0,,,-7.415036045314105,0.995024875621886,,,-4.071524910354908,,0,25,20,20,67.38,,,,62.93,,,,,,64.87666666666667,67.75333333333333,72.57666666666667,75.45333333333333,60.05333333333333,57.17666666666666,52.353333333333325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-08,64.2,65.22,60.79,63.49,1286000,,,,65.39991565082846,65.24765929024028,65.14698096418714,65.08358478914444,,0.04996746495817206,0.19676102003805043,-0.14679355507987837,0,,0.5,0.05,1804648.5,,0.7126041442419396,,,,0.7100000000000009,1.019999999999996,2.700000000000003,,0,-3.008214917039627,,,,0,,,0.8898776418242438,-0.7968749999999969,,,-2.9203640888858935,,0,25,20,20,67.11,,,,63.49,,,,,,63.166666666666664,65.54333333333332,67.59666666666666,69.97333333333333,61.11333333333333,58.736666666666665,56.68333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-09,63.2,65.65,62.2,64.8,1697800,,,,65.34278082694004,65.23010402395634,65.1401100540052,65.08076304994898,,-0.0025988744881431103,0.15688904113281174,-0.15948791562095485,0,,0.5,0.05,1837968.3,,0.9237373680492749,,,,1.5999999999999943,0.8500000000000085,1.0,,0,-0.8376247329321694,,,,0,,,2.0633170578043813,-5.977945443993038,,,-0.8306668618490504,,0,25,20,20,67.11,,,,64.8,,,,,,64.21666666666667,66.23333333333333,67.66666666666667,69.68333333333334,62.78333333333333,60.766666666666666,59.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-10,65.4,66.25,62.52,62.72,1780143,,,,65.09299217675527,65.13166857203649,65.09218708263876,65.0572728703475,46.78821879382888,-0.2096796375929415,0.08357530538766111,-0.2932549429806026,0,5.622857142857143,0.5,0.05,1933793.0,,0.920544753238842,,15.26898734177214,,2.680000000000007,0.8499999999999943,0.19999999999999574,,0,-3.7834696695715486,,,,0,,,-3.2098765432098775,-8.491391887948652,,,-3.645541704875984,,0,25,20,20,67.11,,,,62.72,,,,,,63.830000000000005,65.14000000000001,67.56,68.87,61.41000000000001,60.10000000000001,57.680000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-13,63.13,63.9,60.03,60.97,1337100,,,,64.70032625515954,64.96846588293702,65.01055961565581,65.016603488553,44.59893048128341,-0.509134028770859,-0.03496656144404291,-0.4741674673268161,0,5.483571428571429,0.5,0.05,1949971.7,,0.6857022591661203,,7.014925373134308,,2.1600000000000037,0.769999999999996,0.9399999999999977,,0,-6.118297941872298,,,,0,,,-2.79017857142857,-10.298661174047375,,,-5.765544736897001,,0,25,20,20,66.73,,,,60.97,,,,,,61.63333333333333,63.236666666666665,65.50333333333333,67.10666666666665,59.36666666666667,57.763333333333335,55.49666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
