date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,287.01,296.0,285.68,290.89,2118700,,,,290.89,290.89,290.89,290.89,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,3.879999999999996,5.110000000000014,1.329999999999984,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,290.89,,,,,,290.8566666666667,296.03333333333336,301.1766666666667,306.3533333333333,285.71333333333337,280.5366666666667,275.3933333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-24,295.47,296.33,291.17,293.99,1379800,,,,291.1852380952381,291.01156862745097,290.9513861386138,290.9208457711443,,0.2472934472934298,0.0494586894586859,0.1978347578347438,1,,0.5,0.05,,,,,,,1.4800000000000182,0.8599999999999568,2.819999999999993,,0,0.954033097983572,,,,0,,,1.0656949362301882,,,,0.963222560013344,,0,25,20,20,,,,,293.99,,,,,,293.83,296.48999999999995,298.98999999999995,301.6499999999999,291.33,288.67,286.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-25,294.59,299.78,292.99,298.9,1526500,,,,291.919977324263,291.32091887735487,291.1087844328987,291.00024034058566,,0.8299046273974682,0.2055478770464424,0.6243567503510258,1,,0.5,0.05,,,,,,,4.310000000000002,0.8799999999999955,1.599999999999966,,0,2.33523676003244,,,,0,,,1.6701248341780328,,,,2.391073999017064,,0,25,20,20,,,,,298.9,,,,,,297.2233333333333,301.4566666666666,304.01333333333326,308.24666666666656,294.66666666666663,290.43333333333334,287.87666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-26,299.8,303.76,294.96,295.15,1050700,,,,292.2275985314761,291.4710789213802,291.18880850353435,291.0415314814754,,0.9777634764545268,0.3599909969280593,0.6177724795264675,0,,0.5,0.05,,,,,,,4.650000000000034,3.95999999999998,0.1899999999999977,,0,0.9901411040230058,,,,0,,,-1.2546002007360335,,,,1.0000429402321245,,0,25,20,20,,,,,295.15,,,,,,297.95666666666665,300.9533333333333,306.75666666666666,309.75333333333333,292.1533333333333,289.15666666666664,283.3533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-27,297.98,302.68,296.0,300.76,1260800,,,,293.040208195145,291.83535033622803,291.3783370480188,291.1382326607642,,1.5299860678643995,0.5939900111153273,0.9359960567490722,1,,0.5,0.05,,,,,,,2.7799999999999727,1.920000000000016,1.9800000000000184,,0,2.5667614725545262,,,,0,,,1.90072844316449,,,,2.634379716149441,,0,25,20,20,,,,,300.76,,,,,,299.81333333333333,303.62666666666667,306.49333333333334,310.3066666666667,296.94666666666666,293.1333333333333,290.26666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-30,304.69,308.74,301.32,303.64,1428400,,,,294.0497121765597,292.29827777402306,291.62114225498874,291.26262835568195,,2.17494694640078,0.910181398172418,1.2647655482283624,1,,0.5,0.05,,,,,,,1.0500000000000114,4.050000000000011,2.319999999999993,,0,3.158440200052772,,,,0,,,0.9575741454980636,4.383100140946761,,,3.261451185397463,,0,25,20,20,,,,,303.64,,,,,,304.56666666666666,307.81333333333333,311.9866666666667,315.2333333333333,300.3933333333333,297.14666666666665,292.9733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-08-31,295.14,299.84,291.3,296.24,2419300,,,,294.2583110168874,292.45285511621825,291.71260478459294,291.3121544416951,,2.065159065523005,1.1411769316425355,0.9239821338804696,0,,0.5,0.05,,,,,,,1.1000000000000227,3.599999999999966,3.839999999999975,,0,0.6689471317555472,,,,0,,,-2.437096561717811,0.7653321541549074,,,0.6734521707354274,,0,25,20,20,,,,,296.24,,,,,,295.7933333333333,300.2866666666667,304.3333333333333,308.82666666666665,291.7466666666667,287.2533333333334,283.2066666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-09-01,296.34,299.17,294.0,297.22,1641600,,,,294.54037663432666,292.6398019744058,291.8216621155911,291.3709389746135,,2.033784981467477,1.319698541607524,0.7140864398599529,0,,0.5,0.05,,,,,,,0.8800000000000523,1.9499999999999889,2.339999999999975,,0,0.9015622655519026,,,,0,,,0.3308128544423416,-0.5620608899297275,,,0.9097643577064244,,0,25,20,20,,,,,297.22,,,,,,296.7966666666667,299.59333333333336,301.9666666666667,304.7633333333334,294.42333333333335,291.62666666666667,289.25333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-09-02,297.0,297.22,290.5,294.57,3769300,,,,294.543197907248,292.7154960146252,291.8760846479556,291.40277042760243,,1.7746310981593751,1.4106850529178945,0.3639460452414809,0,,0.5,0.05,,,,,,,2.430000000000007,0.2200000000000272,4.069999999999993,,0,0.0090987177078669,,,,0,,,-0.8915954511809598,-0.1965102490259163,,,0.0090995456498383,,0,25,20,20,297.21000000000004,,,,294.57,,,,,,294.09666666666664,297.69333333333327,300.81666666666666,304.4133333333333,290.97333333333324,287.3766666666666,284.2533333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
2021-09-03,296.05,314.7,295.98,310.05,9918900,,,,296.02003620179573,293.39528048463995,292.23596415987726,291.5883150004621,,2.786238385047284,1.6857957193437725,1.1004426657035116,1,,0.5,0.05,2651400.0,,3.741004752206381,,,,14.0,4.649999999999977,0.0699999999999931,,0,4.525064924432923,,,,0,,,5.255117629086481,3.0888416012767816,,,4.739531816231556,,0,25,20,20,302.6,,,,310.05,,,,,,306.91,317.84000000000003,325.63,336.56,299.12000000000006,288.19000000000005,280.4000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,78.93,248.09,13.09,62.5,fair,USD,1.0,stock,25.0
