date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,125.26,126.0,123.0,124.01,151922,,,,124.01,124.01,124.01,124.01,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,1.25,0.7399999999999949,1.0100000000000051,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,124.01,,,,,,124.33666666666666,125.67333333333332,127.33666666666666,128.67333333333332,122.67333333333332,121.33666666666666,119.67333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-24,123.69,130.62,123.69,127.16,226091,,,,124.31,124.13352941176473,124.07237623762376,124.04134328358212,,0.2512820512820468,0.0502564102564093,0.2010256410256374,1,,0.5,0.05,,,,,,,3.469999999999999,3.460000000000008,0.0,,0,2.2412708398867527,,,,0,,,2.5401177324409163,,,,2.2926554581288667,,0,25,20,20,,,,,127.16,,,,,,127.15666666666668,130.62333333333336,134.0866666666667,137.55333333333337,123.69333333333336,120.22666666666667,116.76333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-25,127.28,130.58,126.29,127.33,113375,,,,124.59761904761903,124.25888119953864,124.13688363885896,124.07406623598428,,0.4588530937248833,0.1319757469501041,0.3268773467747792,1,,0.5,0.05,,,,,,,0.0499999999999971,3.250000000000014,0.9899999999999948,,0,2.145905091008364,,,,0,,,0.1336898395722041,,,,2.192964017503963,,0,25,20,20,,,,,127.33,,,,,,128.06666666666666,129.8433333333333,132.35666666666668,134.13333333333333,125.55333333333331,123.77666666666666,121.2633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-26,127.43,128.0,119.68,120.0,250818,,,,124.15975056689342,124.09186625053714,124.05496515096075,124.03352826348691,,0.031521539015145,0.1118849053631123,-0.0803633663479672,0,,0.5,0.05,,,,,,,7.430000000000007,0.5699999999999932,0.3199999999999932,,0,-3.4664588057445185,,,,0,,,-5.756695201445061,,,,-3.350321298086273,,0,25,20,20,,,,,120.0,,,,,,122.56,125.44,130.88,133.76,117.12,114.24,108.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-27,119.8,120.775,118.545,120.1,188407,,,,123.77310765576073,123.93532247600626,123.97664900935756,123.9943886787756,,-0.2956643974556243,0.030375044799365,-0.3260394422549894,0,,0.5,0.05,,,,,,,0.2999999999999971,0.6750000000000114,1.2549999999999957,,0,-3.0583744011329985,,,,0,,,0.0833333333333241,,,,-2.967613664493601,,0,25,20,20,,,,,120.1,,,,,,119.80666666666666,121.06833333333331,122.03666666666666,123.29833333333332,118.83833333333332,117.57666666666664,116.6083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-30,121.04,128.8,119.4,128.7,221748,,,,124.24233549806922,124.1221725749864,124.07018071214256,124.04121068197188,,0.1374026255083578,0.0517805609411635,0.0856220645671942,1,,0.5,0.05,,,,,,,7.659999999999982,0.1000000000000227,1.6400000000000006,,0,3.4636087816089858,,,,0,,,7.160699417152361,3.781953068300936,,,3.5878788691959507,,0,25,20,20,,,,,128.7,,,,,,125.63333333333333,131.86666666666665,135.03333333333333,141.26666666666665,122.46666666666664,116.23333333333332,113.06666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-08-31,127.16,130.81,125.4,129.56,209065,,,,124.74877973634834,124.33542070930066,124.1788900049714,124.09612400851942,,0.5437382973404539,0.1501721082210216,0.3935661891194322,1,,0.5,0.05,,,,,,,2.4000000000000057,1.25,1.759999999999991,,0,3.71350745882345,,,,0,,,0.6682206682206759,1.887385970430966,,,3.856727315345279,,0,25,20,20,,,,,129.56,,,,,,128.59,131.78,134.0,137.19,126.37,123.18,120.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-09-01,130.0,137.72,128.94,137.48,139226,,,,125.96127690431516,124.85089440697514,124.44227832170463,124.22929690395704,,1.487690880145195,0.4176758626058562,1.0700150175393384,1,,0.5,0.05,,,,,,,7.47999999999999,0.2400000000000091,1.0600000000000025,,0,8.378471847312206,,,,0,,,6.11299783883914,7.971412864211103,,,9.144654118134152,,0,25,20,20,,,,,137.48,,,,,,134.71333333333334,140.48666666666668,143.49333333333334,149.26666666666668,131.70666666666668,125.93333333333334,122.92666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,25.0
2021-09-02,138.17,152.77,136.6005,152.09,400190,,,,128.44972672295182,125.91909462630946,124.98975795889862,124.50651783028584,,3.375771212768342,1.0092949326383531,2.366476280129989,1,,0.5,0.05,,,,,,,13.920000000000016,0.6800000000000068,1.5694999999999766,,0,15.543607914424474,,,,0,,,10.627000290951427,26.741666666666664,,,18.404300172655844,,0,25,20,20,135.6575,,,,152.09,,,,,,147.1535,157.7065,163.323,173.876,141.537,130.984,125.3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,28.0
2021-09-03,149.0,163.84,146.561,163.06,316140,,,,131.74594322552784,127.37560071939536,125.74362413793034,124.89013456829294,,5.691665818524143,1.9457691098155112,3.745896708708632,1,,0.5,0.05,221698.2,,1.425992633228416,,,,14.060000000000002,0.7800000000000011,2.438999999999993,,0,19.204008815449622,,,,0,,,7.21283450588468,35.770191507077456,,,23.76851689533054,,0,25,20,20,141.1925,,,,163.06,,,,,,157.82033333333334,169.07966666666667,175.09933333333333,186.35866666666664,151.80066666666667,140.54133333333334,134.52166666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,283.7,893.0,11.1,24.24,cheap,USD,1.0,stock,28.0
