date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,137.37,141.77,137.12,140.36,714923,,,,140.36,140.36,140.36,140.36,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.990000000000009,1.4099999999999966,0.25,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,140.36,,,,,,139.75,142.38,144.4,147.03,137.73,135.1,133.07999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,139.77,141.0,137.28,137.33,561133,,,,140.07142857142858,140.24117647058824,140.3,140.32985074626868,,-0.24170940170941435,-0.04834188034188287,-0.1933675213675315,0,,0.5,0.05,,,,,,,2.4399999999999977,1.2299999999999898,0.05000000000001137,,0,-1.996234305270932,,,,0,,,-2.1587346822456555,,,,-1.9571647118816926,,0,25,20,20,,,,,137.33,,,,,,138.53666666666666,139.79333333333332,142.25666666666666,143.51333333333332,136.07333333333332,134.81666666666666,132.35333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,137.34,138.97,136.33,138.68,951923,,,,139.93891156462587,140.1799538638985,140.2679207920792,140.31343432093269,,-0.3206360337984222,-0.10280071103319074,-0.21783532276523146,0,,0.5,0.05,,,,,,,1.3400000000000034,0.28999999999999204,1.009999999999991,,0,-0.9077816301022943,,,,0,,,0.9830335687759373,,,,-0.8996150895774817,,0,25,20,20,,,,,138.68,,,,,,137.99333333333334,139.65666666666667,140.63333333333333,142.29666666666665,137.01666666666668,135.35333333333335,134.3766666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,138.93,139.65,137.51,137.56,506658,,,,139.71234855847104,140.0772105751182,140.21429859817664,140.2860369645055,,-0.4681638961610872,-0.17587334805877006,-0.29229054810231714,0,,0.5,0.05,,,,,,,1.3700000000000045,0.7199999999999989,0.05000000000001137,,0,-1.5646616447157844,,,,0,,,-0.8076146524372718,,,,-1.5405571380616032,,0,25,20,20,,,,,137.56,,,,,,138.23999999999998,138.96999999999997,140.38,141.10999999999999,136.82999999999996,136.09999999999997,134.68999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,137.97,138.05,134.705,136.03,990240,,,,139.3616486957595,139.91849643491747,140.13144120019294,140.24368833799304,,-0.7004644846656163,-0.2807915753801393,-0.41967290928547696,0,,0.5,0.05,,,,,,,1.9399999999999977,0.0800000000000125,1.3249999999999886,,0,-2.449201423038666,,,,0,,,-1.1122419307938336,,,,-2.3906495990391314,,0,25,20,20,,,,,136.03,,,,,,136.26166666666666,137.8183333333333,139.60666666666665,141.1633333333333,134.4733333333333,132.91666666666666,131.1283333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,136.08,137.77,135.735,137.76,531323,,,,139.20911072473478,139.8338495159011,140.08448196850594,140.21897502119708,,-0.7364781709906367,-0.3719288945022388,-0.3645492764883979,1,,0.5,0.05,,,,,,,1.6799999999999784,0.010000000000019327,0.34499999999999886,,0,-1.0519096433905302,,,,0,,,1.2717782842019965,-1.8523795953263145,,,-1.0409596880481435,,0,25,20,20,,,,,137.76,,,,,,137.08833333333334,138.44166666666666,139.12333333333333,140.47666666666666,136.40666666666667,135.05333333333334,134.37166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,136.46,137.0,135.005,136.95,1039425,,,,138.9939573223791,139.72075737802265,140.02241301863452,140.18644790655833,,-0.8209164930858606,-0.4617264142189632,-0.35919007886689736,1,,0.5,0.05,,,,,,,0.4899999999999807,0.05000000000001137,1.4550000000000125,,0,-1.4924843536904713,,,,0,,,-0.5879790940766516,-0.2767057452850996,,,-1.4705368217111747,,0,25,20,20,,,,,136.95,,,,,,136.31833333333333,137.63166666666666,138.31333333333333,139.62666666666667,135.63666666666666,134.32333333333332,133.64166666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,136.66,137.29,135.33,135.97,583950,,,,138.7059613869144,139.57366885339434,139.94216721628533,140.14449320102045,,-0.9558933381110251,-0.5605597989973756,-0.39533353911364943,0,,0.5,0.05,,,,,,,0.6899999999999977,0.6299999999999955,0.6399999999999864,,0,-2.0121801771820236,,,,0,,,-0.715589631252278,-1.9541390250937485,,,-1.9724901219512467,,0,25,20,20,,,,,135.97,,,,,,136.1966666666667,137.06333333333336,138.15666666666667,139.02333333333334,135.10333333333338,134.2366666666667,133.1433333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,136.14,137.06,135.045,135.56,797869,,,,138.40634601673207,139.41627007482987,139.85539162784403,140.0988763532491,,-1.0834576088502672,-0.665139360967954,-0.4183182478823132,0,,0.5,0.05,,,,,,,0.5799999999999841,0.9200000000000159,0.5150000000000148,,0,-2.0996946125199694,,,,0,,,-0.30153710377288645,-1.4539110206455375,,,-2.056514096823258,,0,25,20,20,138.2375,,,,135.56,,,,,,135.88833333333335,136.7316666666667,137.90333333333336,138.74666666666673,134.7166666666667,133.87333333333333,132.70166666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,135.5,138.37,135.5,137.87,659996,,,,138.35526544370998,139.3556320326797,139.81607694214415,140.07669847908744,,-0.9867805262801426,-0.7294675940303917,-0.2573129322497508,1,,0.5,0.05,733744.0,,0.8994908305894154,,,,2.3700000000000045,0.5,0.0,,0,-0.3519731948284451,,,,0,,,1.7040424904101625,1.3526427993824974,,,-0.3507386886604675,,0,25,20,20,137.85250000000002,,,,137.87,,,,,,137.24666666666667,138.99333333333334,140.11666666666667,141.86333333333334,136.12333333333333,134.37666666666667,133.25333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
