date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,139.7,140.09,136.79,139.68,6163121,,,,139.68,139.68,139.68,139.68,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.01999999999998181,0.3900000000000148,2.890000000000015,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,139.68,,,,,,138.85333333333332,140.91666666666666,142.15333333333334,144.21666666666667,137.61666666666665,135.5533333333333,134.31666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,139.65,139.94,137.04,137.26,2783180,,,,139.4495238095238,139.5850980392157,139.6320792079208,139.65592039800995,,-0.1930484330484319,-0.03860968660968638,-0.1544387464387455,0,,0.5,0.05,,,,,,,2.390000000000015,0.28999999999999204,0.21999999999999886,,0,-1.5951652408012675,,,,0,,,-1.7325315005727537,,,,-1.5701192443758525,,0,25,20,20,,,,,137.26,,,,,,138.08,139.12000000000003,140.98000000000002,142.02000000000004,136.22000000000003,135.18,133.32000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,137.0,138.2,136.72,137.88,4108456,,,,139.30004535147393,139.51823144944254,139.5973845701402,139.63824954827854,,-0.2926385337781596,-0.08941545604338104,-0.2032230777347786,0,,0.5,0.05,,,,,,,0.8799999999999955,0.3199999999999932,0.28000000000000114,,0,-1.0299139479793524,,,,0,,,0.45169750837825706,,,,-1.019414852228478,,0,25,20,20,,,,,137.88,,,,,,137.6,138.48,139.07999999999998,139.95999999999998,137.0,136.12,135.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,137.6,138.67,137.39,137.98,3615276,,,,139.17432674657164,139.45790864750361,139.56535715290968,139.62174955277328,,-0.35935284593074357,-0.14340293402085355,-0.21594991190989002,0,,0.5,0.05,,,,,,,0.37999999999999545,0.6899999999999977,0.21000000000000796,,0,-0.8655796105027159,,,,0,,,0.07252683492890988,,,,-0.8581516250094366,,0,25,20,20,,,,,137.98,,,,,,138.01333333333332,138.63666666666666,139.29333333333332,139.91666666666666,137.35666666666665,136.73333333333332,136.07666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,138.23,138.47,136.2366,137.65,3853868,,,,139.02915277070767,139.38701026917016,139.52742928849563,139.6021301542382,,-0.43385149111091437,-0.20149264543886572,-0.23235884567204865,0,,0.5,0.05,,,,,,,0.5799999999999841,0.2400000000000091,1.4133999999999958,,0,-1.0019271854033147,,,,0,,,-0.23916509639076988,,,,-0.9919881860908808,,0,25,20,20,,,,,137.65,,,,,,137.45219999999998,138.66779999999994,139.68559999999997,140.90119999999993,136.43439999999995,135.2188,134.20099999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,137.8,138.85,137.43,138.18,3769837,,,,138.94828107825933,139.33967653312428,139.5007475204066,139.5879796054398,,-0.4449959966952406,-0.2501933156901407,-0.1948026810050999,1,,0.5,0.05,,,,,,,0.37999999999999545,0.6699999999999875,0.37000000000000455,,0,-0.5560002013745265,,,,0,,,0.3850345078096673,-1.0738831615120237,,,-0.5529259320787169,,0,25,20,20,,,,,138.18,,,,,,138.15333333333334,138.87666666666667,139.57333333333332,140.29666666666665,137.45666666666668,136.73333333333335,136.0366666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,137.57,138.49,134.03,136.78,4914037,,,,138.74177811842512,139.23929706123707,139.4468713318837,139.56003950986332,,-0.560337179170773,-0.3122220883862672,-0.24811509078450578,0,,0.5,0.05,,,,,,,0.789999999999992,0.9200000000000159,2.75,,0,-1.4342580190269891,,,,0,,,-1.0131712259371928,-0.34970129680896855,,,-1.413977927218585,,0,25,20,20,,,,,136.78,,,,,,136.4333333333333,138.83666666666662,140.89333333333332,143.29666666666662,134.3766666666666,131.9733333333333,129.9166666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,136.45,137.7,135.9609,136.77,3329432,,,,138.55398972619417,139.14246188236504,139.3938639787771,139.5322779227005,,-0.6451163143961196,-0.3788009335882377,-0.2663153808078819,0,,0.5,0.05,,,,,,,0.3200000000000216,0.9299999999999784,0.4890999999999792,,0,-1.3043721036734404,,,,0,,,-0.007311010381627625,-0.8050478677110395,,,-1.2875773045003078,,0,25,20,20,,,,,136.77,,,,,,136.81029999999998,137.65969999999996,138.54939999999996,139.39879999999994,135.92059999999998,135.0712,134.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,136.58,136.7505,135.2397,136.18,3337061,,,,138.32789546655664,139.02628690658602,139.3302231079102,139.49892192346965,,-0.7512524879840612,-0.45329124446740243,-0.29796124351665876,0,,0.5,0.05,,,,,,,0.4000000000000057,0.17049999999997567,0.9403000000000077,,0,-1.5772473685979096,,,,0,,,-0.43138115083717343,-1.3045368894042508,,,-1.5527565566671457,,0,25,20,20,137.06,,,,136.18,,,,,,136.0567333333333,136.87376666666663,137.5675333333333,138.38456666666661,135.36296666666664,134.54593333333332,133.85216666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,136.37,138.62,134.25,135.05,3575191,,,,138.0157149459322,138.87035408671989,139.24546621468426,139.45465404363415,,-0.9159887779691189,-0.5458307511677458,-0.3701580268013731,0,,0.5,0.05,3944945.9,,0.9062712368248194,,,,1.3199999999999932,2.25,0.8000000000000114,,0,-2.196012547894985,,,,0,,,-0.8297841092671399,-1.8888485288775847,,,-2.1488241010047293,,0,25,20,20,136.985,,,,135.05,,,,,,135.97333333333333,137.69666666666666,140.34333333333333,142.06666666666666,133.32666666666665,131.60333333333332,128.95666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,134.6,135.39,132.465,135.21,5130166,,,,137.74850399870056,138.72681078920147,139.1655559926113,139.4124186800159,,-1.0218535205161459,-0.6410353050374259,-0.38081821547871997,0,,0.5,0.05,3841650.4,,1.3354067824599554,,,,0.6100000000000136,0.1799999999999784,2.134999999999991,,0,-1.8774528501594174,,,,0,,,0.11847463902259214,-2.149370386452454,,,-1.842854132720378,,0,25,20,20,135.6575,,,,135.21,,,,,,134.35500000000002,136.24500000000003,137.28,139.17000000000002,133.32000000000005,131.43000000000004,130.39500000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,135.53,136.43,134.69,136.41,4124168,,,,137.62102742739575,138.63595546413475,139.11099052741108,139.3825438672794,,-0.9974244325343307,-0.7123131305368069,-0.28511130199752377,1,,0.5,0.05,3975749.2,,1.037331026816279,,,,0.8799999999999955,0.020000000000010232,0.8400000000000034,,0,-0.8877849332129232,,,,0,,,0.8875083203904843,-0.2705073841204886,,,-0.8799726684460675,,0,25,20,20,135.6575,,,,136.41,,,,,,135.84333333333333,136.99666666666667,137.58333333333334,138.73666666666668,135.25666666666666,134.10333333333332,133.51666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,136.0,136.6,131.955,132.14,4828868,,,,137.09902481526282,138.38121211260005,138.9729511110267,139.31047875417212,,-1.3075449541151158,-0.8313594952524688,-0.47618545886264707,0,,0.5,0.05,4047790.4,,1.1929639439828703,,,,3.8600000000000136,0.5999999999999943,0.18499999999997385,,0,-3.752856678721687,,,,0,,,-3.130269041859113,-3.385245302332396,,,-3.617111662132525,,0,25,20,20,135.4025,,,,132.14,,,,,,133.565,135.17499999999998,138.20999999999998,139.81999999999996,130.53,128.92000000000002,125.88500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-11,132.91,136.14,132.5925,135.7,3859098,,,,136.96578435666635,138.27606653955692,138.9081401979371,139.27455359243908,37.80637254901954,-1.251627471546044,-0.9154130905111839,-0.3362143810348601,1,2.715914285714283,0.5,0.05,4072172.6,,0.9476754497095727,,46.035648432697975,,2.789999999999992,0.4399999999999977,0.31749999999999545,,0,-0.9327813976907582,,,,0,,,2.6941123051309246,-0.3524746658834066,,,-0.9241609958368782,,0,25,20,20,135.4025,,,,135.7,,,,,,134.8108333333333,137.0291666666666,138.3583333333333,140.5766666666666,133.48166666666663,131.26333333333332,129.93416666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
