date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,141.69,144.68,139.75,141.81,1182020,,,,141.81,141.81,141.81,141.81,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.12000000000000455,2.8700000000000045,1.9399999999999977,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,141.81,,,,,,142.08,144.41000000000003,147.01000000000002,149.34000000000003,139.48000000000002,137.15,134.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,141.82,143.6594,140.39,140.49,928016,,,,141.68428571428572,141.75823529411764,141.7838613861386,141.79686567164183,,-0.10529914529914208,-0.02105982905982842,-0.08423931623931366,0,,0.5,0.05,,,,,,,1.329999999999984,1.839400000000012,0.10000000000002274,,0,-0.850085923756646,,,,0,,,-0.9308229320922345,,,,-0.8429203762893338,,0,25,20,20,,,,,140.49,,,,,,141.51313333333334,142.6362666666667,144.78253333333336,145.90566666666672,139.36686666666668,138.24373333333332,136.09746666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,140.53,143.66,140.29,141.98,1179553,,,,141.71244897959184,141.76693194925028,141.78774531908635,141.7986879037648,,-0.06773808654148183,-0.0303954805561591,-0.037342605985322734,1,,0.5,0.05,,,,,,,1.4499999999999886,1.6800000000000068,0.2400000000000091,,0,0.18844275278782158,,,,0,,,1.0605737063136056,,,,0.18879852993485374,,0,25,20,20,,,,,141.98,,,,,,141.97666666666666,143.66333333333333,145.34666666666666,147.03333333333333,140.29333333333332,138.60666666666665,136.92333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,142.14,146.66,142.07,144.41,2745845,,,,141.9693586005831,141.87058167673067,141.83967115435198,141.82467110870246,,0.15630819124916684,0.006945253804906088,0.14936293744426074,1,,0.5,0.05,,,,,,,2.2700000000000102,2.25,0.06999999999999318,,0,1.6900778335412396,,,,0,,,1.7115086631920073,,,,1.7191325110395197,,0,25,20,20,,,,,144.41,,,,,,144.38,146.69,148.97,151.28,142.1,139.79,137.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,150.23,154.3,146.3,150.03,4083714,,,,142.73703873386089,142.19055886587847,142.00185588396874,141.90631617229747,,0.7783808226663496,0.1612323675771948,0.6171484550891547,1,,0.5,0.05,,,,,,,0.19999999999998863,4.070000000000022,3.7299999999999898,,0,4.861001977030671,,,,0,,,3.8916972508828973,,,,5.10936847984996,,0,25,20,20,,,,,150.03,,,,,,150.21,154.12,158.21,162.12,146.12,142.21,138.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,149.25,149.38,141.8101,145.1,2077833,,,,142.96208266396937,142.30465459662832,142.063205272405,141.93809412083183,,0.8636128749428735,0.30170846905033055,0.561904405892543,0,,0.5,0.05,,,,,,,4.150000000000006,0.12999999999999545,3.2898999999999887,,0,1.4734096044318576,,,,0,,,-3.2860094647737204,2.3200056413511083,,,1.4954436142734253,,0,25,20,20,,,,,145.1,,,,,,145.43003333333334,149.04996666666668,152.99993333333333,156.61986666666667,141.4800666666667,137.86013333333335,133.9101666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,143.86,150.27,141.87,149.77,1432327,,,,143.61045574359133,142.5974132398978,142.21581506899105,142.01602353256484,,1.2930839942484624,0.499983574089957,0.7931004201585055,1,,0.5,0.05,,,,,,,5.909999999999997,0.5,1.990000000000009,,0,4.112668929965066,,,,0,,,3.2184700206754124,6.60545234536265,,,4.289063929583381,,0,25,20,20,,,,,149.77,,,,,,147.3033333333333,152.73666666666662,155.70333333333332,161.13666666666663,144.33666666666662,138.9033333333333,135.9366666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,148.0,151.42,148.0,150.975,1067657,,,,144.31184091086834,142.92594605401945,142.38926427554568,142.10516757701694,,1.7109535721175462,0.7421775736954748,0.9687759984220714,1,,0.5,0.05,,,,,,,2.9749999999999943,0.4449999999999932,0.0,,0,4.413418836980728,,,,0,,,0.8045670027375218,6.335399352021409,,,4.617194990428426,,0,25,20,20,,,,,150.975,,,,,,150.13166666666666,152.26333333333332,153.55166666666665,155.6833333333333,148.84333333333333,146.71166666666667,145.42333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,151.3,154.485,151.04,152.8,1428084,,,,145.12023701459518,143.3131638558226,142.59541745820815,142.2115838200317,,2.1644302662073756,1.026628112197855,1.1378021540095205,1,,0.5,0.05,,,,,,,1.5,1.6850000000000023,0.2600000000000193,,0,5.026022896207352,,,,0,,,1.2088094055307197,5.809846963506682,,,5.292000029349772,,0,25,20,20,147.1175,,,,152.8,,,,,,152.775,154.51000000000002,156.22000000000003,157.95500000000004,151.065,149.32999999999998,147.61999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,154.35,155.34,151.675,153.4,1358600,,,,145.90878587034803,143.70872605755505,142.80936958774856,142.3229113442105,,2.5429156502810883,1.329885619814502,1.2130300304665864,1,,0.5,0.05,1748364.9,,0.7770689059246156,,,,0.9499999999999886,0.9900000000000091,1.7249999999999943,,0,4.8834511927327116,,,,0,,,0.3926701570680535,2.2462174231820287,,,5.134176180664364,,0,25,20,20,147.815,,,,153.4,,,,,,153.47166666666666,155.26833333333332,157.13666666666666,158.9333333333333,151.60333333333332,149.80666666666667,147.93833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,153.65,154.0175,150.02,151.31,1400652,,,,146.4231872160292,144.0068152317686,142.97769890284263,142.41233511192982,,2.643747040649032,1.592657903981408,1.051089136667624,0,,0.5,0.05,1770228.1,,0.7912268481107039,,,,2.3400000000000034,0.3675000000000068,1.289999999999992,,0,3.2296694098016068,,,,0,,,-1.3624511082138246,4.27980702963473,,,3.337458278900135,,0,25,20,20,147.815,,,,151.31,,,,,,151.7825,153.545,155.78,157.5425,149.54749999999999,147.785,145.54999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
