date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,203.96,209.23,202.13,206.72,25723734,,,,206.72,206.72,206.72,206.72,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.759999999999991,2.509999999999991,1.8300000000000125,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,206.72,,,,,,206.02666666666667,209.92333333333335,213.12666666666667,217.02333333333334,202.82333333333335,198.92666666666668,195.72333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,207.0,211.09,205.95,209.16,22788806,,,,206.95238095238093,206.8156862745098,206.76831683168317,206.74427860696517,,0.19464387464384458,0.03892877492876892,0.15571509971507566,1,,0.5,0.05,,,,,,,2.1599999999999966,1.9300000000000068,1.0500000000000114,,0,1.0554690416996855,,,,0,,,1.1803405572755388,,,,1.0667280257708307,,0,25,20,20,,,,,209.16,,,,,,208.73333333333332,211.51666666666665,213.87333333333333,216.65666666666667,206.37666666666664,203.5933333333333,201.23666666666662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,208.37,208.46,206.4501,207.95,23050971,,,,207.0473922902494,206.8601691657055,206.7917164983825,206.75627583475656,,0.24840025649137942,0.08082307124129103,0.1675771852500884,1,,0.5,0.05,,,,,,,0.4200000000000159,0.09000000000000341,1.4998999999999967,,0,0.434050353330408,,,,0,,,-0.5785044941671535,,,,0.435942563567892,,0,25,20,20,,,,,207.95,,,,,,207.62003333333334,208.7899666666667,209.62993333333335,210.7998666666667,206.78006666666667,205.61013333333332,204.77016666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,206.46,209.57,206.39,208.21,15248979,,,,207.15811683403518,206.91310370822686,206.8198013201967,206.77074075182367,,0.30842704846318725,0.12634386668567027,0.18208318177751698,1,,0.5,0.05,,,,,,,1.75,1.3599999999999852,0.0700000000000216,,0,0.5052029998390204,,,,0,,,0.12503005530175582,,,,0.5077682603223995,,0,25,20,20,,,,,208.21,,,,,,208.05666666666664,209.7233333333333,211.23666666666665,212.9033333333333,206.5433333333333,204.87666666666664,203.3633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,207.84,212.9,207.6,212.37,20915705,,,,207.65448665936515,207.12709964123758,206.92970624454924,206.8264547741936,,0.6837936000255809,0.2378338133536524,0.4459597866719285,1,,0.5,0.05,,,,,,,4.530000000000001,0.5300000000000011,0.2400000000000091,,0,2.2204234781912966,,,,0,,,1.9979828058210414,,,,2.2708458731114005,,0,25,20,20,,,,,212.37,,,,,,210.95666666666668,214.31333333333336,216.2566666666667,219.61333333333337,209.01333333333335,205.65666666666667,203.71333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,211.27,215.34,210.97,213.53,24682224,,,,208.2140593584732,207.37819377295375,207.0604051307958,206.89315671673893,,1.0626272959787286,0.40279250987866766,0.659834786100061,1,,0.5,0.05,,,,,,,2.259999999999991,1.8100000000000023,0.30000000000001137,,0,2.489552119855193,,,,0,,,0.546216508923103,3.294311145510842,,,2.553113203741236,,0,25,20,20,,,,,213.53,,,,,,213.28,215.59,217.65,219.96,211.22,208.91,206.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,208.99,212.369,206.96,211.99,28900069,,,,208.57367275290434,207.55904891911243,207.15802087078004,206.94387157527888,,1.2244756070989524,0.5671291293227246,0.6573464777762278,0,,0.5,0.05,,,,,,,3.0,0.3789999999999907,2.030000000000001,,0,1.611551133117442,,,,0,,,-0.7212101344073352,1.3530311723082944,,,1.6379474945253338,,0,25,20,20,,,,,211.99,,,,,,210.43966666666665,213.9193333333333,215.84866666666665,219.3283333333333,208.5103333333333,205.03066666666666,203.10133333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,226.48,231.8,225.12,231.1,72250269,,,,210.71903725262774,208.4822234713041,207.63211946739824,207.18423106209204,,2.8617701459298814,1.026057332644156,1.8357128132857254,1,,0.5,0.05,,,,,,,4.6200000000000045,0.700000000000017,1.3599999999999852,,0,8.819109799814907,,,,0,,,9.014576159252785,11.132483770137046,,,9.672103201068555,,0,25,20,20,,,,,231.1,,,,,,229.34,233.56,236.02,240.24,226.88,222.66,220.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,230.155,232.77,226.76,232.66,32196009,,,,212.80865275237747,209.43037157046865,208.12772106210323,207.4377213002802,,4.236382446769767,1.6681223554692783,2.5682600913004885,1,,0.5,0.05,,,,,,,2.5049999999999955,0.11000000000001364,3.3950000000000102,,0,8.532342150615717,,,,0,,,0.6750324534833485,11.742951827481862,,,9.32826132343472,,0,25,20,20,217.45,,,,232.66,,,,,,230.73,234.7,236.74,240.71,228.68999999999997,224.71999999999997,222.67999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,232.66,236.1299,232.38,235.17,26127737,,,,214.93830487119865,210.4397687637836,208.6632117341408,207.7136643719192,,5.465307953732406,2.427559475121904,3.037748478610502,1,,0.5,0.05,29188450.3,,0.8951395751216021,,,,2.509999999999991,0.9599000000000046,0.28000000000000114,,0,8.603008516733144,,,,0,,,1.0788274735665793,10.73597965814379,,,9.412791796662367,,0,25,20,20,221.03994999999998,,,,235.17,,,,,,234.55996666666667,236.73993333333334,238.30986666666666,240.48983333333334,232.99003333333334,230.81006666666667,229.24013333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
