date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,86.33,90.635,85.82,90.01,2329656,,,,90.01,90.01,90.01,90.01,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,3.680000000000007,0.625,0.5100000000000051,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,90.01,,,,,,88.82166666666666,91.82333333333332,93.63666666666667,96.63833333333334,87.00833333333331,84.00666666666665,82.1933333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,89.24,89.655,88.23,88.82,1808262,,,,89.89666666666668,89.96333333333334,89.98643564356436,89.99815920398011,,-0.09492877492877483,-0.018985754985754968,-0.07594301994301986,0,,0.5,0.05,,,,,,,0.4200000000000017,0.41500000000000625,0.5899999999999892,,0,-1.2121894468213041,,,,0,,,-1.3220753249639006,,,,-1.1976714004968838,,0,25,20,20,,,,,88.82,,,,,,88.90166666666666,89.57333333333331,90.32666666666665,90.9983333333333,88.14833333333331,87.47666666666666,86.72333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,88.55,88.9,87.81,88.23,2078380,,,,89.73793650793652,89.89535947712419,89.95165473973141,89.98056558005992,,-0.21528688890514047,-0.05824598176963207,-0.1570409071355084,0,,0.5,0.05,,,,,,,0.3199999999999932,0.3500000000000085,0.4200000000000017,,0,-1.7090972548300127,,,,0,,,-0.6642648052240352,,,,-1.6803779612239655,,0,25,20,20,,,,,88.23,,,,,,88.31333333333333,88.81666666666666,89.40333333333334,89.90666666666667,87.72666666666666,87.22333333333333,86.63666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,87.88,89.195,87.84,87.84,1641401,,,,89.55718065003781,89.81475714468795,89.90983979439018,89.95926642005932,,-0.33824225582215206,-0.11424523658013608,-0.22399701924201598,0,,0.5,0.05,,,,,,,0.03999999999999204,1.3149999999999977,0.0,,0,-1.9548960041413976,,,,0,,,-0.44202652159129885,,,,-1.9174125821892751,,0,25,20,20,,,,,87.84,,,,,,88.29166666666667,88.74333333333334,89.64666666666666,90.09833333333333,87.38833333333335,86.93666666666668,86.03333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,88.13,88.47,87.25,88.22,1416947,,,,89.42983011193897,89.75221764881783,89.87637762024383,89.94196028652641,,-0.40040680533466855,-0.17147755033104256,-0.228929255003626,0,,0.5,0.05,,,,,,,0.09000000000000341,0.25,0.8799999999999955,,0,-1.37137849913735,,,,0,,,0.43260473588342396,,,,-1.3528261324265412,,0,25,20,20,,,,,88.22,,,,,,87.98,88.71000000000001,89.2,89.93,87.49000000000001,86.76,86.27000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,88.51,89.22,88.37,88.82,1818545,,,,89.37175105365907,89.71566009396224,89.85545925152613,89.93079650258088,,-0.3966849360885192,-0.21651902748253787,-0.1801659086059813,1,,0.5,0.05,,,,,,,0.30999999999998806,0.4000000000000057,0.14000000000000057,,0,-0.621201366425439,,,,0,,,0.6801178871004288,-1.3220753249639006,,,-0.6173662786665127,,0,25,20,20,,,,,88.82,,,,,,88.80333333333333,89.23666666666665,89.65333333333332,90.08666666666664,88.38666666666666,87.95333333333333,87.53666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,87.92,88.21,86.18,86.99,2478022,,,,89.14491761997725,89.60877146282647,89.79871748416917,89.90153484583878,,-0.5352312215955095,-0.2802614663051322,-0.2549697552903773,0,,0.5,0.05,,,,,,,0.9300000000000068,0.28999999999999204,0.8099999999999881,,0,-2.4772015403807965,,,,0,,,-2.06034676874578,-2.06034676874578,,,-2.417319660514601,,0,25,20,20,,,,,86.99,,,,,,87.12666666666667,88.07333333333332,89.15666666666665,90.10333333333331,86.04333333333334,85.09666666666668,84.01333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,86.63,87.625,85.64,86.76,2404364,,,,88.91778260855085,89.4970549348725,89.73854486072028,89.87027579264635,,-0.6560269584275318,-0.35541456472961214,-0.30061239369791964,0,,0.5,0.05,,,,,,,0.13000000000000966,0.8649999999999949,0.9899999999999949,,0,-2.4870707797958116,,,,0,,,-0.26439820669040826,-1.666099965997958,,,-2.4267166198354357,,0,25,20,20,,,,,86.76,,,,,,86.675,87.71,88.66,89.695,85.725,84.69,83.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,86.76,87.4987,85.65,87.28,2482052,,,,88.76180331249839,89.41011160409319,89.68986080407235,89.84450190416231,,-0.7017099208067208,-0.42467363594503393,-0.27703628486168685,1,,0.5,0.05,,,,,,,0.519999999999996,0.21869999999999834,1.1099999999999994,,0,-1.6977581490586453,,,,0,,,0.5993545412632528,-0.6375227686703178,,,-1.6694155111760054,,0,25,20,20,88.1375,,,,87.28,,,,,,86.80956666666668,87.96913333333336,88.65826666666668,89.81783333333335,86.12043333333337,84.96086666666669,84.27173333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,87.39,89.05,86.465,87.78,1398875,,,,88.66829823511759,89.34618565883463,89.65204177824913,89.82395959665821,,-0.6896186814079925,-0.4776626450376257,-0.21195603637036686,1,,0.5,0.05,1985650.4,,0.7044920898462288,,,,0.39000000000000057,1.269999999999996,0.9249999999999972,,0,-1.0119597119134067,,,,0,,,0.572868927589365,-0.4987531172069848,,,-1.0018216801253244,,0,25,20,20,87.64750000000001,,,,87.78,,,,,,87.76499999999999,89.06499999999997,90.34999999999998,91.64999999999996,86.47999999999998,85.17999999999999,83.89499999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
