date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,10.31,10.39,10.23,10.26,950927,,,,10.26,10.26,10.26,10.26,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0500000000000007,0.08,0.0299999999999993,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,10.26,,,,,,10.293333333333337,10.35666666666667,10.453333333333337,10.51666666666667,10.196666666666667,10.133333333333336,10.036666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-24,10.3,10.42,10.25,10.26,686317,,,,10.26,10.26,10.26,10.26,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0400000000000009,0.1199999999999992,0.0099999999999997,,0,0.0,,,,0,,,0.0,,,,0.0,,0,25,20,20,,,,,10.26,,,,,,10.31,10.37,10.48,10.54,10.2,10.14,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-25,10.28,10.42,10.26,10.34,531045,,,,10.267619047619048,10.26313725490196,10.26158415841584,10.260796019900498,,0.0063817663817662,0.0012763532763532,0.0051054131054129,1,,0.5,0.05,,,,,,,0.0600000000000005,0.08,0.0199999999999995,,0,0.7000092106475027,,,,0,,,0.7797270955165692,,,,0.7049438827566956,,0,25,20,20,,,,,10.34,,,,,,10.34,10.42,10.5,10.58,10.26,10.18,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-26,10.35,10.49,10.275,10.41,487661,,,,10.281179138321995,10.26889657823914,10.264523085971964,10.262280636617907,,0.0168930446993123,0.004399691560945,0.0124933531383672,1,,0.5,0.05,,,,,,,0.0600000000000005,0.08,0.0749999999999992,,0,1.2374722543516297,,,,0,,,0.6769825918762074,,,,1.252977503308338,,0,25,20,20,,,,,10.41,,,,,,10.391666666666667,10.508333333333336,10.606666666666667,10.723333333333334,10.293333333333337,10.176666666666668,10.078333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-27,10.41,10.6,10.33,10.53,187569,,,,10.30487636324371,10.279135928112114,10.269780054566576,10.264944510880415,,0.0345085129572275,0.0104214558402015,0.024087057117026,1,,0.5,0.05,,,,,,,0.1199999999999992,0.0700000000000002,0.08,,0,2.137926274988496,,,,0,,,1.1527377521613813,,,,2.18463209863709,,0,25,20,20,,,,,10.53,,,,,,10.486666666666666,10.643333333333333,10.756666666666666,10.913333333333332,10.373333333333331,10.216666666666669,10.103333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-30,10.6,11.74,10.35,10.49,1276193,,,,10.32250718579193,10.287405107401836,10.274140845565258,10.267183868981109,,0.0447256631540877,0.0172822973029788,0.0274433658511089,1,,0.5,0.05,,,,,,,0.1099999999999994,1.1400000000000006,0.1400000000000005,,0,1.5966903165688364,,,,0,,,-0.3798670465337106,2.2417153996101336,,,1.6225981846601265,,0,25,20,20,,,,,10.49,,,,,,10.86,11.37,12.25,12.76,9.98,9.47,8.589999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-08-31,10.85,10.88,10.665,10.75,421317,,,,10.363220787145078,10.305546083582156,10.283563799118422,10.271988009588265,,0.0729615994832038,0.0284181577390238,0.0445434417441799,1,,0.5,0.05,,,,,,,0.0999999999999996,0.0300000000000011,0.0850000000000008,,0,3.5979461660922967,,,,0,,,2.4785510009532885,4.775828460038989,,,3.7322297845347183,,0,25,20,20,,,,,10.75,,,,,,10.765,10.865000000000002,10.980000000000002,11.080000000000004,10.65,10.55,10.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-09-01,10.8,10.8,10.66,10.69,284487,,,,10.394342616940785,10.320622707755406,10.291612040720038,10.276147332875942,,0.0894659758153242,0.0406277213542838,0.0488382544610403,1,,0.5,0.05,,,,,,,0.1100000000000012,0.0,0.0299999999999993,,0,2.7657379144921874,,,,0,,,-0.5581395348837281,3.3849129593810368,,,2.84440675043124,,0,25,20,20,,,,,10.69,,,,,,10.716666666666669,10.773333333333332,10.856666666666667,10.913333333333334,10.633333333333333,10.576666666666666,10.493333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-09-02,10.7,10.78,10.6399,10.69,383395,,,,10.422500462946424,10.335108091765,10.299500911200829,10.280265269862252,,0.1013771997129637,0.0527776170260198,0.0485995826869439,0,,0.5,0.05,,,,,,,0.0099999999999997,0.08,0.0500999999999987,,0,2.502334303588174,,,,0,,,0.0,2.6897214217098897,,,2.5665581690744688,,0,25,20,20,10.985,,,,10.69,,,,,,10.7033,10.766699999999997,10.843399999999995,10.906799999999995,10.626599999999998,10.5632,10.4865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
2021-09-03,10.73,10.9396,10.62,10.64,282622,,,,10.443214704570574,10.34706463718598,10.306243467414674,10.283844719913374,,0.1055654554764959,0.0633351847161151,0.0422302707603808,0,,0.5,0.05,549153.3,,0.5146504628124787,,,,0.0899999999999998,0.2096,0.0200000000000013,,0,1.849485859299125,,,,0,,,-0.4677268475210328,1.0446343779677123,,,1.88433639445622,,0,25,20,20,10.995,,,,10.64,,,,,,10.733200000000002,10.846400000000004,11.052800000000005,11.166000000000006,10.526800000000003,10.4136,10.207200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,3.97,8.01,43.2,6.59,11.84,54.36,2.35,27.95,3.31,-0.28,15.9,,,,,,USD,1.0,stock,25.0
