date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,655.0,670.39,642.5191,662.66,6368783,,,,662.66,662.66,662.66,662.66,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,7.659999999999968,7.730000000000018,12.48090000000002,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,662.66,,,,,,658.5230333333333,674.5269666666666,686.3939333333333,702.3978666666666,646.6560666666666,630.6521333333333,618.7851666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,664.99,670.4254,655.75,656.96,2201545,,,,662.1171428571428,662.4364705882352,662.5471287128712,662.6032835820896,,-0.45470085470094546,-0.0909401709401891,-0.3637606837607564,0,,0.5,0.05,,,,,,,8.029999999999973,5.435399999999959,1.2100000000000364,,0,-0.7850010437686815,,,,0,,,-0.8601696194126651,,,,-0.778886774459399,,0,25,20,20,,,,,656.96,,,,,,661.0451333333334,666.3402666666668,675.7205333333334,681.0156666666668,651.6648666666669,646.3697333333334,636.9894666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,658.0,666.42,656.44,659.54,3762904,,,,661.8717006802719,662.3228835063437,662.487581609646,662.572803148437,,-0.5999542211509379,-0.19274298098233886,-0.407211240168599,0,,0.5,0.05,,,,,,,1.5399999999999636,6.8799999999999955,1.5599999999999454,,0,-0.35353438461230235,,,,0,,,0.392717973697021,,,,-0.35228892213935964,,0,25,20,20,,,,,659.54,,,,,,660.8000000000001,665.1600000000001,670.78,675.14,655.1800000000002,650.8200000000002,645.2000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,661.795,664.33,654.36,663.17,1690649,,,,661.9953482345318,662.3561037609969,662.5010948450986,662.5787454056665,,-0.41734698151879,-0.2376637810896291,-0.17968320042916092,1,,0.5,0.05,,,,,,,1.375,1.1600000000000819,7.434999999999945,,0,0.17712679485926444,,,,0,,,0.5503836006913954,,,,0.1774410905757646,,0,25,20,20,,,,,663.17,,,,,,660.62,666.88,670.59,676.85,656.91,650.65,646.9399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,663.66,674.6229,661.98,668.2,2071113,,,,662.5862674502907,662.5852761625265,662.6139444521264,662.6346782872022,,0.1317310208313529,-0.1637848207054327,0.2955158415367856,1,,0.5,0.05,,,,,,,4.540000000000077,6.422899999999913,1.67999999999995,,0,0.8401275890016928,,,,0,,,0.7584782182547656,,,,0.8472455324665285,,0,25,20,20,,,,,668.2,,,,,,668.2676333333333,674.5552666666665,680.9105333333332,687.1981666666665,661.9123666666666,655.6247333333333,649.2694666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,668.2,673.74,664.3501,667.0,1594293,,,,663.0066229312155,662.7584025875254,662.7007970372327,662.6781143241454,,0.46469263497090196,-0.03808932957016578,0.5027819645410677,1,,0.5,0.05,,,,,,,1.2000000000000455,5.539999999999964,2.6499000000000024,,0,0.5987072067143216,,,,0,,,-0.17958695001497604,0.6549361663598319,,,0.6023132998475075,,0,25,20,20,,,,,667.0,,,,,,668.3633666666666,672.3766333333332,677.7532666666666,681.7665333333332,662.9867333333332,658.9734666666666,653.5968333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,655.26,664.67,655.0783,661.99,1680258,,,,662.9098016996711,662.7282691527206,662.6867218483767,662.6712674154475,,0.32060623425434187,0.03364978319473576,0.2869564510596061,0,,0.5,0.05,,,,,,,6.730000000000018,2.67999999999995,0.181699999999978,,0,-0.13894495380158275,,,,0,,,-0.7511244377811033,0.7656478324403304,,,-0.13875216467048265,,0,25,20,20,,,,,661.99,,,,,,660.5794333333333,666.0805666666666,670.1711333333333,675.6722666666666,656.4888666666667,650.9877333333334,646.8971666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,665.29,669.92,658.305,668.68,1987260,,,,663.4593443949404,662.9616703624179,662.8054006236564,662.7310557993734,,0.7377396099407179,0.17446774854393218,0.5632718613967856,1,,0.5,0.05,,,,,,,3.3899999999999864,1.240000000000009,6.985000000000014,,0,0.7807405044355306,,,,0,,,1.0105892838260244,1.3858143554598579,,,0.786884026755343,,0,25,20,20,,,,,668.68,,,,,,665.6349999999999,672.9649999999998,677.2499999999999,684.5799999999998,661.3499999999998,654.0199999999999,649.7349999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,665.0,671.81,659.23,668.29,1719255,,,,663.9194068335175,663.1706244658525,662.9140065519008,662.7863686769915,,1.0250351081571125,0.34458122046656825,0.6804538876905443,1,,0.5,0.05,,,,,,,3.2899999999999636,3.519999999999982,5.769999999999982,,0,0.6539964935106649,,,,0,,,-0.05832386193694861,0.7720493990982735,,,0.6583017639637064,,0,25,20,20,658.5709999999999,,,,668.29,,,,,,666.4433333333333,673.6566666666665,679.0233333333332,686.2366666666665,661.0766666666666,653.8633333333333,648.4966666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,672.22,677.0,667.25,672.82,1614148,,,,664.7670823731826,663.5490313495445,663.1101648380018,662.8862058045837,,1.5998103833049981,0.5956270530342542,1.004183330270744,1,,0.5,0.05,2469020.8,,0.6537603895439035,,,,0.6000000000000227,4.17999999999995,4.970000000000027,,0,1.196890346127861,,,,0,,,0.6778494366218357,0.691409757557615,,,1.211389348291584,,0,25,20,20,665.6800000000001,,,,672.82,,,,,,672.3566666666667,677.4633333333334,682.1066666666667,687.2133333333334,667.7133333333334,662.6066666666667,657.9633333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
