date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-11-17,28.0,28.25,21.46,24.45,5815310,,,,24.45,24.45,24.45,24.45,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,3.5500000000000007,0.25,2.9899999999999984,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,24.45,,,,,,24.72,27.98,31.51,34.77,21.19,17.93,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,25.0
2021-11-18,24.31,25.06,21.68,23.4,1145905,,,,24.35,24.40882352941177,24.42920792079208,24.439552238805973,,-0.0837606837606834,-0.0167521367521366,-0.0670085470085467,0,,0.5,0.05,,,,,,,0.91,0.75,1.7199999999999989,,0,-4.059829059829057,,,,0,,,-4.294478527607371,,,,-3.901437371663242,,0,25,20,20,,,,,23.4,,,,,,23.379999999999995,25.07999999999999,26.759999999999994,28.45999999999999,21.699999999999992,20.0,18.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,25.0
2021-11-19,23.77,25.13,23.05,24.8,986390,,,,24.39285714285714,24.424163783160324,24.43655033820213,24.44313878369348,,-0.0367497017069631,-0.0207516497431019,-0.0159980519638611,1,,0.5,0.05,,,,,,,1.0300000000000011,0.3299999999999983,0.7199999999999989,,0,1.6417050691244433,,,,0,,,5.982905982905984,,,,1.6691068814055836,,0,25,20,20,,,,,24.8,,,,,,24.326666666666668,25.60333333333333,26.406666666666663,27.683333333333334,23.523333333333337,22.24666666666667,21.44333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,25.0
2021-11-22,25.0,25.21,22.085,22.64,1123638,,,,24.22591836734693,24.354196575977568,24.40097508398031,24.425197104253744,,-0.171806627998702,-0.050962645394222,-0.12084398260448,0,,0.5,0.05,,,,,,,2.3599999999999994,0.2100000000000008,0.5549999999999997,,0,-7.004939785101301,,,,0,,,-8.709677419354843,,,,-6.546370475203636,,0,25,20,20,,,,,22.64,,,,,,23.311666666666667,24.53833333333333,26.436666666666667,27.66333333333333,21.41333333333333,20.186666666666667,18.28833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,25.0
2021-11-23,22.5,24.0,20.88,21.0,474890,,,,23.918688046647222,24.222659455351,24.333629042713373,24.39111554102734,,-0.4064887596745841,-0.1220678682502944,-0.2844208914242896,0,,0.5,0.05,,,,,,,1.5,1.5,0.120000000000001,,0,-13.898514507843934,,,,0,,,-7.243816254416968,,,,-12.20254238424398,,0,25,20,20,,,,,21.0,,,,,,21.96,23.04,25.08,26.16,19.919999999999995,18.84,16.799999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,26.5
2021-11-24,21.0,21.05,18.83,20.07,442208,,,,23.55214632791892,24.05981006494508,24.249200744837857,24.34811936648976,,-0.6599122103075423,-0.229636736661744,-0.4302754736457983,0,,0.5,0.05,,,,,,,0.9299999999999996,0.0500000000000007,1.240000000000002,,0,-17.350006616437064,,,,0,,,-4.428571428571426,-17.91411042944785,,,-14.784836504650755,,0,25,20,20,,,,,20.07,,,,,,19.98333333333333,21.136666666666663,22.203333333333333,23.356666666666666,18.91666666666666,17.76333333333333,16.69666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,28.0
2021-11-26,19.45,20.92,18.83,18.99,216631,,,,23.11765620145045,23.86099398396684,24.14505815583117,24.294804745927674,,-0.9370968259281512,-0.3711287545150254,-0.5659680714131257,0,,0.5,0.05,,,,,,,0.4600000000000008,1.4700000000000024,0.1600000000000001,,0,-21.73594629515773,,,,0,,,-5.381165919282516,-18.846153846153847,,,-17.854994318980637,,0,25,20,20,,,,,18.99,,,,,,19.58,20.33,21.67,22.42,18.239999999999995,17.489999999999995,16.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,28.0
2021-11-29,19.2,19.9156,18.9134,19.06,295332,,,,22.731212753693264,23.672719710085783,24.04436393492362,24.24271713651546,,-1.1380010481274532,-0.524503213237511,-0.6134978348899421,0,,0.5,0.05,,,,,,,0.1400000000000005,0.715600000000002,0.1465999999999994,,0,-19.261347081286807,,,,0,,,0.3686150605581861,-23.14516129032259,,,-16.150536240512654,,0,25,20,20,,,,,19.06,,,,,,19.296333333333333,19.679266666666667,20.29853333333333,20.68146666666667,18.677066666666665,18.29413333333333,17.674866666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,28.0
2021-11-30,19.16,19.3076,17.13,18.15,640576,,,,22.29490677715105,23.45614246655301,23.927643857004337,24.182093085405853,,-1.3550285606981056,-0.69060828272963,-0.6644202779684756,0,,0.5,0.05,,,,,,,1.0100000000000016,0.1476000000000006,1.0199999999999996,,0,-22.83695194022617,,,,0,,,-4.774396642182587,-19.83215547703181,,,-18.591272072054416,,0,25,20,20,22.69,,,,18.15,,,,,,18.195866666666667,19.261733333333336,20.37346666666667,21.439333333333337,17.084133333333334,16.018266666666666,14.906533333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,28.0
2021-12-01,17.85,19.3,17.85,18.47,338640,,,,21.9306299412319,23.260607467864656,23.81957170142009,24.125256338287382,,-1.4840953746984908,-0.8493057011234022,-0.6347896735750886,1,,0.5,0.05,1147952.0,,0.2949949126792758,,,,0.6199999999999974,0.8300000000000018,0.0,,0,-18.736491289831623,,,,0,,,1.763085399449027,-12.047619047619053,,,-15.77989301039434,,0,25,20,20,21.17,,,,18.47,,,,,,18.540000000000003,19.230000000000004,19.99,20.680000000000003,17.780000000000005,17.090000000000003,16.330000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,121.2,188.63,43.25,53.33,fair,USD,1.0,stock,28.0
