date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,398.57,406.32,396.56,404.36,546458,,,,404.36,404.36,404.36,404.36,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,5.7900000000000205,1.9599999999999795,2.009999999999991,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,404.36,,,,,,402.41333333333336,408.2666666666667,412.17333333333335,418.0266666666667,398.5066666666667,392.65333333333336,388.7466666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-24,403.5,406.83,402.0,405.8,490974,,,,404.4971428571429,404.4164705882353,404.3885148514852,404.37432835820897,,0.1148717948717603,0.022974358974352,0.0918974358974082,1,,0.5,0.05,,,,,,,2.300000000000012,1.0299999999999727,1.5,,0,0.3210589312117139,,,,0,,,0.3561183104164644,,,,0.3220930396824257,,0,25,20,20,,,,,405.8,,,,,,404.8766666666666,407.7533333333332,409.7066666666666,412.5833333333332,402.9233333333332,400.0466666666666,398.0933333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-25,404.85,409.04,402.65,408.32,506123,,,,404.861224489796,404.5695501730104,404.4663660425449,404.4135887725552,,0.4045876251004188,0.0992970121995654,0.3052906129008533,1,,0.5,0.05,,,,,,,3.4699999999999704,0.7200000000000273,2.200000000000045,,0,0.8470747233062355,,,,0,,,0.6209955643173837,,,,0.8543113790565524,,0,25,20,20,,,,,408.32,,,,,,406.67,410.69000000000005,413.06000000000006,417.0800000000001,404.3,400.28,397.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-26,408.54,408.54,402.0,404.44,469085,,,,404.8211078717201,404.5644697740688,404.4658439426925,404.41385157083823,,0.3174466074721636,0.142926931254085,0.1745196762180785,0,,0.5,0.05,,,,,,,4.100000000000023,0.0,2.4399999999999977,,0,-0.0942310037879865,,,,0,,,-0.9502351097178674,,,,-0.0941422925607175,,0,25,20,20,,,,,404.44,,,,,,404.9933333333333,407.9866666666667,411.53333333333336,414.5266666666667,401.44666666666666,398.4533333333333,394.9066666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-27,403.76,409.34,402.83,405.97,465839,,,,404.9305261696516,404.6195886064583,404.4956292111541,404.42933563481,,0.3676073873078849,0.187863022464845,0.1797443648430398,1,,0.5,0.05,,,,,,,2.2100000000000364,3.369999999999948,0.9300000000000068,,0,0.2560469567575116,,,,0,,,0.3783008604490323,,,,0.2567042401522891,,0,25,20,20,,,,,405.97,,,,,,406.0466666666666,409.26333333333326,412.5566666666666,415.77333333333326,402.7533333333333,399.5366666666666,396.2433333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-30,406.44,417.85,406.41,414.52,857947,,,,405.8438093915895,405.007840033656,404.6941316030124,404.5297402553592,,1.0847691676656837,0.3672442515050128,0.7175249161606709,1,,0.5,0.05,,,,,,,8.079999999999984,3.330000000000041,0.0299999999999727,,0,2.093069238736485,,,,0,,,2.1060669507598995,2.5126125234939067,,,2.1378151908777845,,0,25,20,20,,,,,414.52,,,,,,412.9266666666667,419.4433333333333,424.3666666666667,430.8833333333333,408.0033333333333,401.4866666666667,396.5633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-08-31,413.97,413.97,397.36,400.17,1275483,,,,405.3034465923905,404.8181208166499,404.6045448385963,404.4863597553058,,0.4895566688842336,0.3917067349808569,0.0978499339033767,0,,0.5,0.05,,,,,,,13.800000000000011,0.0,2.8100000000000023,,0,-1.2828164511059046,,,,0,,,-3.461835375856404,-1.3873829472646593,,,-1.2665686994646144,,0,25,20,20,,,,,400.17,,,,,,403.8333333333333,410.3066666666666,420.4433333333333,426.9166666666666,393.6966666666666,387.2233333333333,377.0866666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-09-01,400.71,401.95,393.68,395.53,966304,,,,404.37264215502,404.45388078462446,404.4248508813964,404.3972417477904,,-0.3524993534530836,0.2428655172940688,-0.5953648707471525,0,,0.5,0.05,,,,,,,5.180000000000007,1.240000000000009,1.849999999999966,,0,-2.235643858877969,,,,0,,,-1.159507209436006,-3.1323471786833923,,,-2.186755787408121,,0,25,20,20,,,,,395.53,,,,,,397.0533333333333,400.42666666666656,405.32333333333327,408.69666666666654,392.1566666666666,388.7833333333333,383.8866666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-09-02,398.24,398.85,386.51,388.37,884521,,,,402.84858099739904,403.8231403616981,404.1069330421609,404.2377667055239,,-1.5793808598033934,-0.1215837581254235,-1.4577971016779698,0,,0.5,0.05,,,,,,,9.870000000000005,0.6100000000000136,1.8600000000000136,,0,-3.72803795282824,,,,0,,,-1.8102293125679347,-3.9733953120364,,,-3.5940503902364536,,0,25,20,20,402.18,,,,388.37,,,,,,391.2433333333333,395.9766666666667,403.58333333333337,408.3166666666667,383.63666666666666,378.9033333333333,371.2966666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
2021-09-03,388.27,390.77,385.12,388.33,712426,,,,401.4658589976467,403.2155662298668,403.7945185264745,404.0794804696481,,-2.525805050137137,-0.6024280165277662,-1.923377033609371,0,,0.5,0.05,717516.0,,0.9929060815368576,,,,0.0600000000000022,2.4399999999999977,3.1499999999999773,,0,-3.382653670240961,,,,0,,,-0.0102994567036662,-4.345148656304665,,,-3.27197411766058,,0,25,20,20,401.485,,,,388.33,,,,,,388.0733333333333,391.0266666666666,393.7233333333333,396.6766666666666,385.37666666666667,382.42333333333335,379.7266666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,31.83,14.23,56.6,19.91,24.38,8.94,2.85,5.21,1.27,6.53,14.12,32.51,76.36,8.6,3.57,cheap,USD,1.0,stock,25.0
