date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,60.95,62.03,60.95,61.81,250700,,,,61.81,61.81,61.81,61.81,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.8599999999999994,0.21999999999999886,0.0,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,61.81,,,,,,61.59666666666667,62.24333333333334,62.67666666666667,63.32333333333334,61.16333333333334,60.51666666666667,60.08333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,62.02,62.49,61.65,61.84,214700,,,,61.81285714285715,61.81117647058824,61.810594059405936,61.8102985074627,,0.0023931623931687795,0.00047863247863375594,0.0019145299145350235,1,,0.5,0.05,,,,,,,0.17999999999999972,0.46999999999999886,0.19000000000000483,,0,0.04389207170578234,,,,0,,,0.048535835625296286,,,,0.04391134530495057,,0,25,20,20,,,,,61.84,,,,,,61.99333333333334,62.33666666666668,62.83333333333334,63.176666666666684,61.49666666666668,61.153333333333336,60.65666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,61.99,62.87,61.41,62.19,279816,,,,61.848775510204085,61.82603229527105,61.818107048328585,61.814076631766554,,0.032161102588453616,0.0068151265005977285,0.02534597608785589,1,,0.5,0.05,,,,,,,0.19999999999999574,0.6799999999999997,0.5800000000000054,,0,0.548680639646105,,,,0,,,0.565976714100902,,,,0.5517077532757555,,0,25,20,20,,,,,62.19,,,,,,62.156666666666666,62.903333333333336,63.61666666666667,64.36333333333334,61.443333333333335,60.696666666666665,59.983333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,62.34,62.8,61.28,61.48,253239,,,,61.813654033041786,61.812462401338855,61.81141185925277,61.81075248617684,,-0.001521122074372272,0.005147876785603729,-0.006668998859976001,0,,0.5,0.05,,,,,,,0.8600000000000065,0.45999999999999375,0.19999999999999574,,0,-0.5427033718962085,,,,0,,,-1.1416626467277702,,,,-0.5397740001965229,,0,25,20,20,,,,,61.48,,,,,,61.85333333333333,62.42666666666666,63.37333333333333,63.94666666666666,60.906666666666666,60.333333333333336,59.38666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,61.49,63.37,61.49,63.27,250200,,,,61.95235364894257,61.86962073854126,61.84029479273291,61.82527236193628,,0.11489902808523311,0.027098107045529608,0.08780092103970351,1,,0.5,0.05,,,,,,,1.7800000000000011,0.09999999999999432,0.0,,0,2.0825768153270645,,,,0,,,2.911515940143139,,,,2.126870527831712,,0,25,20,20,,,,,63.27,,,,,,62.71,63.93,64.59,65.81,62.050000000000004,60.830000000000005,60.17000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,63.4,63.65,62.67,62.75,249213,,,,62.0283199680909,61.90414541546121,61.85830875723325,61.834473631966766,,0.1633205243289737,0.05434259050221843,0.10897793382675527,1,,0.5,0.05,,,,,,,0.6499999999999986,0.25,0.0799999999999983,,0,1.1500877002535492,,,,0,,,-0.8218745060850408,1.5207895162594909,,,1.1634686096292057,,0,25,20,20,,,,,62.75,,,,,,63.02333333333333,63.376666666666665,64.00333333333333,64.35666666666665,62.39666666666667,62.04333333333334,61.41666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,62.72,62.97,61.77,61.95,312700,,,,62.02086092351081,61.90594363446273,61.86012442540685,61.8356231480666,,0.13557872766148904,0.07058981793407255,0.06498890972741649,0,,0.5,0.05,,,,,,,0.769999999999996,0.25,0.17999999999999972,,0,-0.1143840573217225,,,,0,,,-1.2749003984063645,0.17787839586027587,,,-0.11425336968185358,,0,25,20,20,,,,,61.95,,,,,,62.23,62.68999999999999,63.42999999999999,63.889999999999986,61.489999999999995,61.03,60.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,61.9,62.96,60.93,62.72,215601,,,,62.087445597462164,61.93786741350341,61.87715166450771,61.84442291773758,,0.1737231464814215,0.09121648364354235,0.08250666283787916,1,,0.5,0.05,,,,,,,0.8200000000000003,0.240000000000002,0.9699999999999989,,0,1.0085369938422113,,,,0,,,1.2429378531073398,0.8522270461488901,,,1.0188120906743998,,0,25,20,20,,,,,62.72,,,,,,62.20333333333334,63.47666666666668,64.23333333333335,65.50666666666669,61.44666666666668,60.17333333333334,59.41666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,63.09,63.63,62.84,63.17,188543,,,,62.190546016751476,61.986186338464066,61.902752621646165,61.85761273945164,,0.23752605984197572,0.12047839888322903,0.11704766095874669,1,,0.5,0.05,,,,,,,0.0799999999999983,0.46000000000000085,0.25,,0,1.5505049600261605,,,,0,,,0.7174744897959329,2.748861418347448,,,1.5749242384601392,,0,25,20,20,62.29,,,,63.17,,,,,,63.21333333333333,63.58666666666666,64.00333333333333,64.37666666666667,62.79666666666666,62.42333333333333,62.00666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,63.04,63.64,62.81,63.17,255516,,,,62.28382734848943,62.032610403622336,61.92784662913832,61.87067131915859,,0.2848072476903596,0.15334416864465517,0.13146307904570442,1,,0.5,0.05,247022.8,,1.0343822513549357,,,,0.13000000000000256,0.46999999999999886,0.22999999999999687,,0,1.402837820976049,,,,0,,,0.0,-0.1580527896317352,,,1.422797360464494,,0,25,20,20,62.29,,,,63.17,,,,,,63.20666666666667,63.60333333333334,64.03666666666666,64.43333333333334,62.77333333333334,62.37666666666667,61.94333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
