date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,67.76,69.75,66.41,67.88,10399106,,,,67.88,67.88,67.88,67.88,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.11999999999999034,1.8700000000000045,1.3500000000000085,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,67.88,,,,,,68.01333333333334,69.61666666666667,71.35333333333334,72.95666666666668,66.27666666666667,64.67333333333333,62.93666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,68.49,72.9,68.16,72.31,10729553,,,,68.30190476190475,68.05372549019609,67.96772277227721,67.92407960199006,,0.3533903133903209,0.07067806267806419,0.2827122507122567,1,,0.5,0.05,,,,,,,3.8200000000000074,0.5900000000000034,0.3299999999999983,,0,5.542933533529596,,,,0,,,6.526222746022392,,,,5.868204191474844,,0,25,20,20,,,,,72.31,,,,,,71.12333333333333,74.08666666666667,75.86333333333334,78.82666666666668,69.34666666666666,66.38333333333333,64.60666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,72.45,75.43,69.26,69.83,13317944,,,,68.44743764172334,68.12338331410996,68.00459954906381,67.94304398405981,,0.4284010681731587,0.1422226637770831,0.2861784043960756,1,,0.5,0.05,,,,,,,2.6200000000000045,2.980000000000004,0.5699999999999932,,0,1.9798974055229246,,,,0,,,-3.429677776241191,,,,2.01988913816387,,0,25,20,20,,,,,69.83,,,,,,71.50666666666666,73.75333333333332,77.67666666666666,79.92333333333332,67.58333333333331,65.33666666666666,61.41333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,70.1,72.32,68.74,71.4,6883207,,,,68.7286340567973,68.25187808610565,68.0718352015576,67.97744155635773,,0.6075302798329432,0.23528418698825512,0.372246092844688,1,,0.5,0.05,,,,,,,1.3000000000000114,0.9199999999999875,1.3599999999999994,,0,3.741408884037397,,,,0,,,2.2483173421165903,,,,3.8868311292133146,,0,25,20,20,,,,,71.4,,,,,,70.82000000000001,72.90000000000002,74.4,76.48000000000002,69.32000000000002,67.24000000000001,65.74000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,71.51,74.27,70.1012,73.5,7604096,,,,69.18304986091184,68.4576867886113,68.17932361340795,68.03239238664274,,0.908471624810474,0.3699216745526989,0.5385499502577751,1,,0.5,0.05,,,,,,,1.9899999999999949,0.769999999999996,1.4087999999999994,,0,5.873401549779814,,,,0,,,2.941176470588225,,,,6.239895679313242,,0,25,20,20,,,,,73.5,,,,,,72.62373333333333,75.14626666666666,76.79253333333332,79.31506666666665,70.97746666666667,68.45493333333334,66.80866666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,73.85,73.87,71.07,71.14,6926680,,,,69.36942606463452,68.5628755419991,68.23795086858797,68.06331385543237,,0.9456368195955918,0.4850647035612775,0.46057211603431425,0,,0.5,0.05,,,,,,,2.7099999999999937,0.020000000000010232,0.07000000000000739,,0,2.488858497842952,,,,0,,,-3.2108843537414944,4.802592810842676,,,2.552383716878031,,0,25,20,20,,,,,71.14,,,,,,72.02666666666666,72.98333333333332,74.82666666666667,75.78333333333333,70.18333333333331,69.22666666666665,67.3833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,68.91,69.35,66.07,67.31,9213226,,,,69.17329024895504,68.51374316780307,68.21957560386346,68.05581819517931,,0.6584512961982227,0.5197420220886666,0.13870927410955614,0,,0.5,0.05,,,,,,,1.5999999999999943,0.4399999999999977,1.240000000000009,,0,-2.7682220308350005,,,,0,,,-5.383750351419736,-6.914672935970123,,,-2.6936556613817957,,0,25,20,20,,,,,67.31,,,,,,67.57666666666667,69.08333333333334,70.85666666666667,72.36333333333334,65.80333333333334,64.29666666666667,62.52333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,68.31,68.78,65.41,65.99,7238068,,,,68.87011974905457,68.41477284749708,68.17542559190576,68.03526279025216,,0.32064552947723257,0.4799227235663798,-0.15927719408914726,0,,0.5,0.05,,,,,,,2.3200000000000074,0.46999999999999886,0.5799999999999983,,0,-4.364479086307884,,,,0,,,-1.961075620264463,-5.499069167979387,,,-4.181958387104604,,0,25,20,20,,,,,65.99,,,,,,66.72666666666667,68.04333333333335,70.09666666666668,71.41333333333336,64.67333333333335,63.35666666666667,61.30333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,66.01,66.5499,63.0284,64.18,8081749,,,,68.42344167771603,68.24870332406581,68.0963082534522,67.99690196646857,,-0.09205865276260283,0.36552644830058334,-0.4575851010631862,0,,0.5,0.05,,,,,,,1.8299999999999983,0.5398999999999887,1.151600000000009,,0,-6.611781984599596,,,,0,,,-2.7428398242157703,-10.112044817927169,,,-6.201736676303458,,0,25,20,20,69.2292,,,,64.18,,,,,,64.5861,66.1438,68.10759999999999,69.6653,62.62230000000001,61.064600000000006,59.100800000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,64.7,64.9798,61.4012,63.05,6903942,,,,67.91168532745736,68.044832605475,67.99638135734423,67.94767906132958,,-0.5044957339731582,0.19152201184583506,-0.6960177458189932,0,,0.5,0.05,8729757.1,,0.7908515575994663,,,,1.6500000000000057,0.2797999999999945,1.6487999999999943,,0,-7.710841122057678,,,,0,,,-1.7606731068869008,-14.217687074829932,,,-7.158834748416615,,0,25,20,20,68.41560000000001,,,,63.05,,,,,,63.14366666666666,64.88613333333332,66.72226666666666,68.46473333333331,61.307533333333325,59.56506666666667,57.72893333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,62.65,63.25,61.575,62.72,8654592,,,,67.41723910579476,67.83601564055441,67.8918985581889,67.89566235425167,,-0.8482057465002555,-0.016423539823383043,-0.8317822066768724,0,,0.5,0.05,8555305.7,,1.0116052311257564,,,,0.07000000000000028,0.5300000000000011,1.0749999999999957,,0,-7.489220513065632,,,,0,,,-0.5233941316415525,-11.83581669946584,,,-6.967415409022615,,0,25,20,20,68.41560000000001,,,,62.72,,,,,,62.51500000000001,63.45500000000001,64.19,65.13000000000001,61.780000000000015,60.84000000000001,60.10500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,63.37,64.54,62.28,63.15,7641990,,,,67.01083538143335,67.65225032131698,67.79799957683862,67.84844183331384,,-1.0735260611981232,-0.2278440440983311,-0.8456820170997921,0,,0.5,0.05,8246549.4,,0.9266894102398756,,,,0.21999999999999886,1.1700000000000088,0.8699999999999974,,0,-6.113753573132786,,,,0,,,0.6855867346938771,-6.180359530530389,,,-5.7615091043963815,,0,25,20,20,67.8356,,,,63.15,,,,,,63.32333333333333,64.36666666666666,65.58333333333334,66.62666666666667,62.106666666666655,61.063333333333325,59.84666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,63.96,64.7,61.595,62.44,7549962,,,,66.57551772605875,67.44784834793201,67.69190057531706,67.79462649168883,,-1.2944633326998911,-0.44116790181864307,-0.853295430881248,0,,0.5,0.05,7669751.2,,0.9843816054945824,,,,1.5200000000000031,0.740000000000002,0.8449999999999989,,0,-6.623186620850017,,,,0,,,-1.1243072050672986,-5.3796029701469905,,,-6.2117695322706314,,0,25,20,20,67.8356,,,,62.44,,,,,,62.91166666666667,64.22833333333334,66.01666666666668,67.33333333333334,61.123333333333335,59.806666666666665,58.01833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
