date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,504.25,510.73,502.41,507.23,24324161,,,,507.23,507.23,507.23,507.23,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.980000000000018,3.5,1.839999999999975,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,507.23,,,,,,506.79,511.17,515.11,519.49,502.85,498.47,494.53000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,506.63,508.19,504.12,504.26,21638579,,,,506.9471428571429,507.1135294117647,507.17118811881187,507.200447761194,,-0.23692307692311942,-0.047384615384623886,-0.18953846153849555,0,,0.5,0.05,,,,,,,2.3700000000000045,1.5600000000000023,0.13999999999998636,,0,-0.5328883625794095,,,,0,,,-0.5855331900715743,,,,-0.5300637147293606,,0,25,20,20,,,,,504.26,,,,,,505.5233333333333,506.9266666666666,509.5933333333333,510.9966666666666,502.8566666666666,501.4533333333333,498.78666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,504.355,504.9778,498.51,502.04,30835709,,,,506.4797959183674,506.91456747404845,507.0695804332908,507.1491000222767,,-0.5969406092483496,-0.15729581415736904,-0.43964479509098053,0,,0.5,0.05,,,,,,,2.3149999999999977,0.6227999999999838,3.5300000000000296,,0,-0.8843510314651013,,,,0,,,-0.4402490778566581,,,,-0.8765988207519704,,0,25,20,20,,,,,502.04,,,,,,501.8426,505.1752,508.3104,511.64300000000003,498.7074,495.3748,492.2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,502.0,507.29,499.9,506.74,17277893,,,,506.5045772594753,506.90772169075245,507.06305408807714,507.14502937528886,,-0.4972741105373757,-0.2252914734333704,-0.2719826371040053,1,,0.5,0.05,,,,,,,4.740000000000009,0.5500000000000114,2.1000000000000227,,0,0.04645829035101069,,,,0,,,0.9361803840331362,,,,0.04647988411052557,,0,25,20,20,,,,,506.74,,,,,,504.6433333333334,509.38666666666677,512.0333333333334,516.7766666666669,501.9966666666667,497.25333333333333,494.6066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,507.09,511.09,505.5,509.64,18015593,,,,506.80318894904906,507.0148698597426,507.11408271999636,507.1698549536442,,-0.18218184960392136,-0.2166695486674806,0.034487699063559224,1,,0.5,0.05,,,,,,,2.5500000000000114,1.4499999999999886,1.589999999999975,,0,0.5566303765306743,,,,0,,,0.5722855902435153,,,,0.5597460933175232,,0,25,20,20,,,,,509.64,,,,,,508.74333333333334,511.9866666666667,514.3333333333333,517.5766666666666,506.3966666666667,503.15333333333336,500.80666666666673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,508.66,509.6,504.4915,506.69,20961569,,,,506.7924090491396,507.0021298652429,507.1056850423726,507.1650802774885,,-0.16856618249522626,-0.20704887543302974,0.03848269293780349,1,,0.5,0.05,,,,,,,1.9700000000000273,0.9399999999999977,2.198500000000024,,0,-0.020211381542880987,,,,0,,,-0.5788399654658161,-0.1064605800130125,,,-0.020207297368910252,,0,25,20,20,,,,,506.69,,,,,,506.92716666666666,509.36283333333336,512.0356666666667,514.4713333333334,504.2543333333333,501.8186666666666,499.14583333333326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,500.465,506.0,496.81,505.12,18127995,,,,506.63313199684063,506.9283208509197,507.06636454648407,507.1447312200011,,-0.2812198201451679,-0.2218830643754574,-0.05933675576971048,0,,0.5,0.05,,,,,,,4.65500000000003,0.8799999999999955,3.6549999999999727,,0,-0.29955891606759333,,,,0,,,-0.309854151453548,0.1705469400705928,,,-0.29866424070545455,,0,25,20,20,,,,,505.12,,,,,,502.64333333333326,508.4766666666665,511.83333333333326,517.6666666666665,499.2866666666665,493.45333333333326,490.0966666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,503.79,507.79,502.32,505.35,16345078,,,,506.5109289495225,506.8664259155895,507.032377129722,507.1268731979116,,-0.34792885454163525,-0.247092222408693,-0.10083663213294225,0,,0.5,0.05,,,,,,,1.5600000000000023,2.4399999999999977,1.4700000000000273,,0,-0.22972770347729016,,,,0,,,0.04553373455813414,0.659310015138237,,,-0.2292011649048111,,0,25,20,20,,,,,505.35,,,,,,505.15333333333336,507.98666666666674,510.6233333333334,513.4566666666667,502.5166666666667,499.68333333333334,497.0466666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,504.3,508.15,503.15,507.97,15509486,,,,506.64988809718704,506.90970333066446,507.0509439192325,507.13526251932547,,-0.1872259173361499,-0.23511896139418437,0.04789304405803446,1,,0.5,0.05,,,,,,,3.670000000000016,0.17999999999994998,1.150000000000034,,0,0.25987989503572695,,,,0,,,0.5184525576333199,0.24272802620672884,,,0.26055703037276795,,0,25,20,20,503.95,,,,507.97,,,,,,506.42333333333335,509.6966666666667,511.42333333333335,514.6966666666667,504.6966666666667,501.42333333333335,499.6966666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,509.07,511.97,492.37,495.0,31994846,,,,505.54037494507395,506.4426561412267,506.81231136637643,507.0145136385362,,-1.093829303658481,-0.40686102984704375,-0.6869682738114372,0,,0.5,0.05,21503090.9,,1.4879184647821957,,,,14.069999999999993,2.900000000000034,2.6299999999999955,,0,-2.1293686757725148,,,,0,,,-2.55330039175542,-2.8726159642100235,,,-2.0849719364589117,,0,25,20,20,502.17,,,,495.0,,,,,,499.78000000000003,507.19000000000005,519.3800000000001,526.7900000000001,487.59000000000003,480.18,467.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
