date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,120.4,124.2,120.4,123.89,7882915,,,,123.89,123.89,123.89,123.89,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,3.489999999999995,0.3100000000000023,0.0,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,123.89,,,,,,122.83,125.26,126.63,129.06,121.46,119.03,117.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-24,124.0,125.31,124.0,124.37,5031815,,,,123.9357142857143,123.90882352941176,123.89950495049506,123.894776119403,,0.0382905982906152,0.007658119658123,0.0306324786324921,1,,0.5,0.05,,,,,,,0.3700000000000045,0.9399999999999976,0.0,,0,0.349188481374694,,,,0,,,0.3874404713859025,,,,0.3504120799953834,,0,25,20,20,,,,,124.37,,,,,,124.56,125.12,125.87,126.43,123.81,123.25,122.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-25,124.6,125.55,123.33,124.21,4548735,,,,123.96183673469388,123.92063437139562,123.90565336731692,123.89791267542884,,0.0550904619280743,0.0171445881121133,0.037945873815961,1,,0.5,0.05,,,,,,,0.3900000000000005,0.9500000000000028,0.8799999999999955,,0,0.199793305938414,,,,0,,,-0.1286483878748967,,,,0.2001932787082117,,0,25,20,20,,,,,124.21,,,,,,124.36333333333332,125.39666666666666,126.58333333333331,127.61666666666666,123.17666666666666,122.14333333333332,120.95666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-26,124.52,126.05,124.22,124.81,5481590,,,,124.04261418853255,123.9555114548703,123.92356122142944,123.90698817119572,,0.1154881845850184,0.0368133074066943,0.078674877178324,1,,0.5,0.05,,,,,,,0.2900000000000062,1.2399999999999949,0.2999999999999971,,0,0.6148432108544464,,,,0,,,0.4830528942919354,,,,0.6186469194377697,,0,25,20,20,,,,,124.81,,,,,,125.02666666666666,125.83333333333331,126.85666666666664,127.66333333333333,124.00333333333332,123.19666666666666,122.17333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-27,125.0,127.12,124.81,126.48,4106055,,,,124.27474617057707,124.0545110056597,123.97418377150017,123.93259027894504,,0.2947116062155714,0.0883929671684697,0.2063186390471017,1,,0.5,0.05,,,,,,,1.480000000000004,0.6400000000000006,0.1899999999999977,,0,1.7435593211756129,,,,0,,,1.3380338113933243,,,,1.7744987597045878,,0,25,20,20,,,,,126.48,,,,,,126.13666666666668,127.46333333333334,128.44666666666666,129.77333333333334,125.15333333333334,123.82666666666668,122.84333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-30,126.8,128.66,126.7,128.33,3987930,,,,124.66096082099833,124.22217724073188,124.06043755820312,123.97634559955254,,0.5793486276501625,0.1865840992648083,0.3927645283853542,1,,0.5,0.05,,,,,,,1.5300000000000151,0.3299999999999841,0.0999999999999943,,0,2.8590658295033786,,,,0,,,1.4626818469323233,3.583824360319654,,,2.943214262779579,,0,25,20,20,,,,,128.33,,,,,,127.89666666666668,129.09333333333336,129.85666666666668,131.05333333333337,127.13333333333338,125.9366666666667,125.1733333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-08-31,129.0,129.54,127.91,128.73,6233410,,,,125.04848836185562,124.39895460384044,124.152904141209,124.0236456433381,,0.8276614093707195,0.3147995612859905,0.5128618480847289,1,,0.5,0.05,,,,,,,0.2700000000000102,0.539999999999992,0.8199999999999932,,0,2.859870766833195,,,,0,,,0.3116964076988804,3.5056685695907364,,,2.94406728651617,,0,25,20,20,,,,,128.73,,,,,,128.72666666666666,129.54333333333332,130.35666666666663,131.17333333333332,127.91333333333333,127.09666666666666,126.28333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-09-01,128.72,130.51,128.5,130.17,4684060,,,,125.53625137501224,124.6252701095722,124.27205455425435,124.08480339813076,,1.1276482165948352,0.4773692923477595,0.6502789242470757,1,,0.5,0.05,,,,,,,1.4499999999999886,0.3400000000000034,0.2199999999999988,,0,3.5597669393775524,,,,0,,,1.1186203682125306,4.79832541663312,,,3.691163766827356,,0,25,20,20,,,,,130.17,,,,,,129.72666666666666,130.95333333333332,131.73666666666665,132.9633333333333,128.94333333333333,127.71666666666668,126.93333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-09-02,130.8,132.36,130.48,132.06,6771445,,,,126.1575607678682,124.91682814449094,124.42627129575428,124.16415858819911,,1.5005991542593762,0.6820152647300829,0.8185838895292933,1,,0.5,0.05,,,,,,,1.259999999999991,0.3000000000000113,0.3200000000000216,,0,4.4695132758835365,,,,0,,,1.4519474533302823,5.808829420719497,,,4.6786250433237,,0,25,20,20,126.38,,,,132.06,,,,,,131.63333333333335,132.78666666666672,133.51333333333338,134.66666666666674,130.9066666666667,129.75333333333333,129.02666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
2021-09-03,132.0,136.22,131.81,135.73,5729765,,,,127.06922164711884,125.34087409960895,124.65010750771954,124.27924158732154,,2.068459870044876,0.9593041857930416,1.1091556842518344,1,,0.5,0.05,5445772.0,,1.0521492636856629,,,,3.7299999999999898,0.4900000000000091,0.1899999999999977,,0,6.380887315170662,,,,0,,,2.7790398303801256,7.313409234661594,,,6.8157955487701,,0,25,20,20,129.775,,,,135.73,,,,,,134.58666666666667,137.36333333333334,138.99666666666667,141.77333333333334,132.95333333333335,130.17666666666668,128.54333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,216.84,558.79,52.39,14.04,cheap,USD,1.0,stock,25.0
