date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,234.06,238.5,231.46,236.37,9343637,,,,236.37,236.37,236.37,236.37,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,2.3100000000000023,2.1299999999999955,2.5999999999999943,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,236.37,,,,,,235.44333333333336,239.4266666666667,242.48333333333335,246.4666666666667,232.3866666666667,228.40333333333336,225.34666666666672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,237.35,239.03,235.27,235.41,6308625,,,,236.2785714285714,236.33235294117648,236.35099009900992,236.36044776119405,,-0.07658119658117357,-0.015316239316234714,-0.06126495726493886,0,,0.5,0.05,,,,,,,1.9399999999999977,1.6800000000000068,0.13999999999998636,,0,-0.36896114377953954,,,,0,,,-0.40614291153699966,,,,-0.3676048248133196,,0,25,20,20,,,,,235.41,,,,,,236.57000000000002,237.87000000000003,240.33,241.63000000000002,234.11000000000004,232.81000000000003,230.35000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,235.0,236.905,232.71,234.21,11805197,,,,236.08156462585032,236.24912341407153,236.30859425546515,236.33905027103293,,-0.23143448510967346,-0.05853988847492247,-0.17289459663475099,0,,0.5,0.05,,,,,,,0.789999999999992,1.9050000000000011,1.5,,0,-0.7990968045131768,,,,0,,,-0.5097489486427853,,,,-0.7927618697446484,,0,25,20,20,,,,,234.21,,,,,,234.60833333333335,236.5066666666667,238.80333333333334,240.70166666666668,232.3116666666667,230.41333333333336,228.1166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,234.995,236.53,232.68,235.81,5637590,,,,236.0557013281503,236.2319028880295,236.29872110189157,236.33378608923164,,-0.222485528998277,-0.09132901657959339,-0.13115651241868362,1,,0.5,0.05,,,,,,,0.8149999999999977,0.7199999999999989,2.3149999999999977,,0,-0.10419461776442457,,,,0,,,0.6831476025788819,,,,-0.1040861655820507,,0,25,20,20,,,,,235.81,,,,,,235.00666666666666,237.33333333333331,238.85666666666665,241.1833333333333,233.48333333333332,231.15666666666667,229.63333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,235.54,241.95,235.12,240.32,8691548,,,,236.46182501118358,236.3922204218323,236.37835038700263,236.37344990923927,,0.1468332887983479,-0.04369655550400513,0.19052984430235304,1,,0.5,0.05,,,,,,,4.780000000000001,1.6299999999999955,0.4199999999999875,,0,1.605432335559427,,,,0,,,1.9125567193927218,,,,1.6316270030623088,,0,25,20,20,,,,,240.32,,,,,,239.13,243.14,245.95999999999998,249.96999999999997,236.31,232.3,229.48000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,237.61,238.22,223.11,226.13,16618641,,,,235.47784167678515,235.98978040528985,236.17541275557682,236.2715250345205,,-0.6974534868743376,-0.17444794177807163,-0.523005545096266,0,,0.5,0.05,,,,,,,11.480000000000018,0.6099999999999852,3.019999999999982,,0,-4.133835261480189,,,,0,,,-5.904627163781628,-4.332191056394641,,,-3.9697330373937767,,0,25,20,20,,,,,226.13,,,,,,229.15333333333334,235.19666666666666,244.26333333333332,250.30666666666664,220.08666666666667,214.04333333333335,204.9766666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,222.0,225.45,218.79,225.3,10461903,,,,234.50852342185323,235.5705733305726,235.9600580475456,236.16235563119193,,-1.4171943682489427,-0.42299722707224585,-0.9941971411766969,0,,0.5,0.05,,,,,,,3.3000000000000114,0.14999999999997726,3.210000000000008,,0,-4.087227439792816,,,,0,,,-0.3670455047981136,-4.29463489231553,,,-3.9267329338337804,,0,25,20,20,,,,,225.3,,,,,,223.17999999999998,227.56999999999996,229.83999999999997,234.22999999999996,220.90999999999997,216.51999999999998,214.24999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,225.9,225.9,221.75,223.45,8900813,,,,233.45533071501006,235.0952567293737,235.71233412581202,236.03586453038406,,-2.112521903590874,-0.7609021623759715,-1.3516197412149027,0,,0.5,0.05,,,,,,,2.450000000000017,0.0,1.6999999999999886,,0,-4.477659751626796,,,,0,,,-0.8211273857079537,-4.594167627342993,,,-4.2857580867254015,,0,25,20,20,,,,,223.45,,,,,,223.69999999999996,225.64999999999992,227.84999999999997,229.79999999999993,221.49999999999991,219.54999999999995,217.3499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,222.0,223.57,219.5601,223.0,10303069,,,,232.45958493262816,234.62093293606492,235.46060473718208,235.90615443555436,,-2.6691173013250022,-1.1425451901657777,-1.5265721111592245,0,,0.5,0.05,,,,,,,1.0,0.5699999999999932,2.4398999999999944,,0,-4.241966337501418,,,,0,,,-0.20138733497425676,-5.432339595437008,,,-4.069346047989268,,0,25,20,20,230.37,,,,223.0,,,,,,222.04336666666666,224.5266333333333,226.05326666666664,228.5365333333333,220.51673333333332,218.03346666666667,216.50683333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,232.55,234.62,225.885,232.8,15386096,,,,232.492005415235,234.54952380131726,235.40791949486166,235.87524742624538,,-2.293012643694169,-1.3726386808714561,-0.920373962822713,1,,0.5,0.05,10345711.9,,1.4871954824104467,,,,0.25,1.8199999999999932,6.6650000000000205,,0,0.1323000793664081,,,,0,,,4.394618834080721,-3.12916111850865,,,0.13247534435212688,,0,25,20,20,230.37,,,,232.8,,,,,,231.1016666666667,236.31833333333338,239.8366666666667,245.0533333333334,227.58333333333337,222.36666666666667,218.84833333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,239.89,242.42,235.31,238.48,18803046,,,,233.06229061378406,234.70366012283424,235.46875277219112,235.90116536230263,,-1.519107141063813,-1.4019323729099276,-0.1171747681538855,1,,0.5,0.05,11291652.8,,1.6652164508635972,,,,1.4099999999999966,2.530000000000001,3.1699999999999875,,0,2.2717667671150337,,,,0,,,2.439862542955318,5.461460221996184,,,2.3245757054682925,,0,25,20,20,230.605,,,,238.48,,,,,,238.73666666666668,242.16333333333336,245.84666666666666,249.27333333333334,235.05333333333337,231.6266666666667,227.94333333333338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,239.94,243.49,234.56,241.51,41178697,,,,233.86683436485225,234.97057541213485,235.58838143016754,235.95697466218024,,-0.6537497570535891,-1.2522958497386598,0.5985460926850708,1,,0.5,0.05,14778660.0,,2.786362024703187,,,,1.5699999999999932,1.9800000000000182,5.3799999999999955,,0,3.164740853441985,,,,0,,,1.270546796377059,7.19485130936528,,,3.2681699634347243,,0,25,20,20,231.14,,,,241.51,,,,,,239.85333333333332,245.14666666666665,248.78333333333333,254.07666666666665,236.21666666666664,230.92333333333332,227.28666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,319.19,345.72,312.09,328.33,131618085,,,,242.86332633010443,238.63172931754133,237.42484912461967,236.87610924265607,,6.957498902863904,0.38966310078185296,6.567835802082051,1,,0.5,0.05,26759948.8,,4.918472975553675,,,,9.139999999999986,17.390000000000043,7.100000000000023,,0,26.030723257057094,,,,0,,,35.948821994948446,46.93667487133586,,,35.19126372901919,,0,25,20,20,282.255,,,,328.33,,,,,,328.7133333333333,345.33666666666664,362.34333333333336,378.9666666666667,311.7066666666666,295.08333333333326,278.07666666666654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2025-09-11,330.34,331.0,304.6,307.86,69986027,,,,249.05348572723733,241.34656346195146,238.81960458749847,237.58241661337593,73.61120285355705,11.208505700202494,2.553431620665981,8.655074079536513,1,15.654635714285709,0.5,0.05,33194792.5,,2.1083435602135485,,70.17253604348853,,22.47999999999996,0.660000000000025,3.259999999999991,,0,19.101706708491744,,,,0,,,-6.234581061736655,38.05381165919284,,,23.612002097078623,,0,25,20,20,282.255,,,,307.86,,,,,,314.4866666666667,324.37333333333333,340.88666666666666,350.7733333333333,297.97333333333336,288.0866666666667,271.5733333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,30.0
2025-09-12,305.79,307.97,291.75,292.18,51781914,,,,253.16077280083377,243.3400315614828,239.87624608081532,238.12567614956126,66.7025797569881,13.160508111790278,4.674846918890841,8.485661192899437,0,16.310349999999996,0.5,0.05,37503829.1,,1.3807100566165922,,57.81927046403529,,13.610000000000014,2.180000000000007,0.4300000000000068,,0,13.354516804424065,,,,0,,,-5.093224192814915,25.506872852233677,,,15.412825125898705,,0,25,20,20,282.255,,,,292.18,,,,,,297.3,302.85,313.52000000000004,319.07000000000005,286.63,281.08,270.40999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2025-09-15,306.45,307.03,297.29,302.14,40004004,,,,257.82546110551624,245.64591267671875,241.1091917029774,238.7626345958343,68.94984949167946,15.33440734466626,6.806759004045926,8.527648340620335,1,17.102492857142853,0.5,0.05,39842365.4,,1.004056952903705,,65.66611518159614,64.55264056303999,4.310000000000002,0.5799999999999841,4.849999999999966,,0,14.66688915551855,,,,0,,,3.4088575535628607,26.694062395169404,,,17.18780554273801,,0,25,20,20,282.64005000000003,,,,302.14,,,,,,302.1533333333333,307.0166666666666,311.89333333333326,316.75666666666655,297.27666666666664,292.41333333333336,287.5366666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2025-09-16,314.06,319.97,302.2724,306.65,51923268,,,,262.4754171907052,248.03822982665136,242.40702949103724,239.43813076901012,70.19177165793289,17.222625748262374,8.889932352889215,8.332693395373159,0,18.07642142857143,0.5,0.05,43988501.9,,1.1803827308790438,,69.21925470731897,64.23488011765014,7.410000000000025,5.910000000000025,4.377599999999973,,0,14.405538173583828,,,,0,,,1.4926855100284575,26.971968034449922,,,16.82998860697082,,0,25,20,20,282.64005000000003,,,,306.65,,,,,,309.6308,316.98920000000004,327.32840000000004,334.68680000000006,299.2916,291.9332,281.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.5
2025-09-17,307.69,308.66,295.03,301.41,27707949,,,,266.1834726963523,250.13124042168465,243.57540514468005,240.05476628374635,67.92153862965799,18.087724204091103,10.729490723129594,7.358233480961509,0,18.77499285714286,0.5,0.05,45869215.5,,0.6040641571469649,,65.09099503663438,66.65878830851649,6.279999999999973,0.9700000000000273,6.380000000000052,,0,11.687245713031333,,,,0,,,-1.7087885211152676,-8.199068010842737,,,13.233927315927785,,0,25,20,20,285.8025,,,,301.41,,,,,,301.70000000000005,308.3700000000001,315.3300000000001,322.00000000000017,294.74000000000007,288.07,281.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2025-09-18,303.035,303.82,292.0,296.62,24673116,,,,269.08218958241395,251.954329032599,244.62579316161708,240.61760443017675,65.35733769776323,18.17727172128923,12.219046922761521,5.958224798527709,0,19.131421428571432,0.5,0.05,47306220.2,,0.5215617712784417,,61.317261482706996,65.20917040888679,6.4150000000000205,0.7849999999999682,4.6200000000000045,,0,9.283868389719526,,,,0,,,-1.5891974387047592,-3.651010199441307,,,10.2339773807853,,0,25,20,20,290.14,,,,296.62,,,,,,297.47999999999996,302.9599999999999,309.29999999999995,314.7799999999999,291.13999999999993,285.65999999999997,279.31999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-19,299.0,311.11,297.32,308.66,40776201,261.832,,,272.8515048602793,254.17808083524216,245.89379725742666,241.29464319206556,72.77946453215569,19.00073747725594,13.575385033660407,5.425352443595532,0,18.93713571428572,0.5,0.05,49845230.7,30095471.3,0.8180562197698886,1.3548949140397744,70.80280469550146,65.73702040494761,9.660000000000025,2.4499999999999886,1.6800000000000068,,0,11.601274910814722,15.17138599105813,,,0,,,4.059065470972967,5.640358683003632,,345.72,13.123803424891275,345.72,0,25,20,20,290.14,,,,308.66,,,,,,305.6966666666667,314.07333333333344,319.48666666666674,327.86333333333346,300.2833333333334,291.9066666666667,286.4933333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.5
2025-09-22,309.63,329.5,306.92,328.15,44437549,266.421,,,278.1180282069194,257.0789404103307,247.5226329552994,242.15887559811466,75.73695010259748,20.98412816951185,15.057133660830697,5.926994508681151,1,20.02570714285715,0.5,0.05,52408681.0,31850166.9,0.8479043576769276,1.3952061582446529,86.0732292907651,72.73109848965787,18.519999999999982,1.3500000000000227,2.7099999999999795,,0,15.246677371043905,18.811214383666,,,0,,,6.314391239551598,8.608592043423569,38.82895460506832,345.72,17.989474510389115,345.72,0,25,20,20,318.735,,,,328.15,,,,,,321.52333333333337,336.1266666666667,344.10333333333335,358.7066666666667,313.54666666666674,298.9433333333334,290.96666666666675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,30.0
2025-09-23,324.0,325.0,310.05,313.83,35280199,270.342,,,281.51916837768897,259.30447215894515,248.8356501245014,242.87202111455133,71.28792161296403,21.156595199974333,16.277025968659423,4.87956923131491,0,21.022135714285717,0.5,0.05,51818831.2,33298745.6,0.6808374134073483,1.059505346651857,74.72255447253839,77.19952948626832,10.170000000000016,1.0,3.7799999999999727,,0,10.295647841924294,13.857183825638083,,,0,,,-4.363857991772058,2.341431599543453,33.312093793806554,345.72,11.477311406007876,345.72,0,25,20,20,311.375,,,,313.83,,,,,,316.2933333333333,322.5366666666666,331.2433333333333,337.48666666666657,307.5866666666666,301.3433333333333,292.6366666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.5
2025-09-24,311.86,312.47,300.03,308.46,33765279,274.0545,,,284.0849618655281,261.2321399174179,250.01633032005583,243.5246378198792,69.6731123388582,20.622242073413872,17.146069189610316,3.4761728838035566,0,21.72142857142858,0.5,0.05,42033550.6,34396749.7,0.8032935242924731,0.9816415589988142,68.9072474652647,76.56767707618941,3.400000000000034,0.6100000000000136,8.430000000000007,,0,7.902171475871063,11.153958373857215,,,0,,,-1.711117483988145,2.3390066686572952,31.702318432176234,345.72,8.580193043097378,345.72,0,25,20,20,310.625,,,,308.46,,,,,,306.9866666666667,313.9433333333334,319.42666666666673,326.38333333333344,301.50333333333333,294.5466666666666,289.0633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-25,295.27,298.75,288.55,291.33,39274883,276.8305,,,284.77496549738254,262.4124481559505,250.8344227889656,244.00031306545253,63.03389302097715,18.602082306753573,17.43727181303897,1.1648104937146044,0,22.31357142857143,0.5,0.05,38962436.2,36078614.35,1.0080191802790812,1.0885917795786966,51.07052896725438,64.90011030168583,3.9399999999999977,3.480000000000018,2.7799999999999727,,0,2.2500375871408527,4.977002025194801,,,0,,,-5.553394281268231,-1.783426606432481,23.544378949153977,345.72,2.301829618754776,345.72,0,25,20,20,309.025,,,,291.33,,,,,,292.8766666666666,297.2033333333332,303.0766666666666,307.4033333333332,287.0033333333332,282.6766666666666,276.8033333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-26,293.0,294.0,283.0,283.46,25990691,278.9875,,,284.649730688108,263.23784234591324,251.48047382284747,244.39294676629382,59.919724770642205,16.179540241059556,17.185725498643087,-1.0061852575835317,0,22.41214285714286,0.5,0.05,36383313.9,36943571.5,0.7143574406508364,0.7035240488321494,43.990644116588676,54.65614018303592,9.54000000000002,1.0,0.45999999999997954,,0,-0.41971731041699,1.5778240316093868,,,0,,,-2.7014039062231876,-8.164323203524926,17.951065246338203,345.72,-0.4179630471569261,345.72,0,25,20,20,306.25,,,,283.46,,,,,,286.82,290.64,297.82,301.64,279.64,275.82,268.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-29,284.6,285.98,279.61,282.76,25778508,281.819,,,284.4697563368596,264.0034171558774,252.0998703808109,244.7747084900123,59.19158607781096,14.04131451732701,16.55684330237987,-2.5155287850528616,0,22.229285714285716,0.5,0.05,34960764.3,37401564.85,0.7373553901394542,0.6892360815218671,4.764785962789255,33.27531968221078,1.8400000000000318,1.3799999999999955,3.1499999999999773,,0,-0.6046669744163192,0.33279105955579785,,,0,,,-0.24694842305792442,-13.832088983696478,25.043116791226282,345.72,-0.6010327280046418,345.72,0,25,20,20,304.555,282.255,293.405,,282.76,,,,,,282.78333333333336,285.9566666666667,289.15333333333336,292.3266666666667,279.5866666666667,276.41333333333336,273.2166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-30,283.69,284.0,275.9,281.24,23880810,284.616,,,284.16216049525394,264.67936158113713,252.6769026504978,245.1375472115047,33.07211158242863,12.084797901669617,15.66243422223782,-3.577636320568203,0,15.364285714285716,0.5,0.05,32156518.5,38072510.2,0.7426428952499942,0.6272454817019131,9.691470054446516,19.482300044608152,2.4499999999999886,0.3100000000000023,5.340000000000032,,0,-1.0390273415068743,-1.2003982363817296,,,0,,,-0.5375583533738792,-10.384603129082615,24.82911673324455,345.72,-1.0283425809266886,345.72,0,25,20,20,302.7,282.255,292.47749999999996,,281.24,,,,,,280.38,284.86,288.48,292.96000000000004,276.76,272.28,268.65999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
