date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,22.88,23.55,22.8,23.47,17577600,,,,23.47,23.47,23.47,23.47,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.5899999999999999,0.0800000000000018,0.0799999999999983,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,23.47,,,,,,23.27333333333333,23.74666666666666,24.02333333333333,24.49666666666666,22.99666666666666,22.52333333333333,22.24666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-24,23.82,24.74,23.74,24.38,15360034,,,,23.556666666666665,23.50568627450981,23.4880198019802,23.47905472636816,,0.0725925925925885,0.0145185185185177,0.0580740740740708,1,,0.5,0.05,,,,,,,0.5599999999999987,0.3599999999999994,0.0800000000000018,,0,3.377085042384472,,,,0,,,3.877290157648061,,,,3.495118154804022,,0,25,20,20,,,,,24.38,,,,,,24.286666666666665,24.83333333333333,25.286666666666665,25.83333333333333,23.83333333333333,23.286666666666665,22.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-25,24.3,24.87,23.91,24.63,10024500,,,,23.65888888888889,23.54977700884276,23.510633271247915,23.49050691814559,,0.148582884879179,0.0413313917906499,0.107251493088529,1,,0.5,0.05,,,,,,,0.3299999999999983,0.240000000000002,0.3900000000000005,,0,3.942797852663866,,,,0,,,1.0254306808859637,,,,4.104635326163524,,0,25,20,20,,,,,24.63,,,,,,24.47,25.03,25.43,25.99,24.07,23.51,23.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-26,24.3,24.72,23.91,24.0,11491018,,,,23.69137566137566,23.567432812417547,23.52032370152024,23.495576501049616,,0.1561697761592206,0.0642990686643641,0.0918707074948565,0,,0.5,0.05,,,,,,,0.3000000000000007,0.4199999999999981,0.0899999999999998,,0,1.2859347442680875,,,,0,,,-2.5578562728379994,,,,1.302686441832481,,0,25,20,20,,,,,24.0,,,,,,24.21,24.509999999999994,25.02,25.32,23.7,23.4,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-27,24.45,25.79,24.45,25.66,17295300,,,,23.8788636936256,23.649494270754115,23.562693529212904,23.517113053277978,,0.2927558616218242,0.1099904272558561,0.182765434365968,1,,0.5,0.05,,,,,,,1.2100000000000009,0.129999999999999,0.0,,0,6.941295036533138,,,,0,,,6.91666666666666,,,,7.459049681873568,,0,25,20,20,,,,,25.66,,,,,,25.3,26.149999999999995,26.64,27.489999999999995,24.809999999999995,23.96,23.469999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-30,25.83,26.19,25.22,25.25,10804446,,,,24.00944810375649,23.712259201312776,23.596105538535426,23.53435570946427,,0.3637249500996873,0.1607373318246223,0.2029876182750649,1,,0.5,0.05,,,,,,,0.5799999999999983,0.360000000000003,0.0300000000000011,,0,4.913076816805964,,,,0,,,-1.5978176149649248,7.584149978696208,,,5.166932163048807,,0,25,20,20,,,,,25.25,,,,,,25.55333333333333,25.886666666666663,26.523333333333333,26.856666666666666,24.91666666666666,24.58333333333333,23.94666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-08-31,25.51,26.14,25.15,25.69,17367700,,,,24.16950066530349,23.789817664006392,23.637568795198085,23.555804906385024,,0.4502822137208078,0.2186463082038595,0.2316359055169483,1,,0.5,0.05,,,,,,,0.1799999999999997,0.4499999999999993,0.360000000000003,,0,5.91864279757301,,,,0,,,1.742574257425744,5.373256767842505,,,6.2909836481614105,,0,25,20,20,,,,,25.69,,,,,,25.66,26.17,26.65,27.160000000000004,25.18,24.67,24.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-09-01,25.6,25.86,24.86,25.08,14779525,,,,24.256214887655545,23.84041304973164,23.666131789352576,23.570971026719505,,0.4643053437519313,0.2677781153134738,0.1965272284384575,0,,0.5,0.05,,,,,,,0.5200000000000031,0.259999999999998,0.2199999999999988,,0,3.2846296345472745,,,,0,,,-2.374464772284945,1.8270401948842885,,,3.3961816225650963,,0,25,20,20,,,,,25.08,,,,,,25.266666666666666,25.67333333333333,26.266666666666666,26.67333333333333,24.67333333333333,24.266666666666666,23.67333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-09-02,25.56,26.93,25.5,26.58,21151865,,,,24.47752775549787,23.9478478320951,23.723832149959456,23.60091161351832,,0.5896590172093461,0.3321542956926483,0.2575047215166978,1,,0.5,0.05,,,,,,,1.0199999999999996,0.3500000000000014,0.0599999999999987,,0,7.909978346509133,,,,0,,,5.980861244019131,10.749999999999991,,,8.589397857101371,,0,25,20,20,24.865,,,,26.58,,,,,,26.336666666666662,27.173333333333325,27.766666666666666,28.603333333333325,25.743333333333325,24.906666666666663,24.313333333333325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
2021-09-03,26.4,26.87,25.78,25.92,13461719,,,,24.61490606449808,24.025187132797253,23.767320622237488,23.62398711985147,,0.6285012512035095,0.3914236867948206,0.2370775644086889,0,,0.5,0.05,14931370.7,,0.9015728877456642,,,,0.4799999999999969,0.4700000000000024,0.1400000000000005,,0,5.035084627708048,,,,0,,,-2.483069977426622,1.013250194855808,,,5.302047190764034,,0,25,20,20,25.335,,,,25.92,,,,,,26.19,26.6,27.28,27.69,25.51,25.1,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,6.36,10.79,34.93,17.24,52.12,36.47,1.68,7.37,3.84,17.1,61.59,20.02,44.6,4.27,87.72,expensive,USD,1.0,stock,25.0
