date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,60.82,61.75,60.0,60.19,1762378,,,,60.19,60.19,60.19,60.19,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.6300000000000026,0.9299999999999996,0.1899999999999977,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,60.19,,,,,,60.64666666666667,61.29333333333334,62.39666666666667,63.04333333333334,59.54333333333334,58.89666666666667,57.79333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,60.51,62.06,60.3,62.06,3161134,,,,60.36809523809524,60.263333333333335,60.22702970297029,60.20860696517413,,0.1491737891737869,0.0298347578347574,0.1193390313390296,1,,0.5,0.05,,,,,,,1.5500000000000045,0.0,0.2100000000000008,,0,2.726240351119507,,,,0,,,3.1068283768067806,,,,2.802647251386343,,0,25,20,20,,,,,62.06,,,,,,61.473333333333336,62.64666666666668,63.23333333333334,64.40666666666668,60.88666666666667,59.71333333333333,59.126666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,62.59,65.59,61.6,64.92,3607725,,,,60.80160997732426,60.4459477124183,60.31995980786197,60.25548649785897,,0.4924960024675116,0.1223670067613082,0.3701289957062033,1,,0.5,0.05,,,,,,,2.3299999999999983,0.6700000000000017,0.990000000000002,,0,6.343792394756223,,,,0,,,4.60844344183049,,,,6.773488439223367,,0,25,20,20,,,,,64.92,,,,,,64.03666666666668,66.47333333333336,68.02666666666667,70.46333333333335,62.48333333333335,60.046666666666674,58.49333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,64.0,64.79,63.22,63.85,2326304,,,,61.09193283662672,60.579439958990136,60.3898615938449,60.29125280136286,,0.6705120270997185,0.2319960108289903,0.4385160162707281,1,,0.5,0.05,,,,,,,0.1499999999999985,0.7900000000000063,0.6300000000000026,,0,4.319604014680162,,,,0,,,-1.6481823783117688,,,,4.514617618579792,,0,25,20,20,,,,,63.85,,,,,,63.953333333333326,64.68666666666665,65.52333333333334,66.25666666666666,63.116666666666646,62.38333333333332,61.54666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,63.67,65.09,62.11,64.97,2371380,,,,61.46127256647179,60.75161878412778,60.48055740386777,60.337807499856766,,0.8916868381124203,0.3639341762856763,0.527752661826744,1,,0.5,0.05,,,,,,,1.2999999999999972,0.1200000000000045,1.5600000000000025,,0,5.400534759932596,,,,0,,,1.7541111981205892,,,,5.708842799721463,,0,25,20,20,,,,,64.97,,,,,,64.05666666666667,66.00333333333334,67.03666666666668,68.98333333333335,63.02333333333334,61.07666666666667,60.04333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,65.6,65.6,62.94,64.55,1470342,,,,61.75543708395067,60.900574910240415,60.56114042557336,60.37971986304228,,1.0213059995826228,0.4954085409450657,0.5258974586375571,0,,0.5,0.05,,,,,,,1.0499999999999972,0.0,1.6099999999999994,,0,4.329299637566739,,,,0,,,-0.6464522087117119,7.243728194052168,,,4.525209516775642,,0,25,20,20,,,,,64.55,,,,,,64.36333333333333,65.78666666666666,67.02333333333333,68.44666666666666,63.126666666666665,61.70333333333333,60.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,64.55,64.55,62.5201,63.2,1846241,,,,61.8930145045268,60.990748443172166,60.61339507061151,60.40778235196724,,1.0035283511666009,0.5970325029893728,0.406495848177228,0,,0.5,0.05,,,,,,,1.3499999999999943,0.0,0.6799000000000035,,0,2.068015024482922,,,,0,,,-2.091402013942667,1.836932001289071,,,2.1116849872898253,,0,25,20,20,,,,,63.2,,,,,,63.42336666666667,64.32663333333335,65.45326666666668,66.35653333333335,62.29673333333335,61.39346666666668,60.26683333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,63.5,64.2,61.85,62.04,2613871,,,,61.907013123143294,61.03189556304777,60.64164467317366,60.42402332358945,,0.8856281610837726,0.6547516346082528,0.2308765264755198,0,,0.5,0.05,,,,,,,1.4600000000000009,0.7000000000000028,0.1899999999999977,,0,0.2143566680475585,,,,0,,,-1.835443037974693,-4.436229205175602,,,0.2148171429175114,,0,25,20,20,,,,,62.04,,,,,,62.696666666666665,63.54333333333333,65.04666666666667,65.89333333333333,61.19333333333333,60.34666666666666,58.84333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,62.13,62.4,60.81,61.55,2231739,,,,61.87301187332013,61.05221338410472,60.65963190736824,60.43522707161344,,0.7440752695820265,0.6726163616030076,0.0714589079790188,0,,0.5,0.05,,,,,,,0.5800000000000054,0.269999999999996,0.7399999999999949,,0,-0.5247958949149092,,,,0,,,-0.7898130238555789,-3.602192638997659,,,-0.5220561655887492,,0,25,20,20,62.8,,,,61.55,,,,,,61.586666666666666,62.36333333333333,63.17666666666666,63.953333333333326,60.77333333333333,59.99666666666667,59.18333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,61.75,64.05,61.26,63.37,3210247,,,,62.01558217109916,61.14310697688492,60.71330256266787,60.46442879229391,,0.769877701942967,0.6920686296709996,0.0778090722719674,1,,0.5,0.05,2460136.1,,1.3049062610804336,,,,1.6199999999999974,0.6799999999999997,0.490000000000002,,0,2.137317072590884,,,,0,,,2.9569455727051164,-2.462675080806531,,,2.1839959917880702,,0,25,20,20,62.95,,,,63.37,,,,,,62.89333333333334,64.52666666666667,65.68333333333334,67.31666666666668,61.73666666666668,60.10333333333334,58.94666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
