date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,157.83,158.52,157.32,157.85,3102117,,,,157.85,157.85,157.85,157.85,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0199999999999818,0.6700000000000159,0.5100000000000193,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,157.85,,,,,,157.89666666666668,158.47333333333336,159.0966666666667,159.67333333333335,157.27333333333334,156.69666666666666,156.07333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-24,157.75,157.75,155.68,155.89,3760800,,,,157.66333333333333,157.77313725490197,157.81118811881188,157.8304975124378,,-0.1563532763532578,-0.0312706552706515,-0.1250826210826062,0,,0.5,0.05,,,,,,,1.8600000000000136,0.0,0.2099999999999795,,0,-1.137554258344564,,,,0,,,-1.2416851441241716,,,,-1.124759508657693,,0,25,20,20,,,,,155.89,,,,,,156.44,157.2,158.51,159.26999999999998,155.13,154.37,153.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-25,155.36,155.67,154.16,155.2,3346864,,,,157.42873015873016,157.6722299115725,157.75948142338984,157.80432340783645,,-0.332113213366739,-0.091439166889869,-0.24067404647687,0,,0.5,0.05,,,,,,,0.160000000000025,0.3099999999999738,1.039999999999992,,0,-1.4360374734086163,,,,0,,,-0.442619796010002,,,,-1.4157073848483808,,0,25,20,20,,,,,155.2,,,,,,155.01,155.86,156.51999999999998,157.36999999999998,154.35,153.5,152.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-26,155.51,155.67,154.09,154.63,3220727,,,,157.16218442932728,157.55292677778533,157.69751149421378,157.77273810029578,,-0.511502187227876,-0.1754517709574704,-0.3360504162704055,0,,0.5,0.05,,,,,,,0.8799999999999955,0.1599999999999966,0.539999999999992,,0,-1.6375764271663245,,,,0,,,-0.3672680412371121,,,,-1.611191927957683,,0,25,20,20,,,,,154.63,,,,,,154.79666666666665,155.5033333333333,156.37666666666664,157.0833333333333,153.92333333333332,153.21666666666667,152.34333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-27,154.84,155.41,154.21,154.94,4166500,,,,156.9505478170104,157.45045906100944,157.64290730620957,157.74455165153665,,-0.6214906745865107,-0.2646595516832785,-0.3568311229032322,0,,0.5,0.05,,,,,,,0.0999999999999943,0.4699999999999988,0.6299999999999955,,0,-1.2976299322385472,,,,0,,,0.2004785617280013,,,,-1.281007199385194,,0,25,20,20,,,,,154.94,,,,,,154.85333333333332,155.49666666666664,156.0533333333333,156.69666666666663,154.29666666666665,153.65333333333334,153.09666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-30,155.18,156.17,155.01,156.0,2540619,,,,156.86001945348562,157.39357831351887,157.61037448826482,157.72719292863576,,-0.6160230715246371,-0.3349322556515502,-0.2810908158730869,1,,0.5,0.05,,,,,,,0.8199999999999932,0.1699999999999875,0.1700000000000159,,0,-0.551294521465141,,,,0,,,0.6841357945011062,-1.1719987329743442,,,-0.5482719283613536,,0,25,20,20,,,,,156.0,,,,,,155.72666666666666,156.44333333333333,156.88666666666666,157.60333333333332,155.28333333333333,154.56666666666666,154.1233333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-08-31,156.09,156.47,155.34,156.39,5291405,,,,156.81525569601078,157.354222301224,157.58620865681402,157.7138875263608,,-0.5736080198775824,-0.3826674084967566,-0.1909406113808257,1,,0.5,0.05,,,,,,,0.2999999999999829,0.0800000000000125,0.75,,0,-0.2719200051223184,,,,0,,,0.2499999999999946,0.3207389826159534,,,-0.2711826053679112,,0,25,20,20,,,,,156.39,,,,,,156.06666666666666,156.79333333333332,157.19666666666666,157.92333333333332,155.66333333333333,154.93666666666667,154.53333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-09-01,156.84,158.19,156.51,157.91,4231400,,,,156.91951705829547,157.3760175050976,157.5926203665801,157.7158388942577,,-0.412586449272311,-0.3886512166518675,-0.0239352326204435,1,,0.5,0.05,,,,,,,1.0699999999999932,0.2800000000000011,0.3300000000000125,,0,0.627245229374028,,,,0,,,0.9719291514802776,1.7461340206185616,,,0.6312044290427966,,0,25,20,20,,,,,157.91,,,,,,157.53666666666666,158.56333333333333,159.21666666666667,160.24333333333334,156.88333333333333,155.85666666666663,155.20333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-09-02,156.79,157.29,155.87,156.95,2862535,,,,156.9224201956007,157.35931093627025,157.57989521080623,157.70821860675267,,-0.3583093047892873,-0.3825828342793515,0.0242735294900641,1,,0.5,0.05,,,,,,,0.1599999999999966,0.3400000000000034,0.9199999999999876,,0,0.0175723506845004,,,,0,,,-0.6079412323475419,1.5003556877708046,,,0.0175754391022938,,0,25,20,20,156.305,,,,156.95,,,,,,156.70333333333332,157.53666666666663,158.1233333333333,158.95666666666662,156.11666666666665,155.28333333333333,154.69666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
2021-09-03,156.2,157.42,155.9,157.09,2035100,,,,156.93838017697203,157.3487497230832,157.57019431554275,157.70206717782978,,-0.3005330884018917,-0.3661728851038596,0.0656397967019678,1,,0.5,0.05,3455806.7,,0.5888928914918765,,,,0.8900000000000148,0.3299999999999841,0.2999999999999829,,0,0.0965178070074296,,,,0,,,0.0892003822873688,1.3876339228088286,,,0.0966110538779594,,0,25,20,20,156.14,,,,157.09,,,,,,156.8033333333333,157.70666666666662,158.3233333333333,159.2266666666666,156.18666666666664,155.28333333333333,154.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26.01,33.68,18.83,26.32,fair,USD,1.0,stock,25.0
