date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,50.29,51.36,49.6,49.93,88652400,,,,49.93,49.93,49.93,49.93,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.3599999999999994,1.0700000000000005,0.3299999999999983,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,49.93,,,,,,50.296666666666674,50.99333333333335,52.05666666666667,52.75333333333335,49.23333333333335,48.53666666666668,47.47333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-24,49.74,50.05,48.24,48.38,52624100,,,,49.78238095238096,49.86921568627452,49.89930693069307,49.91457711442786,,-0.123646723646722,-0.0247293447293444,-0.0989173789173776,0,,0.5,0.05,,,,,,,1.3599999999999994,0.3099999999999951,0.1400000000000005,,0,-2.898679107856452,,,,0,,,-3.104346084518317,,,,-2.8170226605320288,,0,25,20,20,,,,,48.38,,,,,,48.88999999999999,49.53999999999999,50.69999999999999,51.34999999999998,47.72999999999999,47.08,45.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-25,48.04,48.28,46.93,47.51,51036800,,,,49.56596371882086,49.77669742406767,49.851993922164496,49.8906509739858,,-0.2885135672600114,-0.0774861892354778,-0.2110273780245336,0,,0.5,0.05,,,,,,,0.5300000000000011,0.240000000000002,0.5799999999999983,,0,-4.327433632542334,,,,0,,,-1.7982637453493266,,,,-4.147934519106678,,0,25,20,20,,,,,47.51,,,,,,47.57333333333333,48.21666666666666,48.92333333333333,49.56666666666666,46.86666666666666,46.22333333333333,45.51666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-26,47.7,48.16,47.3,47.38,29029316,,,,49.357776697980775,49.68270928979051,49.80304354746817,49.8656693722546,,-0.4247652131990804,-0.1469419940281983,-0.2778232191708821,0,,0.5,0.05,,,,,,,0.3200000000000003,0.4599999999999937,0.0800000000000054,,0,-4.174285981386181,,,,0,,,-0.27362660492527,,,,-4.007021446858815,,0,25,20,20,,,,,47.38,,,,,,47.61333333333334,47.92666666666668,48.473333333333336,48.78666666666668,47.06666666666668,46.75333333333334,46.20666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-27,47.37,47.5,46.53,46.6,32924523,,,,49.09513129817308,49.56181872940657,49.73961694256781,49.8331751496451,,-0.5888966712630292,-0.2353329294751645,-0.3535637417878647,0,,0.5,0.05,,,,,,,0.769999999999996,0.1300000000000025,0.0700000000000002,,0,-5.354359008955103,,,,0,,,-1.6462642465175148,,,,-5.082237753921491,,0,25,20,20,,,,,46.6,,,,,,46.876666666666665,47.22333333333333,47.84666666666666,48.19333333333333,46.25333333333333,45.906666666666666,45.28333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-30,46.2,47.16,46.16,46.76,25774400,,,,48.87273784120421,49.45194348511612,49.68061462687339,49.8025962924347,,-0.6980150880223874,-0.3278693611846091,-0.3701457268377783,0,,0.5,0.05,,,,,,,0.5599999999999952,0.3999999999999986,0.0400000000000062,,0,-4.518258856296439,,,,0,,,0.343347639484981,-6.348888443821354,,,-4.322937356341397,,0,25,20,20,,,,,46.76,,,,,,46.69333333333333,47.22666666666666,47.69333333333333,48.22666666666666,46.22666666666666,45.69333333333333,45.22666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-08-31,46.72,47.14,45.93,46.07,34547833,,,,48.60581042775619,49.31931825040568,49.60911730752937,49.765456030818434,,-0.8305948722296108,-0.4284144633936095,-0.4021804088360013,0,,0.5,0.05,,,,,,,0.6499999999999986,0.4200000000000017,0.1400000000000005,,0,-5.5042553239769685,,,,0,,,-1.475620188195037,-4.774700289375778,,,-5.21709319408472,,0,25,20,20,,,,,46.07,,,,,,46.38,46.82999999999999,47.59,48.03999999999999,45.61999999999999,45.17,44.40999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-09-01,46.19,46.26,45.42,46.04,32900114,,,,48.361447529874646,49.190717534703495,49.53844171728126,49.72838681658144,,-0.9273956162981848,-0.5282106939745246,-0.3991849223236601,1,,0.5,0.05,,,,,,,0.1499999999999985,0.0700000000000002,0.6199999999999974,,0,-5.042240507981422,,,,0,,,-0.0651182982418063,-3.0940854556935404,,,-4.80020274091383,,0,25,20,20,,,,,46.04,,,,,,45.906666666666666,46.39333333333333,46.74666666666666,47.23333333333333,45.553333333333335,45.06666666666667,44.71333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-09-02,46.48,46.87,46.13,46.84,26149357,,,,48.21654776512467,49.09853253334258,49.48500722783015,49.699646649252266,,-0.9288503802687345,-0.6083386312333665,-0.3205117490353679,1,,0.5,0.05,,,,,,,0.3600000000000065,0.029999999999994,0.3499999999999943,,0,-2.9388295583361863,,,,0,,,1.7376194613379692,-1.1397214014352008,,,-2.8549280878220307,,0,25,20,20,48.39,,,,46.84,,,,,,46.61333333333334,47.09666666666667,47.35333333333333,47.836666666666666,46.35666666666668,45.87333333333334,45.61666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
2021-09-03,46.9,47.03,46.34,46.84,20834762,,,,48.08544797796995,49.00996263007424,49.43263084708104,49.67119245373732,,-0.9194049630916012,-0.6705518976050135,-0.2488530654865877,1,,0.5,0.05,39447360.5,,0.5281661874436441,,,,0.0599999999999951,0.1300000000000025,0.5,,0,-2.6589410289708484,,,,0,,,0.0,0.5150214592274827,,,-2.5900725278478007,,0,25,20,20,47.735,,,,46.84,,,,,,46.73666666666667,47.13333333333334,47.42666666666667,47.82333333333334,46.44333333333334,46.046666666666674,45.75333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,8.96,12.42,74.33,27.82,38.35,20.44,1.84,8.75,3.36,5.68,159.71,26.55,81.33,5.45,77.19,expensive,USD,1.0,stock,25.0
