date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-29,2120.0,2130.0,2091.0,2091.0,40577,,,,2091.0,2091.0,2091.0,2091.0,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,29.0,10.0,0.0,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,2091.0,,,,,,2104.0,2117.0,2143.0,2156.0,2078.0,2065.0,2039.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-01,2095.0,2105.0,2062.0,2063.0,41466,,,,2088.3333333333335,2089.901960784314,2090.4455445544554,2090.721393034826,,-2.233618233618472,-0.4467236467236944,-1.7868945868947776,0,,0.5,0.05,,,,,,,32.0,10.0,1.0,,0,-1.2279851349167952,,,,0,,,-1.3390722142515576,,,,-1.2130885873902704,,0,25,20,20,,,,,2063.0,,,,,,2076.6666666666665,2091.333333333333,2119.6666666666665,2134.333333333333,2048.333333333333,2033.6666666666665,2005.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,2056.0,2076.0,2022.0,2040.0,65657,,,,2083.730158730159,2087.9450211457133,2089.4466228801098,2090.216702556868,,-5.792907525101327,-1.5159604223992211,-4.276947102702106,0,,0.5,0.05,,,,,,,16.0,20.0,18.0,,0,-2.1436352318705403,,,,0,,,-1.1148812409112918,,,,-2.098647876594948,,0,25,20,20,,,,,2040.0,,,,,,2046.0,2070.0,2100.0,2124.0,2016.0,1992.0,1962.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,2052.0,2074.0,2042.0,2047.0,50988,,,,2080.232048374906,2086.3393340419602,2088.6060956943647,2089.7866856160035,,-7.957103892786108,-2.8041891164765986,-5.15291477630951,0,,0.5,0.05,,,,,,,5.0,22.0,5.0,,0,-1.6234513128923225,,,,0,,,0.34313725490195957,,,,-1.5975164117323828,,0,25,20,20,,,,,2047.0,,,,,,2054.3333333333335,2066.666666666667,2086.3333333333335,2098.666666666667,2034.666666666667,2022.3333333333335,2002.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,2050.0,2067.0,2003.0,2019.0,52876,,,,2074.400424720153,2083.6985758442365,2087.2277571657637,2089.082340485496,,-11.795638324530046,-4.602478958087288,-7.1931593664427576,0,,0.5,0.05,,,,,,,31.0,17.0,16.0,,0,-2.743953676084836,,,,0,,,-1.3678553981436248,,,,-2.6706716822826837,,0,25,20,20,,,,,2019.0,,,,,,2029.6666666666667,2056.3333333333335,2093.666666666667,2120.3333333333335,1992.3333333333335,1965.6666666666667,1928.3333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,2031.0,2050.0,1998.0,2039.0,60934,,,,2071.028955699186,2081.9456905170114,2086.2727520733724,2088.5840087393717,,-13.073172271628664,-6.296617620795564,-6.7765546508331,1,,0.5,0.05,,,,,,,8.0,11.0,33.0,,0,-1.5708168562621923,,,,0,,,0.9905894006934091,-2.4868483978957467,,,-1.546523799729928,,0,25,20,20,,,,,2039.0,,,,,,2029.0,2060.0,2081.0,2112.0,2008.0,1977.0,1956.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,2044.0,2053.0,2026.0,2044.0,29734,,,,2068.454769442121,2080.4576242222265,2085.4356678738995,2088.1403867618656,,-13.526246762698975,-7.742543449176246,-5.783703313522729,1,,0.5,0.05,,,,,,,0.0,9.0,18.0,,0,-1.1964172916888833,,,,0,,,0.24521824423737737,-0.9209888511875874,,,-1.182272380493794,,0,25,20,20,,,,,2044.0,,,,,,2041.0,2056.0,2068.0,2083.0,2029.0,2014.0,2002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,2044.0,2113.0,2044.0,2095.0,65032,,,,2070.9828866381094,2081.0279134684138,2085.625060589268,2088.2086416199563,,-9.65869832393355,-8.125774424127707,-1.5329238998058425,1,,0.5,0.05,,,,,,,51.0,18.0,0.0,,0,1.1464015924530095,,,,0,,,2.495107632093929,2.6960784313725394,,,1.1596963701075422,,0,25,20,20,,,,,2095.0,,,,,,2084.0,2124.0,2153.0,2193.0,2055.0,2015.0,1986.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,2091.0,2118.5,2072.0,2093.0,42498,,,,2073.079754577337,2081.497407057888,2085.771098993441,2088.2563168277184,,-6.678041304115595,-7.836227800125285,1.15818649600969,1,,0.5,0.05,,,,,,,2.0,25.5,19.0,,0,0.9517556341453846,,,,0,,,-0.09546539379474694,2.2471910112359605,,,0.9609010641621105,,0,25,20,20,2064.0,,,,2093.0,,,,,,2094.5,2117.0,2141.0,2163.5,2070.5,2048.0,2024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-11,2094.0,2116.0,2086.0,2110.0,45238,,,,2076.5959684271143,2082.615155800716,2086.250879211392,2088.472671884159,,-2.910540319310712,-6.851090303962371,3.9405499846516587,1,,0.5,0.05,49500.0,,0.9138989898989899,,,,16.0,6.0,8.0,,0,1.583129458430604,,,,0,,,0.8122312470138615,4.507181773155033,,,1.6085956093898761,,0,25,20,20,2058.25,,,,2110.0,,,,,,2104.0,2122.0,2134.0,2152.0,2092.0,2074.0,2062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
