date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,147.73,149.08,147.18,148.95,259349,,,,148.95,148.95,148.95,148.95,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,1.2199999999999989,0.13000000000002387,0.549999999999983,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,148.95,,,,,,148.40333333333334,149.62666666666667,150.30333333333334,151.52666666666667,147.72666666666666,146.50333333333333,145.82666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,147.85,148.69,147.6,148.23,290100,,,,148.88142857142856,148.92176470588234,148.9357425742574,148.94283582089554,,-0.05743589743588018,-0.011487179487176036,-0.04594871794870414,0,,0.5,0.05,,,,,,,0.37999999999999545,0.46000000000000796,0.25,,0,-0.43947147772284134,,,,0,,,-0.483383685800598,,,,-0.43754857652781926,,0,25,20,20,,,,,148.23,,,,,,148.17333333333332,148.74666666666664,149.26333333333332,149.83666666666664,147.65666666666664,147.08333333333331,146.56666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,147.43,147.69,146.84,146.98,358300,,,,148.7003401360544,148.84561707035752,148.89701499852953,148.92330511621003,,-0.20149609175248884,-0.04948896194023859,-0.15200712981225023,0,,0.5,0.05,,,,,,,0.45000000000001705,0.2599999999999909,0.13999999999998636,,0,-1.1704586583578742,,,,0,,,-0.8432840855427393,,,,-1.1569174182657327,,0,25,20,20,,,,,146.98,,,,,,147.17,147.49999999999997,148.01999999999998,148.34999999999997,146.64999999999998,146.32,145.79999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,147.26,147.75,146.86,147.13,261116,,,,148.55078393262062,148.7783379695592,148.86202460251903,148.90546128420795,,-0.3001017016386811,-0.0996115098799271,-0.200490191758754,0,,0.5,0.05,,,,,,,0.12999999999999545,0.4900000000000091,0.2699999999999818,,0,-0.9656656919871017,,,,0,,,0.10205470131992023,,,,-0.9564297777553696,,0,25,20,20,,,,,147.13,,,,,,147.24666666666667,147.63333333333333,148.13666666666666,148.5233333333333,146.74333333333334,146.35666666666668,145.85333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,147.55,149.06,147.43,148.72,338146,,,,148.56689974856153,148.7760502060471,148.85921223415232,148.90361589829544,,-0.24709923984994475,-0.12910905587393062,-0.11799018397601413,1,,0.5,0.05,,,,,,,1.1699999999999875,0.3400000000000034,0.12000000000000455,,0,0.10294530085965159,,,,0,,,1.080676952355053,,,,0.10305138742047162,,0,25,20,20,,,,,148.72,,,,,,148.40333333333334,149.37666666666667,150.03333333333333,151.00666666666666,147.74666666666667,146.77333333333334,146.11666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,148.79,149.94,148.54,149.88,291041,,,,148.6919569153652,148.81934235482956,148.87942585327804,148.91333116298904,,-0.11022153628499609,-0.12533155195614373,0.015110015671147642,1,,0.5,0.05,,,,,,,1.0900000000000034,0.060000000000002274,0.25,,0,0.7926628533725546,,,,0,,,0.7799892415276899,0.6243705941591182,,,0.798996199445417,,0,25,20,20,,,,,149.88,,,,,,149.45333333333335,150.3666666666667,150.85333333333335,151.7666666666667,148.9666666666667,148.05333333333334,147.5666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,150.36,150.75,149.31,150.14,451016,,,,148.82986578056853,148.8711328507186,148.90438771756953,148.92553682305882,,0.019015656380275914,-0.09646211028885981,0.11547776666913573,1,,0.5,0.05,,,,,,,0.22000000000002728,0.38999999999998636,0.8299999999999841,,0,0.8726083784677376,,,,0,,,0.17347211102214377,1.2885380827093007,,,0.880289861554464,,0,25,20,20,,,,,150.14,,,,,,150.06666666666666,150.82333333333332,151.50666666666666,152.26333333333332,149.38333333333333,148.62666666666667,147.94333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,150.78,151.48,150.08,150.11,363500,,,,148.9517833252763,148.91971587618062,148.92826122811272,148.93732252631196,,0.11766000212793415,-0.05363768780550103,0.1712976899334352,1,,0.5,0.05,,,,,,,0.6699999999999875,0.6999999999999886,0.030000000000001137,,0,0.7715786254904523,,,,0,,,-0.01998135073929541,2.1295414342087593,,,0.7775782530877394,,0,25,20,20,,,,,150.11,,,,,,150.55666666666667,151.03333333333333,151.95666666666665,152.4333333333333,149.63333333333335,149.1566666666667,148.23333333333338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,149.57,149.67,148.86,148.98,211539,,,,148.95447062763094,148.92207995946765,148.92928575824908,148.93774717779144,,0.10346215333046871,-0.022217719578307083,0.1256798729087758,0,,0.5,0.05,,,,,,,0.5900000000000034,0.09999999999999432,0.11999999999997613,,0,0.01713610710769899,,,,0,,,-0.7527812937179523,1.2573914225514793,,,0.017139044072648515,,0,25,20,20,149.16,,,,148.98,,,,,,149.17,149.47999999999996,149.97999999999996,150.28999999999994,148.67,148.36,147.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,148.16,150.0,147.72,149.83,479200,,,,149.03785437738037,148.9576846669395,148.9471216838283,148.94662531532586,,0.1589656945480442,0.014018963246963178,0.14494673130108104,1,,0.5,0.05,330330.7,,1.450667467480316,,,,1.670000000000016,0.1699999999999875,0.4399999999999977,,0,0.5286962708533955,,,,0,,,0.5705463820647294,0.7463690155997904,,,0.5315063249728771,,0,25,20,20,149.16,,,,149.83,,,,,,149.18333333333337,150.64666666666673,151.46333333333337,152.92666666666673,148.36666666666673,146.90333333333336,146.08666666666673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
