date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,164.54,172.05,163.81,170.79,1725284,,,,170.79,170.79,170.79,170.79,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,6.25,1.2600000000000193,0.7299999999999898,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,170.79,,,,,,168.88333333333333,173.95666666666665,177.12333333333333,182.19666666666666,165.71666666666664,160.64333333333332,157.47666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,170.25,171.1,168.545,168.67,1356249,,,,170.5880952380952,170.70686274509805,170.74801980198018,170.76890547263682,,-0.16911680911678673,-0.033823361823357344,-0.13529344729342938,0,,0.5,0.05,,,,,,,1.5800000000000125,0.8499999999999943,0.125,,0,-1.137188141397533,,,,0,,,-1.2412904736811337,,,,-1.1244015799684455,,0,25,20,20,,,,,168.67,,,,,,169.4383333333333,170.33166666666662,171.9933333333333,172.88666666666663,167.7766666666666,166.8833333333333,165.2216666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,168.77,170.0,164.01,164.25,2281734,,,,169.98446712018136,170.45365244136872,170.61934614253502,170.70404074156582,,-0.6522810691471363,-0.15751490328811313,-0.4947661658590232,0,,0.5,0.05,,,,,,,4.52000000000001,1.2299999999999898,0.2400000000000091,,0,-3.4913041827588214,,,,0,,,-2.620501571115186,,,,-3.373524191552759,,0,25,20,20,,,,,164.25,,,,,,166.08666666666667,168.16333333333336,172.07666666666668,174.15333333333336,162.17333333333335,160.09666666666666,156.18333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,165.94,172.6,165.94,171.88,2482509,,,,170.16499406111646,170.50958763974643,170.6443095852571,170.7157418287144,,-0.414734195163561,-0.20895876166320274,-0.2057754335003583,1,,0.5,0.05,,,,,,,5.939999999999998,0.7199999999999989,0.0,,0,0.9977926104744798,,,,0,,,4.645357686453577,,,,1.0078488518429205,,0,25,20,20,,,,,171.88,,,,,,170.14,174.33999999999997,176.79999999999998,180.99999999999997,167.67999999999998,163.48,161.01999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,173.0,177.91,172.805,176.78,2762454,,,,170.79499462672442,170.75548616367794,170.765808405351,170.77608270604065,,0.16698753454056714,-0.13376950242244875,0.3007570369630159,1,,0.5,0.05,,,,,,,3.780000000000001,1.1299999999999955,0.19499999999999318,,0,3.385567017352406,,,,0,,,2.850826157784514,,,,3.504204198932131,,0,25,20,20,,,,,176.78,,,,,,175.83166666666668,178.85833333333335,180.93666666666667,183.96333333333334,173.75333333333336,170.7266666666667,168.64833333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,177.05,180.24,176.26,177.78,2894558,,,,171.46023323370304,171.0309572945141,170.90470328841334,170.84577342538353,,0.7006215104108549,0.03310870014421197,0.6675128102666429,1,,0.5,0.05,,,,,,,0.7299999999999898,2.460000000000008,0.7900000000000205,,0,3.5548243707374083,,,,0,,,0.5656748500961539,4.09274547690146,,,3.685849859823194,,0,25,20,20,,,,,177.78,,,,,,178.09333333333333,179.92666666666668,182.07333333333335,183.9066666666667,175.94666666666666,174.11333333333332,171.96666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,174.705,175.205,171.56,172.68,2078617,,,,171.57640149715988,171.09562563590572,170.9398576787418,170.86402443607622,,0.7038889101905568,0.16726474215348094,0.5366241680370758,0,,0.5,0.05,,,,,,,2.0250000000000057,0.5,1.1200000000000045,,0,0.6391003606903686,,,,0,,,-2.8687141410732364,2.3774233710796455,,,0.6432111253122397,,0,25,20,20,,,,,172.68,,,,,,173.1483333333333,174.73666666666662,176.79333333333332,178.38166666666663,171.0916666666666,169.5033333333333,167.4466666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,171.425,173.68,169.82,170.68,2819661,,,,171.4910299260018,171.0793265913604,170.93471198213302,170.86219334716006,,0.5388831532066831,0.2415884243641214,0.2972947288425617,0,,0.5,0.05,,,,,,,0.7450000000000045,2.2549999999999955,0.8600000000000136,,0,-0.47517572416322584,,,,0,,,-1.15821172110262,3.914764079147637,,,-0.47292848282021077,,0,25,20,20,,,,,170.68,,,,,,171.39333333333335,172.9666666666667,175.25333333333336,176.8266666666667,169.10666666666668,167.53333333333333,165.24666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,170.36,170.999,165.43,168.08,3099164,,,,171.16616993304925,170.96170594071882,170.87818303199177,170.83450983126792,,0.19605661251327433,0.232482061993952,-0.03642544948067766,0,,0.5,0.05,,,,,,,2.280000000000001,0.6389999999999816,2.6500000000000057,,0,-1.8361315641654177,,,,0,,,-1.5233184907429087,-2.210844775424703,,,-1.8030256412563146,,0,25,20,20,172.025,,,,168.08,,,,,,168.16966666666667,170.90933333333334,173.73866666666666,176.47833333333332,165.34033333333335,162.60066666666668,159.77133333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,170.0,174.52,169.63,172.43,2352407,,,,171.28653470133025,171.0192860999063,170.90891208086322,170.8503853553349,,0.2722346035652947,0.24043257030822057,0.03180203325707415,1,,0.5,0.05,2385263.7,,0.9862251289029385,,,,2.430000000000007,2.0900000000000034,0.37000000000000455,,0,0.6631475373599448,,,,0,,,2.5880533079486012,-2.4606855979183107,,,0.6675745414918902,,0,25,20,20,172.125,,,,172.43,,,,,,172.1933333333333,174.7566666666666,177.08333333333331,179.64666666666662,169.8666666666666,167.30333333333328,164.97666666666657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,172.99,172.99,169.04,172.7,1834998,,,,171.42115044406071,171.0851964489296,170.9443791683709,170.86878948115248,,0.3503542876821939,0.26241691378301524,0.08793737389917866,1,,0.5,0.05,2396235.1,,0.7657837914151244,,,,0.29000000000002046,0.0,3.6599999999999966,,0,0.7405035066237836,,,,0,,,0.15658528098356772,-2.857464281696487,,,0.7460278691552691,,0,25,20,20,172.125,,,,172.7,,,,,,171.57666666666668,174.11333333333337,175.5266666666667,178.0633333333334,170.16333333333336,167.62666666666667,166.21333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,183.95,184.0,175.25,182.36,3625099,,,,172.46294563986447,171.5273456077951,171.1704310660269,170.9831298843251,,1.1781648175438306,0.4455664945351784,0.7325983230086522,1,,0.5,0.05,2623120.1,,1.3819798033647028,,,,1.589999999999975,0.05000000000001137,7.110000000000014,,0,5.427206821745745,,,,0,,,5.593514765489305,5.605744730136664,,,5.73865552592525,,0,25,20,20,174.715,,,,182.36,,,,,,180.53666666666666,185.82333333333332,189.28666666666666,194.57333333333332,177.07333333333332,171.78666666666666,168.32333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,182.5,182.5,173.2,174.32,2172208,,,,172.63980795987737,171.63686146631295,171.23279876768976,171.01633257204327,,1.1719404199420183,0.5908412796165463,0.5810991403254719,0,,0.5,0.05,2612167.5,,0.8315730135988599,,,,8.180000000000007,0.0,1.1200000000000045,,0,0.9638550023649723,,,,0,,,-4.408861592454494,2.1326458870400744,,,0.9732355822088886,,0,25,20,20,174.715,,,,174.32,,,,,,176.67333333333332,180.14666666666665,185.97333333333333,189.44666666666666,170.84666666666664,167.3733333333333,161.54666666666662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-11,175.95,178.82,175.25,176.71,1875776,,,,173.0274452970319,171.83580807547716,171.34125819803253,171.07298597928664,55.43318649045522,1.3443635794284319,0.7415457395789234,0.6028178398495084,1,6.163142857142863,0.5,0.05,2551494.2,,0.7351676519586052,,63.89301634472514,,0.7600000000000193,2.109999999999985,0.6999999999999886,,0,2.0839537677370292,,,,0,,,1.3710417622762927,5.134459781056644,,,2.128306695302791,,0,25,20,20,174.715,,,,176.71,,,,,,176.92666666666665,178.6033333333333,180.49666666666664,182.1733333333333,175.0333333333333,173.35666666666665,171.4633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-12,176.98,177.05,173.94,174.87,1385181,,,,173.20292669731458,171.95479599408588,171.411134273319,171.1107672133236,53.62215909090909,1.3173519399442455,0.8567069796519879,0.46064496029225754,0,5.796714285714292,0.5,0.05,2413766.9,,0.5738669297354273,,54.32716358179094,,2.109999999999985,0.0700000000000216,0.9300000000000068,,0,0.9533214975041022,,,,0,,,-1.0412540320298813,1.415066983703528,,,0.9624971901304892,,0,25,20,20,174.715,,,,174.87,,,,,,175.28666666666666,176.63333333333333,178.39666666666668,179.74333333333334,173.5233333333333,172.17666666666665,170.4133333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
