date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,369.9,371.2,366.9,369.6,80756,,,,369.6,369.6,369.6,369.6,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.2999999999999545,1.3000000000000114,2.7000000000000455,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,369.6,,,,,,369.2333333333333,371.5666666666666,373.5333333333333,375.8666666666666,367.2666666666666,364.9333333333333,362.9666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-24,371.6,372.5,367.5,369.0,53606,,,,369.5428571428572,369.57647058823534,369.5881188118812,369.59402985074627,,-0.04786324786323348,-0.009572649572646696,-0.038290598290586786,0,,0.5,0.05,,,,,,,2.6000000000000227,0.8999999999999773,1.5,,0,-0.14711575687187028,,,,0,,,-0.16233766233766378,,,,-0.1468996443482453,,0,25,20,20,,,,,369.0,,,,,,369.6666666666667,371.83333333333337,374.6666666666667,376.83333333333337,366.83333333333337,364.6666666666667,361.83333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-25,369.8,371.7,368.1,368.6,47072,,,,369.4530612244899,369.5381776239908,369.568552102735,369.58413900646025,,-0.11672632527336191,-0.03100338471278974,-0.08572294056057217,0,,0.5,0.05,,,,,,,1.1999999999999886,1.8999999999999773,0.5,,0,-0.23143277929730424,,,,0,,,-0.10840108401083404,,,,-0.2308984047019494,,0,25,20,20,,,,,368.6,,,,,,369.4666666666667,370.83333333333337,373.06666666666666,374.43333333333334,367.2333333333334,365.86666666666673,363.63333333333344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-26,368.2,374.2,368.2,371.0,66300,,,,369.6003887269194,369.59550399167745,369.5968976056512,369.5982271755502,,0.02210432718629818,-0.020381842332972154,0.04248616951927033,1,,0.5,0.05,,,,,,,2.8000000000000114,3.1999999999999886,0.0,,0,0.3772537124206493,,,,0,,,0.6511123168746469,,,,0.3786823054763389,,0,25,20,20,,,,,371.0,,,,,,371.1333333333334,374.0666666666668,377.1333333333334,380.0666666666668,368.0666666666668,365.1333333333334,362.0666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-27,371.0,373.3,368.2,373.3,58428,,,,369.95273265768895,369.740778344945,369.6702263659353,369.6350607359925,,0.31409866370375994,0.04651425887437427,0.26758440482938567,1,,0.5,0.05,,,,,,,2.3000000000000114,0.0,2.8000000000000114,,0,0.8966695264696105,,,,0,,,0.619946091644219,,,,0.9047824348437039,,0,25,20,20,,,,,373.3,,,,,,371.59999999999997,374.99999999999994,376.7,380.09999999999997,369.8999999999999,366.49999999999994,364.7999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-30,373.4,376.5,372.9,375.6,57752,,,,370.49056764267095,369.97055174318245,369.7876476260158,369.69441336548516,,0.7227654668020591,0.18176450045991124,0.5410009663421479,1,,0.5,0.05,,,,,,,2.2000000000000455,0.8999999999999773,0.5,,0,1.3603387532824998,,,,0,,,0.6161264398607091,1.6233766233766156,,,1.3790991737897607,,0,25,20,20,,,,,375.6,,,,,,375.0,377.1,378.6,380.70000000000005,373.5,371.4,369.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-08-31,376.0,377.9,373.4,374.4,131196,,,,370.8628945338451,370.144255596391,369.87898133639175,369.74123512304254,,0.9389828713171937,0.33320817463136776,0.605774696685826,1,,0.5,0.05,,,,,,,1.6000000000000227,1.8999999999999773,1.0,,0,0.9447397078405063,,,,0,,,-0.31948881789138905,1.4634146341463428,,,0.953750164356779,,0,25,20,20,,,,,374.4,,,,,,375.2333333333333,377.0666666666666,379.7333333333333,381.5666666666666,372.5666666666666,370.7333333333333,368.0666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-01,377.7,377.9,374.0,375.9,84384,,,,371.3426188639551,370.3699710631992,369.9982094287404,369.80251636559933,,1.2173414318767755,0.5100348260804493,0.7073066057963262,1,,0.5,0.05,,,,,,,1.8000000000000114,0.19999999999998863,1.8999999999999773,,0,1.2123918957288782,,,,0,,,0.4006410256410353,1.980466630493738,,,1.2272712326926558,,0,25,20,20,,,,,375.9,,,,,,375.93333333333334,377.8666666666667,379.8333333333333,381.76666666666665,373.9666666666667,372.03333333333336,370.0666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-02,376.0,379.0,375.5,376.6,64883,,,,371.84332182929273,370.6142859234659,370.1289379549039,369.8701530186779,,1.4773962422083287,0.7035071093060252,0.7738891329023034,1,,0.5,0.05,,,,,,,0.6000000000000227,2.3999999999999773,0.5,,0,1.263058462747554,,,,0,,,0.18621973929238145,1.5094339622641506,,,1.2792157049659219,,0,25,20,20,372.95,,,,376.6,,,,,,377.0333333333333,378.5666666666666,380.5333333333333,382.0666666666666,375.0666666666666,373.5333333333333,371.5666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-09-03,376.8,378.0,373.7,377.1,72026,,,,372.34395784555056,370.86862765195747,370.26697878748007,369.9420917946115,,1.7041925039528678,0.9036441882353938,0.800548315717474,1,,0.5,0.05,71640.3,,1.005383841217862,,,,0.30000000000001137,0.8999999999999773,3.1000000000000227,,0,1.2612151032748502,,,,0,,,0.13276686139138683,1.0179480310742006,,,1.2773249180593071,,0,25,20,20,373.25,,,,377.1,,,,,,376.2666666666667,378.8333333333334,380.5666666666667,383.13333333333344,374.5333333333334,371.9666666666667,370.2333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
