date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-08-23,370.0,376.36,369.37,370.0,562736,,,,370.0,370.0,370.0,370.0,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0,6.360000000000014,0.6299999999999955,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,370.0,,,,,,371.91,374.4500000000001,378.9,381.44000000000005,367.46,364.92,360.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-24,371.0,378.1,370.89,373.85,731471,,,,370.3666666666667,370.1509803921569,370.0762376237624,370.0383084577114,,0.3071225071225285,0.0614245014245057,0.2456980056980228,1,,0.5,0.05,,,,,,,2.8500000000000227,4.25,0.1100000000000136,,0,0.931746244037274,,,,0,,,1.0405405405405466,,,,0.940509405094055,,0,25,20,20,,,,,373.85,,,,,,374.28,377.6700000000001,381.49000000000007,384.8800000000001,370.46,367.07,363.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-25,374.39,390.68,367.17,389.9,1905299,,,,372.2269841269841,370.9254517493272,370.4687873737869,370.2359372292765,,1.8245874627641,0.4140570936924246,1.4105303690716755,1,,0.5,0.05,,,,,,,15.509999999999993,0.7800000000000296,7.21999999999997,,0,4.532704763533177,,,,0,,,4.293165708171709,,,,4.747913672746186,,0,25,20,20,,,,,389.9,,,,,,382.5833333333333,397.9966666666666,406.0933333333333,421.5066666666666,374.4866666666666,359.0733333333333,350.97666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-26,411.08,414.98,386.03,388.68,2946144,,,,373.79393801965233,371.6217085434713,370.82940544559307,370.4194602419205,,2.8953695509418367,0.9103195851423072,1.9850499657995293,1,,0.5,0.05,,,,,,,22.399999999999977,3.900000000000034,2.650000000000034,,0,3.829901713581269,,,,0,,,-0.3129007437804532,,,,3.98242466403108,,0,25,20,20,,,,,388.68,,,,,,396.5633333333333,407.0966666666667,425.5133333333334,436.04666666666674,378.14666666666665,367.6133333333333,349.1966666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-27,385.15,392.6,378.53,387.23,1078753,,,,375.0735629701617,372.2337984045117,371.1541696941952,370.58672929423966,,3.5856362063409506,1.4453829093820358,2.1402532969589148,1,,0.5,0.05,,,,,,,2.080000000000041,5.3700000000000045,6.6200000000000045,,0,3.139332445791479,,,,0,,,-0.3730575280436299,,,,3.241080745220485,,0,25,20,20,,,,,387.23,,,,,,386.12000000000006,393.71000000000015,400.1900000000001,407.7800000000002,379.6400000000001,372.05,365.5700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-30,387.5,388.83,380.37,383.17,917253,,,,375.8446522110987,372.6626690553151,371.3921069279735,370.7119359679288,,3.7617068200430026,1.9086476915142288,1.8530591285287727,0,,0.5,0.05,,,,,,,4.329999999999984,1.329999999999984,2.800000000000012,,0,1.911774875094944,,,,0,,,-1.0484724840534088,3.559459459459457,,,1.9490360567341285,,0,25,20,20,,,,,383.17,,,,,,384.1233333333334,387.8766666666668,392.58333333333337,396.3366666666668,379.4166666666668,375.6633333333334,370.9566666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-08-31,384.58,387.67,378.18,387.31,771413,,,,376.936590095756,373.2370741904008,371.70731273138,370.8770908339196,,4.187041838526966,2.3643265209167765,1.822715317610189,0,,0.5,0.05,,,,,,,2.730000000000018,0.3600000000000136,6.399999999999977,,0,2.678322249423976,,,,0,,,1.0804603700707238,3.600374481744017,,,2.752030494468251,,0,25,20,20,,,,,387.31,,,,,,384.3866666666667,390.5933333333334,393.8766666666667,400.0833333333334,381.1033333333334,374.8966666666667,371.6133333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-09-01,389.52,392.0,386.785,387.46,666414,,,,377.93881961044593,373.7948359868557,372.0192471327388,371.0420949052239,,4.484531760831771,2.788367568899776,1.696164191931996,0,,0.5,0.05,,,,,,,2.0600000000000023,2.480000000000018,0.6749999999999545,,0,2.457332470333466,,,,0,,,0.0387286669592867,-0.6258014875609175,,,2.519238536906012,,0,25,20,20,,,,,387.46,,,,,,388.7483333333334,390.7116666666668,393.96333333333337,395.92666666666673,385.4966666666668,383.5333333333334,380.2816666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-09-02,387.0,387.0,379.76,381.21,740099,,,,378.25036059992726,374.0856267324692,372.2012422390212,371.1432680902465,,4.167926637158018,3.0642793825514243,1.103647254606594,0,,0.5,0.05,,,,,,,5.7900000000000205,0.0,1.4499999999999886,,0,0.7763803153308458,,,,0,,,-1.6130697362308322,-1.92188947205928,,,0.7824551430376843,,0,25,20,20,391.0750000000001,,,,381.21,,,,,,382.6566666666667,385.5533333333334,389.8966666666667,392.7933333333334,378.3133333333334,375.4166666666667,371.0733333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
2021-09-03,379.56,384.27,377.55,382.11,421034,,,,378.6179453046961,374.4003080370782,372.397455263991,371.2523898007913,,3.9441713221753503,3.2402577704762097,0.7039135516991406,0,,0.5,0.05,1074061.6,,0.3920017250407239,,,,2.550000000000012,2.159999999999968,2.009999999999991,,0,0.9138872825374684,,,,0,,,0.2360903439049488,-1.3222116055057742,,,0.9223162131138974,,0,25,20,20,391.0750000000001,,,,382.11,,,,,,381.31,385.0699999999999,388.0299999999999,391.7899999999999,378.3499999999999,374.59,371.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,19.44,26.62,13.48,53.57,fair,USD,1.0,stock,25.0
