date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2018-01-25,1770.23999,1770.23999,1770.23999,1770.23999,0,,,,1770.23999,1770.23999,1770.23999,1770.23999,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0,0.0,0.0,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,1770.23999,,,,,,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-01-26,1770.23999,1770.23999,1770.23999,1770.23999,0,,,,1770.23999,1770.23999,1770.23999,1770.23999,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.0,0.0,0.0,,0,0.0,,,,0,,,0.0,,,,0.0,,0,25,20,20,,,,,1770.23999,,,,,,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,1770.23999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-01-29,1868.80005,1893.12,1868.80005,1893.12,22,,,,1781.9428480952383,1775.0588139215688,1772.6732575247527,1771.4626766666668,,9.802393960113932,1.9604787920227864,7.841915168091146,1,,0.5,0.05,,,,,,,24.319949999999835,0.0,0.0,,0,5.872694383069302,,,,0,,,6.941432274388948,,,,6.239097512223891,,0,25,20,20,,,,,1893.12,,,,,,1885.01335,1901.2266499999998,1909.3332999999998,1925.5465999999997,1876.9067,1860.6934,1852.5867500000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-01-30,1970.56006,2035.83997,1951.35999,1955.19995,989,,,,1798.4435244671204,1782.1231721991544,1776.2876474747577,1773.290908242123,,22.322870778321658,6.032957189282561,16.289913589039095,1,,0.5,0.05,,,,,,,15.360110000000077,65.27990999999997,3.839960000000019,,0,8.01741149455735,,,,0,,,3.2792400904327224,,,,8.716227304347884,,0,25,20,20,,,,,1955.19995,,,,,,1980.79997,2010.2399500000001,2065.27995,2094.71993,1925.75997,1896.31999,1841.27999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-01-31,1917.43994,1963.52002,1917.43994,1961.59998,144,,,,1813.982234517871,1789.161478387423,1779.9571986138715,1775.1646303491666,,32.38851317687954,11.304068386801958,21.084444790077583,1,,0.5,0.05,,,,,,,44.16003999999998,1.9200399999999718,0.0,,0,7.525374540538539,,,,0,,,0.32733378496658805,,,,8.137772392316931,,0,25,20,20,,,,,1961.59998,,,,,,1947.51998,1977.60002,1993.60006,2023.6801,1931.5199400000001,1901.4399,1885.4398600000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-02-01,1929.59998,1929.59998,1850.88,1862.84802,169,,,,1818.6361188495023,1792.0511466859555,1781.5986010175573,1776.037101887981,,32.027951145243605,15.44884493849029,16.579106206753316,0,,0.5,0.05,,,,,,,66.75196000000005,0.0,11.968019999999797,,0,2.3733498748060846,,,,0,,,-5.034255760952854,5.231382779913352,,,2.431047128793789,,0,25,20,20,,,,,1862.84802,,,,,,1881.109333333333,1911.338666666666,1959.829313333333,1990.058646666666,1832.6186866666662,1802.3893533333332,1753.8987066666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2018-02-02,1922.56006,2131.19995,1921.92004,2102.3999,456,,,,1845.6612408638352,1804.2216860316043,1787.9511019875065,1779.2844929139712,,50.49002030968586,22.457080012729406,28.032940296956454,1,,0.5,0.05,,,,,,,179.83983999999987,28.800050000000283,0.6400200000000495,,0,12.211694793943087,,,,0,,,12.859443037119057,18.76355250566901,,,13.910389049292803,,0,25,20,20,,,,,2102.3999,,,,,,2051.8399633333333,2181.7598866666667,2261.1198733333335,2391.039796666667,1972.4799766666665,1842.5600533333331,1763.2000666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2018-02-05,2172.15991,2839.67993,2088.32007,2807.040039,817,,,,1937.2211264006128,1843.5478959519335,1808.131080938249,1789.510916258111,,120.58982894496467,42.083629799176464,78.5061991457882,1,,0.5,0.05,,,,,,,634.8801290000001,32.63989099999981,83.83983999999964,,0,30.987050434423363,,,,0,,,33.51598994082905,48.2758641290568,,,44.900342079973306,,0,25,20,20,,,,,2807.040039,,,,,,2578.3466796666667,3068.373289333333,3329.7065396666662,3819.7331493333327,2317.0134293333335,1826.986819666667,1565.653569333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2018-02-06,2944.0,3718.3999,2759.42407,2759.42407,194,,,,2015.5261686481736,1879.4646086597008,1826.9685658701649,1799.1617934097717,,170.3386634945996,67.7346365382611,102.60402695633849,1,,0.5,0.05,,,,,,,184.57592999999997,774.3998999999999,0.0,,0,26.958447939893,,,,0,,,-1.6963053016145424,41.13257674745747,,,36.90837226146082,,0,25,20,20,2744.319945,,,,2759.42407,,,,,,3079.0826799999995,3398.741289999999,4038.0585099999994,4357.717119999999,2439.765459999999,2120.1068499999997,1480.7896299999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
2018-02-07,2799.36011,2885.76001,2682.87988,2850.56006,434,,,,2095.053205919776,1917.5467832220656,1847.2377043677852,1809.6234677042019,,214.64459673440342,97.11662857748956,117.52796815691386,1,,0.5,0.05,322.5,,1.3457364341085272,,,,51.19994999999972,35.19995000000017,116.48023000000012,,0,26.503804100876376,,,,0,,,3.302717802269517,45.31811220756639,,,36.06146383039181,,0,25,20,20,2744.319945,,,,2850.56006,,,,,,2806.3999833333332,2929.9200866666665,3009.2801133333332,3132.8002166666665,2727.0399566666665,2603.5198533333332,2524.1598266666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,28.0
