date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,16.19,16.8,16.14,16.46,8968292,,,,16.46,16.46,16.46,16.46,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.2699999999999996,0.33999999999999986,0.05000000000000071,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,16.46,,,,,,16.466666666666665,16.79333333333333,17.126666666666665,17.45333333333333,16.13333333333333,15.806666666666665,15.47333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,16.54,16.9281,16.44,16.72,7015160,,,,16.484761904761907,16.470196078431375,16.465148514851485,16.46258706467662,,0.02074074074073806,0.004148148148147612,0.01659259259259045,1,,0.5,0.05,,,,,,,0.17999999999999972,0.20810000000000173,0.09999999999999787,,0,1.4069264069263872,,,,0,,,1.5795868772782384,,,,1.427003293084502,,0,25,20,20,,,,,16.72,,,,,,16.696033333333332,16.952066666666664,17.18413333333333,17.440166666666663,16.463966666666664,16.207933333333333,15.975866666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,16.63,16.84,16.57,16.76,8560777,,,,16.510975056689343,16.48156093810073,16.47098715812175,16.465546397366406,,0.03994513031549829,0.01130754458161775,0.02863758573388054,1,,0.5,0.05,,,,,,,0.13000000000000256,0.0799999999999983,0.05999999999999872,,0,1.4858290173666966,,,,0,,,0.23923444976077235,,,,1.508238868120433,,0,25,20,20,,,,,16.76,,,,,,16.723333333333333,16.876666666666665,16.993333333333332,17.146666666666665,16.606666666666666,16.453333333333333,16.336666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,16.79,17.11,16.66,17.1,7380764,,,,16.56707267033798,16.505813450332077,16.483442857960924,16.47185936853689,,0.08165859644597262,0.025377754954488727,0.05628084149148389,1,,0.5,0.05,,,,,,,0.3100000000000023,0.00999999999999801,0.129999999999999,,0,3.1165340915907773,,,,0,,,2.028639618138417,,,,3.21678633435457,,0,25,20,20,,,,,17.1,,,,,,16.956666666666667,17.253333333333334,17.406666666666666,17.703333333333333,16.803333333333335,16.506666666666668,16.353333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,17.41,18.87,17.41,18.585,15865140,,,,16.759256225543886,16.587350177770038,16.525057850872585,16.49288564347682,,0.23187104316989604,0.06667641259757019,0.16519463057232586,1,,0.5,0.05,,,,,,,1.1750000000000007,0.28500000000000014,0.0,,0,9.82374912271248,,,,0,,,8.684210526315784,,,,10.893942725652575,,0,25,20,20,,,,,18.585,,,,,,18.288333333333334,19.166666666666668,19.748333333333335,20.62666666666667,17.706666666666667,16.828333333333333,16.246666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,18.46,18.55,18.055,18.14,7611910,,,,16.890755632634946,16.648238406092783,16.557036903330555,16.509274841054168,,0.31141787700579115,0.11562470547921438,0.19579317152657677,1,,0.5,0.05,,,,,,,0.3200000000000003,0.08999999999999986,0.08500000000000085,,0,6.886683392310116,,,,0,,,-2.3944040893193463,10.206561360874854,,,7.396024159815363,,0,25,20,20,,,,,18.14,,,,,,18.248333333333335,18.44166666666667,18.743333333333336,18.93666666666667,17.94666666666667,17.753333333333334,17.451666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,17.75,17.89,17.485,17.88,5387238,,,,16.984969381907806,16.69654278232444,16.583234192373514,16.522913897362084,,0.3494512325523651,0.16239001089384453,0.18706122165852057,0,,0.5,0.05,,,,,,,0.129999999999999,0.010000000000001563,0.26500000000000057,,0,5.005764083289669,,,,0,,,-1.433296582138932,6.937799043062198,,,5.269545078165222,,0,25,20,20,,,,,17.88,,,,,,17.751666666666665,18.01833333333333,18.156666666666666,18.423333333333332,17.61333333333333,17.346666666666664,17.20833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,17.985,18.065,17.77,17.81,6020364,,,,17.063543726488014,16.740207771252894,16.60752658460374,16.535720724254006,,0.3696830497748671,0.20384861867004905,0.16583443110481805,0,,0.5,0.05,,,,,,,0.1750000000000007,0.08000000000000185,0.03999999999999915,,0,4.191219952341296,,,,0,,,-0.39149888143177325,6.2649164677804015,,,4.3745677069016375,,0,25,20,20,,,,,17.81,,,,,,17.881666666666664,17.99333333333333,18.176666666666666,18.28833333333333,17.698333333333327,17.586666666666662,17.403333333333325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,17.77,18.045,17.551,17.9,4827958,,,,17.14320622872725,16.785689819439057,16.633120117581885,16.549295642420635,,0.3885007635557507,0.24077904764718938,0.1477217159085613,0,,0.5,0.05,,,,,,,0.129999999999999,0.14500000000000313,0.2190000000000012,,0,4.2278981635349,,,,0,,,0.5053340819764163,4.678362573099393,,,4.414540437625787,,0,25,20,20,17.505000000000003,,,,17.9,,,,,,17.832,18.113000000000003,18.326000000000004,18.607000000000006,17.619,17.337999999999997,17.124999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,18.475,18.92,18.4,18.91,6325133,,,,17.311472302181798,16.868996101029683,16.6782068479268,16.57278523801844,,0.47938642804441045,0.2885005237266336,0.19088590431777686,1,,0.5,0.05,7796273.6,,0.8113020815482925,,,,0.4349999999999987,0.010000000000001563,0.07500000000000284,,0,8.453345837219473,,,,0,,,5.642458100558678,1.7487220877051346,,,9.2339211241827,,0,25,20,20,17.68,,,,18.91,,,,,,18.743333333333336,19.086666666666673,19.26333333333334,19.606666666666676,18.56666666666667,18.223333333333333,18.046666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
