date,open,high,low,close,volume
2006-10-09,8.79,8.79,8.706,8.77,727000
2006-10-10,8.796,8.812,8.76,8.812,452500
2006-10-11,8.838,8.874,8.754,8.8,757000
2006-10-12,8.88,8.986,8.862,8.986,942000
2006-10-13,9.02,9.048,8.972,9.04,1090000
2006-10-16,9.03,9.058,9.0,9.038,661000
2006-10-17,8.99,8.992,8.902,8.95,1655500
2006-10-18,9.072,9.072,8.95,8.98,1399000
2006-10-19,8.94,8.94,8.84,8.89,3416500
2006-10-20,8.88,8.906,8.834,8.88,553500
2006-10-23,8.852,8.982,8.85,8.96,649000
2006-10-24,8.95,8.95,8.804,8.86,1044500
2006-10-25,8.89,8.93,8.85,8.884,625000
2006-10-26,8.872,8.896,8.726,8.886,2004000
2006-10-27,8.844,8.886,8.726,8.73,842000
2006-10-30,8.704,8.884,8.62,8.856,3322000
2006-10-31,8.84,8.876,8.794,8.842,376000
2006-11-01,8.856,8.88,8.73,8.736,2122500
2006-11-02,8.78,8.846,8.716,8.846,1642000
2006-11-03,8.85,8.9,8.776,8.82,348000
2006-11-06,8.83,8.958,8.822,8.924,722000
2006-11-07,8.946,8.992,8.9,8.934,527000
2006-11-08,8.91,9.0,8.886,8.976,550500
2006-11-09,8.998,9.044,8.948,8.96,381500
2006-11-10,8.98,9.044,8.96,9.04,237000
2006-11-13,9.0059996,9.152,9.0059996,9.152,687000
2006-11-14,9.17,9.182,9.056,9.17,1513000
2006-11-15,9.2,9.236,9.192,9.218,573000
2006-11-16,9.23,9.23,9.128,9.17,555500
2006-11-17,9.14,9.168,9.106,9.154,271000
2006-11-20,9.16,9.178,9.1,9.162,1057000
2006-11-21,9.162,9.2,9.142,9.16,263500
2006-11-22,9.17,9.262,9.17,9.236,929000
2006-11-24,9.184,9.256,9.174,9.228,143000
2006-11-27,9.19,9.19,8.98,8.988,618000
2006-11-28,8.952,8.998,8.92,8.986,1101000
2006-11-29,9.076,9.076,8.97,9.03,395500
2006-11-30,9.056,9.144,9.03,9.09,1351500
2006-12-01,9.078,9.078,8.9,8.976,1358000
2006-12-04,8.96,9.16,8.96,9.12,571500
2006-12-05,9.17,9.2,9.024,9.066,1580000
2006-12-06,8.986,8.986,8.92,8.946,1426000
2006-12-07,8.96,8.97,8.816,8.83,3039000
2006-12-08,8.78,8.932,8.78,8.85,4147500
2006-12-11,8.83,8.998,8.83,8.93,2416000
2006-12-12,8.91,8.966,8.858,8.9,393000
2006-12-13,8.93,8.988,8.904,8.942,429000
2006-12-14,8.944,9.1,8.94,9.07,1481000
2006-12-15,9.12,9.16,9.1,9.11,386000
2006-12-18,9.08,9.146,8.944,8.982,873000
2006-12-19,8.84,8.978,8.82,8.952,921500
2006-12-20,8.93,9.048,8.93,8.968,897500
2006-12-21,8.92,8.986,8.898,8.918,650000
2006-12-22,8.94,8.94,8.852,8.88,704000
2006-12-26,8.85,8.956,8.85,8.956,136500
2006-12-27,8.944,9.016,8.944,8.978,154000
2006-12-28,8.96,8.996,8.93,8.98,185500
2006-12-29,8.962,9.012,8.906,8.916,487000
2007-01-03,9.02,9.11,8.784,8.924,1534000
2007-01-04,8.938,9.124,8.884,9.088,1885500
2007-01-05,9.04,9.056,8.98,8.998,789000
2007-01-08,9.03,9.09,8.996,9.04,540500
2007-01-09,9.076,9.124,9.0080004,9.04,328000
2007-01-10,9.01,9.116,8.98,9.072,1238500
2007-01-11,9.092,9.186,9.08,9.126,2646500
2007-01-12,9.16,9.17,9.084,9.17,1126500
2007-01-16,9.022,9.106,8.986,8.986,1093000
2007-01-17,8.988,9.066,8.988,9.0059996,974000
2007-01-18,9.0080004,9.01,8.81,8.824,2419000
2007-01-19,8.796,8.878,8.78,8.856,814000
2007-01-22,8.828,8.842,8.706,8.768,1010000
2007-01-23,8.756,8.86,8.756,8.81,141000
2007-01-24,8.912,9.0039997,8.89,8.964,218000
2007-01-25,8.92,9.03,8.834,8.834,1431000
2007-01-26,8.91,8.926,8.84,8.904,546000
2007-01-29,8.88,8.946,8.866,8.908,443000
2007-01-30,8.91,8.956,8.91,8.94,387500
2007-01-31,8.89,9.018,8.862,8.986,1510500
2007-02-01,9.03,9.084,9.0,9.078,270000
2007-02-02,9.11,9.194,9.11,9.13,2466500
2007-02-05,9.1,9.132,9.076,9.096,862500
2007-02-06,9.1,9.114,9.0,9.062,633500
2007-02-07,9.084,9.152,9.066,9.102,387000
2007-02-08,9.104,9.126,9.066,9.082,2227000
2007-02-09,9.116,9.116,8.964,8.998,1763000
2007-02-12,8.968,8.99,8.954,8.972,115000
2007-02-13,8.982,9.034,8.982,9.0080004,470000
2007-02-14,9.048,9.156,9.048,9.122,765000
2007-02-15,9.14,9.15,9.09,9.15,589000
2007-02-16,9.104,9.15,9.104,9.128,132500
2007-02-20,9.11,9.228,9.07,9.2,154500
2007-02-21,9.178,9.27,9.178,9.254,2251500
2007-02-22,9.258,9.29,9.19,9.236,889000
2007-02-23,9.182,9.206,9.142,9.194,653500
2007-02-26,9.214,9.214,9.106,9.14,141000
2007-02-27,9.0,9.03,8.776,8.82,1559500
2007-02-28,8.8,8.898,8.73,8.842,1331000
2007-03-01,8.62,8.878,8.616,8.822,1898000
2007-03-02,8.744,8.83,8.7,8.702,1262500
2007-03-05,8.604,8.772,8.604,8.636,567000
2007-03-06,8.684,8.776,8.684,8.746,235500
2007-03-07,8.702,8.762,8.684,8.686,93000
2007-03-08,8.75,8.77,8.702,8.72,252000
2007-03-09,8.798,8.798,8.712,8.758,634000
2007-03-12,8.774,8.848,8.754,8.822,93500
2007-03-13,8.762,8.796,8.624,8.624,305000
2007-03-14,8.64,8.736,8.57,8.736,685500
2007-03-15,8.732,8.782,8.704,8.742,2082000
2007-03-16,8.748,8.798,8.722,8.756,907000
2007-03-19,8.808,8.9,8.79,8.86,298000
2007-03-20,8.87,8.978,8.868,8.974,1524000
2007-03-21,9.05,9.194,8.996,9.148,2671500
2007-03-22,9.16,9.16,9.088,9.154,320500
2007-03-23,9.176,9.2,9.134,9.142,1133000
2007-03-26,9.11,9.154,9.04,9.148,585500
2007-03-27,9.146,9.174,9.114,9.124,140000
2007-03-28,9.082,9.128,9.038,9.058,321000
2007-03-29,9.106,9.106,8.966,9.036,236000
2007-03-30,9.03,9.03,8.922,9.014,75500
2007-04-02,9.052,9.052,8.962,9.03,327500
2007-04-03,9.06,9.164,9.06,9.106,357500
2007-04-04,9.088,9.174,9.088,9.174,98000
2007-04-05,9.15,9.198,9.148,9.198,65000
2007-04-09,9.21,9.234,9.184,9.184,187000
2007-04-10,9.216,9.26,9.216,9.256,423000
2007-04-11,9.234,9.242,9.038,9.196,517000
2007-04-12,9.182,9.284,9.158,9.284,127500
2007-04-13,9.272,9.274,9.226,9.266,128500
2007-04-16,9.34,9.37,9.314,9.37,773000
2007-04-17,9.352,9.392,9.336,9.388,312000
2007-04-18,9.338,9.376,9.322,9.356,154000
2007-04-19,9.292,9.328,9.254,9.292,566500
2007-04-20,9.342,9.372,9.328,9.36,228000
2007-04-23,9.352,9.388,9.338,9.354,1355500
2007-04-24,9.358,9.37,9.316,9.332,363500
2007-04-25,9.346,9.402,9.322,9.388,374000
2007-04-26,9.39,9.452,9.39,9.428,85500
2007-04-27,9.46,9.53,9.432,9.444,879000
2007-04-30,9.454,9.454,9.298,9.3,168500
2007-05-01,9.272,9.552,9.218,9.286,3678500
2007-05-02,9.292,9.384,9.292,9.368,395500
2007-05-03,9.414,9.464,9.372,9.428,1890500
2007-05-04,9.46,9.47,9.414,9.454,395000
2007-05-07,9.442,9.482,9.434,9.46,1827500
2007-05-08,9.422,9.488,9.38,9.47,733000
2007-05-09,9.394,9.482,9.394,9.462,237000
2007-05-10,9.43,9.452,9.34,9.354,248500
2007-05-11,9.364,9.48,9.362,9.48,213500
2007-05-14,9.466,9.494,9.376,9.414,1187000
2007-05-15,9.42,9.466,9.312,9.318,631500
2007-05-16,9.376,9.412,9.33,9.412,700000
2007-05-17,9.392,9.434,9.372,9.396,247000
2007-05-18,9.414,9.538,9.414,9.538,348500
2007-05-21,9.556,9.652,9.556,9.622,1452500
2007-05-22,9.63,9.65,9.594,9.638,799500
2007-05-23,9.596,9.648,9.576,9.576,1585000
2007-05-24,9.498,9.504,9.306,9.346,1366000
2007-05-25,9.372,9.488,9.37,9.482,1708500
2007-05-29,9.482,9.548,9.476,9.53,706500
2007-05-30,9.444,9.634,9.444,9.634,393000
2007-05-31,9.652,9.73,9.65,9.73,1177500
2007-06-01,9.74,9.772,9.72,9.72,302500
2007-06-04,9.71,9.766,9.688,9.75,2512000
2007-06-05,9.696,9.732,9.672,9.73,1471500
2007-06-06,9.676,9.702,9.642,9.68,231000
2007-06-07,9.588,9.652,9.446,9.446,920500
2007-06-08,9.424,9.556,9.424,9.556,83000
2007-06-11,9.51,9.616,9.51,9.57,100500
2007-06-12,9.528,9.57,9.47,9.47,327000
2007-06-13,9.51,9.636,9.508,9.636,225500
2007-06-14,9.67,9.69,9.638,9.658,453000
2007-06-15,9.714,9.73,9.646,9.646,232000
2007-06-18,9.616,9.662,9.616,9.636,17000
2007-06-19,9.602,9.67,9.582,9.65,1538000
2007-06-20,9.622,9.658,9.546,9.546,1394000
2007-06-21,9.56,9.588,9.482,9.586,1471500
2007-06-22,9.506,9.54,9.442,9.476,1675500
2007-06-25,9.474,9.53,9.39,9.416,102500
2007-06-26,9.428,9.444,9.364,9.38,794000
2007-06-27,9.4,9.568,9.4,9.568,236000
2007-06-28,9.54,9.608,9.526,9.568,285500
2007-06-29,9.58,9.602,9.446,9.514,879500
2007-07-02,9.52,9.554,9.504,9.516,215500
2007-07-03,9.528,9.554,9.528,9.548,32500
2007-07-05,9.544,9.61,9.502,9.606,348000
2007-07-06,9.542,9.586,9.528,9.576,406500
2007-07-09,9.554,9.554,9.486,9.518,69500
2007-07-10,9.504,9.512,9.37,9.37,324000
2007-07-11,9.342,9.452,9.316,9.448,415000
2007-07-12,9.496,9.598,9.496,9.598,124500
2007-07-13,9.57,9.576,9.536,9.542,418000
2007-07-16,9.502,9.576,9.502,9.528,279000
2007-07-17,9.556,9.644,9.556,9.61,314000
2007-07-18,9.55,9.652,9.494,9.59,917500
2007-07-19,9.704,9.788,9.694,9.752,2299000
2007-07-20,9.714,9.716,9.626,9.664,1301500
2007-07-23,9.714,9.784,9.714,9.73,388500
2007-07-24,9.702,9.736,9.576,9.592,2841500
2007-07-25,9.676,9.676,9.57,9.624,365500
2007-07-26,9.518,9.602,9.332,9.46,960000
2007-07-27,9.42,9.474,9.272,9.298,222500
2007-07-30,9.314,9.336,9.23,9.312,842000
2007-07-31,9.38,9.38,9.18,9.182,371500
2007-08-01,9.21,9.248,9.092,9.248,3699000
2007-08-02,9.308,9.428,9.308,9.384,832000
2007-08-03,9.38,9.38,9.146,9.146,904500
2007-08-06,9.218,9.294,9.14,9.294,211500
2007-08-07,9.214,9.32,9.156,9.32,230500
2007-08-08,9.336,9.41,9.27,9.364,276500
2007-08-09,9.222,9.336,9.118,9.12,380000
2007-08-10,9.014,9.274,8.99,9.2,1987000
2007-08-13,9.242,9.29,9.22,9.22,93500
2007-08-14,9.26,9.3,9.118,9.118,93500
2007-08-15,9.12,9.238,8.972,8.98,1850000
2007-08-16,8.888,8.972,8.764,8.934,1030500
2007-08-17,9.06,9.116,8.91,9.044,344000
2007-08-20,9.068,9.128,9.012,9.128,312500
2007-08-21,9.098,9.18,9.062,9.18,1182500
2007-08-22,9.156,9.23,9.156,9.214,101000
2007-08-23,9.268,9.268,9.188,9.218,84500
2007-08-24,9.206,9.346,9.206,9.34,80500
2007-08-27,9.34,9.346,9.27,9.292,158000
2007-08-28,9.224,9.224,9.102,9.11,269000
2007-08-29,9.102,9.314,9.102,9.308,94500
2007-08-30,9.288,9.4,9.276,9.346,132000
2007-08-31,9.456,9.48,9.38,9.46,95000
2007-09-04,9.442,9.65,9.442,9.592,237500
2007-09-05,9.542,9.562,9.516,9.562,29000
2007-09-06,9.574,9.584,9.484,9.562,73000
2007-09-07,9.462,9.48,9.344,9.412,304000
2007-09-10,9.46,9.46,9.304,9.376,85500
2007-09-11,9.438,9.576,9.438,9.572,132000
2007-09-12,9.52,9.622,9.52,9.576,94000
2007-09-13,9.602,9.616,9.56,9.59,82000
2007-09-14,9.506,9.606,9.506,9.586,55000
2007-09-17,9.544,9.592,9.498,9.544,1245000
2007-09-18,9.658,9.804,9.57,9.776,2775000
2007-09-19,9.82,9.888,9.758,9.81,1002000
2007-09-20,9.79,9.846,9.76,9.79,265000
2007-09-21,9.86,9.878,9.788,9.788,133000
2007-09-24,9.796,9.842,9.72,9.722,355500
2007-09-25,9.706,9.91,9.706,9.872,558500
2007-09-26,9.934,10.014,9.906,9.94,989500
2007-09-27,9.978,9.992,9.928,9.984,195500
2007-09-28,10.0,10.024,9.94,10.0,1406000
2007-10-01,10.0059996,10.118,10.0059996,10.094,309000
2007-10-02,10.116,10.148,10.094,10.11,746500
2007-10-03,10.13,10.132,10.058,10.104,249500
2007-10-04,10.11,10.154,10.09,10.152,252500
2007-10-05,10.18,10.314,10.166,10.26,404500
2007-10-08,10.276,10.384,10.272,10.38,444000
2007-10-09,10.396,10.496,10.396,10.486,1215500
2007-10-10,10.468,10.524,10.46,10.51,1048000
2007-10-11,10.52,10.564,10.358,10.386,595000
2007-10-12,10.498,10.686,10.498,10.642,522500
2007-10-15,10.59,10.638,10.48,10.528,377500
2007-10-16,10.514,10.522,10.448,10.462,355500
2007-10-17,10.476,10.502,10.33,10.45,627000
2007-10-18,10.438,10.502,10.408,10.47,159000
2007-10-19,10.484,10.486,10.228,10.228,501500
2007-10-22,10.144,10.386,10.14,10.322,253000
2007-10-23,10.402,10.464,10.358,10.464,1285500
2007-10-24,10.392,10.42,10.212,10.418,523500
2007-10-25,10.38,10.408,10.222,10.294,3062000
2007-10-26,10.498,10.498,10.372,10.448,803000
2007-10-29,10.514,10.578,10.44,10.578,214000
2007-10-30,10.458,10.536,10.458,10.508,406000
2007-10-31,10.568,10.778,10.544,10.776,1534000
2007-11-01,10.716,10.726,10.578,10.584,664000
2007-11-02,10.69,10.738,10.584,10.702,280000
2007-11-05,10.554,10.668,10.536,10.63,584000
2007-11-06,10.684,10.684,10.512,10.606,335500
2007-11-07,10.56,10.562,10.394,10.394,317500
2007-11-08,10.416,10.416,10.0059996,10.188,3671000
2007-11-09,9.992,10.088,9.91,9.972,1092000
2007-11-12,9.928,10.074,9.9,9.986,747000
2007-11-13,9.958,10.118,9.892,10.116,785500
2007-11-14,10.286,10.286,9.994,10.026,3561000
2007-11-15,9.982,10.038,9.9,9.9,1195000
2007-11-16,9.97,10.076,9.896,10.04,651000
2007-11-19,9.95,10.026,9.896,9.898,328000
2007-11-20,9.91,10.024,9.72,9.872,3013000
2007-11-21,9.774,9.872,9.682,9.728,509500
2007-11-23,9.88,9.88,9.726,9.788,405500
2007-11-26,9.726,9.85,9.604,9.604,799500
2007-11-27,9.622,9.81,9.622,9.752,1296500
2007-11-28,9.898,10.06,9.818,10.038,1434500
2007-11-29,9.976,10.084,9.976,10.05,852500
2007-11-30,10.086,10.11,9.9,9.976,3708000
2007-12-03,10.044,10.05,9.942,9.948,3109500
2007-12-04,9.92,10.03,9.862,9.978,813500
2007-12-05,10.086,10.214,10.086,10.166,1864000
2007-12-06,10.216,10.256,10.148,10.246,1090000
2007-12-07,10.276,10.276,10.216,10.266,444500
2007-12-10,10.266,10.358,10.25,10.358,482000
2007-12-11,10.352,10.386,10.136,10.136,825500
2007-12-12,10.316,10.326,10.118,10.252,396000
2007-12-13,10.23,10.294,10.2,10.294,373500
2007-12-14,10.226,10.296,10.19,10.208,1519000
2007-12-17,10.18,10.18,9.994,10.03,630500
2007-12-18,10.156,10.156,9.97,10.072,1622000
2007-12-19,10.08,10.134,10.024,10.104,370500
2007-12-20,10.242,10.278,10.142,10.264,711500
2007-12-21,10.424,10.45,10.352,10.45,1087500
2007-12-24,10.488,10.51,10.428,10.502,147000
2007-12-26,10.48,10.542,10.468,10.542,343000
2007-12-27,10.522,10.522,10.37,10.386,295500
2007-12-28,10.404,10.428,10.344,10.382,386000
2007-12-31,10.326,10.376,10.304,10.32,109000
2008-01-02,10.342,10.356,10.092,10.13,585000
2008-01-03,10.136,10.182,10.092,10.128,1891500
2008-01-04,10.016,10.028,9.782,9.824,1212000
2008-01-07,9.822,9.85,9.71,9.79,1301500
2008-01-08,9.788,9.87,9.556,9.578,1154000
2008-01-09,9.526,9.664,9.452,9.58,5591500
2008-01-10,9.474,9.684,9.474,9.638,1068500
2008-01-11,9.578,9.598,9.43,9.466,705000
2008-01-14,9.542,9.608,9.468,9.582,342000
2008-01-15,9.522,9.53,9.392,9.392,702000
2008-01-16,9.396,9.574,9.22,9.462,1369000
2008-01-17,9.482,9.486,9.23,9.246,1119500
2008-01-18,9.282,9.392,9.2,9.264,917500
2008-01-22,8.902,9.116,7.994,8.99,707500
2008-01-23,8.654,9.08,8.516,9.076,641500
2008-01-24,9.116,9.34,9.102,9.328,819000
2008-01-25,9.436,9.486,9.194,9.21,906500
2008-01-28,9.2,9.254,9.136,9.222,636000
2008-01-29,9.206,9.29,9.148,9.256,594000
2008-01-30,9.198,9.452,9.198,9.3,878000
2008-01-31,9.102,9.352,9.088,9.298,1092000
2008-02-01,9.398,9.5,9.308,9.5,847500
2008-02-04,9.498,9.516,9.424,9.424,411000
2008-02-05,9.27,9.282,9.144,9.15,364500
