date,open,high,low,close,volume
2006-10-05,41.3,41.56,41.18,41.5,91799900
2006-10-06,41.36,41.56,41.24,41.41,85450400
2006-10-09,41.36,41.74,41.32,41.55,62786100
2006-10-10,41.6,41.75,41.31,41.62,98181800
2006-10-11,41.43,41.83,41.17,41.54,136561300
2006-10-12,41.76,42.25,41.7,42.2,95260200
2006-10-13,42.23,42.52,42.14,42.43,80470200
2006-10-16,42.43,42.62,42.4,42.47,62017400
2006-10-17,42.17,42.2,41.76,42.0,146149100
2006-10-18,42.22,42.31,41.65,41.8,120366100
2006-10-19,41.69,42.11,41.59,41.9,108198400
2006-10-20,42.040001,42.080002,41.64,42.0,105454300
2006-10-23,41.92,42.58,41.82,42.43,126960500
2006-10-24,42.28,42.45,41.92,42.14,103541700
2006-10-25,42.16,42.52,42.049999,42.43,125399500
2006-10-26,42.58,42.92,42.22,42.82,130260700
2006-10-27,42.72,42.82,42.080002,42.21,129375000
2006-10-30,42.16,42.65,42.060001,42.48,103899900
2006-10-31,42.56,42.76,42.31,42.58,135811800
2006-11-01,42.73,42.77,41.82,42.0,148960600
2006-11-02,41.81,42.14,41.74,42.040001,100216400
2006-11-03,42.099998,42.19,41.61,41.93,119263300
2006-11-06,42.07,42.71,42.060001,42.54,101283300
2006-11-07,42.54,43.09,42.47,42.83,139706500
2006-11-08,42.59,43.2,42.47,43.029999,180245700
2006-11-09,43.26,43.35,42.67,42.83,124278000
2006-11-10,42.84,43.040001,42.67,43.029999,82419400
2006-11-13,43.049999,43.54,43.0,43.47,89146200
2006-11-14,43.5,43.97,43.24,43.93,121962800
2006-11-15,43.99,44.4,43.92,44.11,116565900
2006-11-16,44.26,44.42,44.02,44.3,113513200
2006-11-17,44.060001,44.3,43.95,44.3,95162500
2006-11-20,44.16,44.48,44.0099983,44.39,107184100
2006-11-21,44.42,44.51,44.25,44.45,68092200
2006-11-22,44.58,44.75,44.26,44.73,69852700
2006-11-24,44.4,44.86,44.38,44.65,51762900
2006-11-27,44.51,44.61,43.64,43.64,159506300
2006-11-28,43.51,43.84,43.34,43.77,118268400
2006-11-29,44.0,44.18,43.66,44.07,139515500
2006-11-30,44.049999,44.28,43.79,44.040001,123457100
2006-12-01,44.0,44.35,43.26,43.66,144559600
2006-12-04,43.79,44.48,43.79,44.26,89782400
2006-12-05,44.39,44.55,44.19,44.42,84697500
2006-12-06,44.28,44.4,44.07,44.26,78207500
2006-12-07,44.34,44.48,43.7,43.7,124936100
2006-12-08,43.56,44.26,43.47,43.9,133798700
2006-12-11,43.83,44.37,43.75,44.060001,72931300
2006-12-12,44.049999,44.13,43.56,43.8,110985900
2006-12-13,44.099998,44.11,43.62,43.88,79035500
2006-12-14,43.97,44.57,43.94,44.37,109104200
2006-12-15,44.68,44.76,44.35,44.43,99942300
2006-12-18,44.58,44.75,43.8,43.99,121588700
2006-12-19,43.65,44.060001,43.38,43.85,136535200
2006-12-20,43.9,44.11,43.67,43.69,67213400
2006-12-21,43.74,43.79,43.21,43.38,102952300
2006-12-22,43.4,43.41,42.93,42.93,92858600
2006-12-26,42.93,43.12,42.88,43.11,50848600
2006-12-27,43.21,43.4,43.099998,43.33,54129200
2006-12-28,43.2,43.38,43.049999,43.12,69016000
2006-12-29,43.19,43.61,43.12,43.16,75152500
2007-01-03,43.46,44.060001,42.52,43.24,167689500
2007-01-04,43.3,44.21,43.15,44.060001,136853500
2007-01-05,43.95,43.95,43.48,43.85,138958800
2007-01-08,43.89,44.12,43.64,43.88,106401600
2007-01-09,44.0099983,44.29,43.63,44.099998,121577500
2007-01-10,43.96,44.66,43.82,44.62,121070100
2007-01-11,44.71,45.24,44.65,45.080002,174029800
2007-01-12,45.02,45.35,44.97,45.31,104217300
2007-01-16,45.35,45.4,45.13,45.28,95690500
2007-01-17,45.09,45.29,44.83,44.91,127142600
2007-01-18,44.79,44.84,43.95,44.080002,189029800
