date,open,high,low,close,volume
2006-10-05,28.73274,28.95207,28.55402,28.65963,10687542
2006-10-06,28.57027,28.60276,28.48903,28.56215,6333126
2006-10-09,28.55402,28.684,28.45654,28.64338,4485395
2006-10-10,28.69212,28.73274,28.56215,28.64338,6821710
2006-10-11,28.23721,28.64338,28.23721,28.57027,7388216
2006-10-12,28.62713,28.77336,28.62713,28.72461,6476045
2006-10-13,28.64338,28.83022,28.64338,28.83022,4953544
2006-10-16,28.73274,28.75711,28.63526,28.67587,6320200
2006-10-17,28.6515,28.74899,28.52965,28.67587,6891754
2006-10-18,28.79773,28.91145,28.58652,28.75711,7018177
2006-10-19,28.70837,28.70837,28.44029,28.57027,8025012
2006-10-20,28.57027,28.57839,28.41592,28.53777,8718681
2006-10-23,28.44842,28.76523,28.43217,28.72461,4841769
2006-10-24,28.66775,28.72461,28.57839,28.71649,3734362
2006-10-25,28.74899,28.83834,28.62713,28.83834,5660261
2006-10-26,28.88708,29.049553,28.75711,29.04143,11989201
2006-10-27,29.00081253,29.00081253,28.74086,28.8221,5312134
2006-10-30,28.78148,28.91958,28.73274,28.83022,9933801
2006-10-31,28.91145,28.98457,28.78148,28.78148,9728224
2006-11-01,28.91145,28.9602,28.5459,28.60276,11319784
2006-11-02,28.57839,28.62713,28.43217,28.52153,4528357
2006-11-03,28.61089,28.67587,28.38343,28.52153,4709191
2006-11-06,28.59464,28.89521,28.53777,28.85459,9460727
2006-11-07,28.87896,29.025183,28.86271,28.91958,4722239
2006-11-08,28.79773,29.090172,28.79773,29.04143,3910518
2006-11-09,29.04143,29.04143,28.79773,28.84647,4959084
2006-11-10,28.9277,29.082047,28.87896,29.082047,6402431
2006-11-13,28.95207,29.17141,28.95207,29.049553,4200541
2006-11-14,28.98457,29.25264,28.87084,29.22015,7786321
2006-11-15,29.17141,29.25264,29.12267,29.17953,4036203
2006-11-16,29.37449,29.46385,29.26076,29.46385,11170217
2006-11-17,29.39886,29.39886,29.24452,29.24452,12754637
2006-11-20,29.32575,29.48822,29.29326,29.43136,13273750
2006-11-21,29.4476,29.4476,29.31763,29.38262,4275632
2006-11-22,29.38262,29.48822,29.30138,29.41511,2484035
2006-11-24,29.24452,29.36637,29.2039,29.26889,2504100
2006-11-27,29.27701,29.27701,28.80585,28.81397,9614110
2006-11-28,28.87084,28.91958,28.67587,28.86271,8988270
2006-11-29,28.9602,29.13079,28.87896,29.04143,5148781
2006-11-30,28.95207,29.13079,28.84647,28.98457,4428276
2006-12-01,28.96832,29.057676,28.61901,28.81397,10386439
2006-12-04,28.91958,29.26889,28.90333,29.22015,8233544
2006-12-05,29.24452,29.37449,29.13891,29.35825,10037943
2006-12-06,29.342,29.43948,29.32575,29.39886,3267566
2006-12-07,29.45573,29.57758,29.27701,29.32575,5468471
2006-12-08,29.26076,29.4801,29.22015,29.41511,6413387
2006-12-11,29.4801,29.63444,29.46385,29.57758,10900874
2006-12-12,29.48822,29.65069,29.4476,29.60195,7699043
2006-12-13,29.65069,29.7563,29.5857,29.63444,4945666
2006-12-14,29.64257,29.88627,29.59383,29.88627,7145586
2006-12-15,29.83753,29.85378,29.67506,29.73192,8292755
2006-12-18,29.82128,29.94314,29.78067,29.87815,6471367
2006-12-19,29.78067,29.92689,29.70756,29.85378,13315481
2006-12-20,29.88627,29.95938,29.76442,29.95126,5199498
2006-12-21,29.97563,30.0081234,29.79691,29.82128,6326109
2006-12-22,29.81316,29.82128,29.59383,29.67506,4097137
2006-12-26,29.73192,29.94314,29.71568,29.94314,5110497
2006-12-27,30.032494,30.17059,30.016247,30.15435,5211439
2006-12-28,30.089357,30.17059,29.96751,30.016247,8430380
2006-12-29,29.98375,30.056864,29.82941,29.84565,4283265
2007-01-03,30.02437,30.21121,29.76442,29.99188,9365079
2007-01-04,29.97563,29.99188,29.76442,29.8944,6646292
2007-01-05,29.81316,29.87815,29.60195,29.65881,7977372
2007-01-08,29.66694,29.81316,29.47197,29.78879,4427415
2007-01-09,29.78879,29.90252,29.57758,29.74005,5997309
2007-01-10,29.59383,29.8619,29.5857,29.83753,3614216
2007-01-11,29.84565,30.02437,29.82128,30.02437,4623513
2007-01-12,29.91064,30.089357,29.91064,30.056864,8028582
2007-01-16,30.056864,30.1381,30.016247,30.1381,5315827
2007-01-17,30.097483,30.18684,29.99188,30.056864,4927693
2007-01-18,30.11373,30.1381,29.91876,29.93501,5029004
2007-01-19,29.97563,30.04874,29.91064,30.02437,4202880
2007-01-22,30.056864,30.089357,29.91876,30.0,5728582
