date,open,high,low,close,volume
2006-10-05,17.23,17.465,17.16,17.205,7106400
2006-10-06,17.135,17.18,17.035,17.11,11096000
2006-10-09,17.09,17.14,17.01,17.094999,6039800
2006-10-10,17.11,17.22,17.040001,17.22,7317200
2006-10-11,17.195,17.285,17.155,17.26,6087200
2006-10-12,17.3,17.3,17.185,17.255,10996600
2006-10-13,17.23,17.29,17.18,17.275,7140400
2006-10-16,17.225,17.36,17.225,17.36,6296000
2006-10-17,17.355,17.49,17.235,17.435,9282400
2006-10-18,17.71,17.71,17.465,17.625,4493200
2006-10-19,17.665,17.745,17.6,17.695,5627200
2006-10-20,17.82,17.83,17.685,17.805,5364800
2006-10-23,17.8,17.89,17.66,17.825,9150000
2006-10-24,17.845,17.87,17.76,17.84,6332800
2006-10-25,17.805,18.08,17.805,18.030001,17519600
2006-10-26,18.075001,18.075001,17.915,17.95,8186600
2006-10-27,17.9,17.95,17.84,17.885,5731000
2006-10-30,17.87,17.935,17.825,17.875,5614400
2006-10-31,17.875,17.945,17.83,17.895,5779000
2006-11-01,17.97,18.065001,17.925,18.0049992,13786800
2006-11-02,17.93,18.02,17.845,17.92,7131600
2006-11-03,17.995,17.995,17.715,17.79,10295800
2006-11-06,17.8,17.8,17.605,17.71,13867800
2006-11-07,17.715,17.845,17.63,17.65,10324400
2006-11-08,17.635,17.9,17.62,17.825,8084400
2006-11-09,17.81,17.9,17.7,17.82,15956200
2006-11-10,17.83,17.965,17.83,17.955,5819000
2006-11-13,17.99,18.02,17.93,17.95,4510200
2006-11-14,17.98,18.035,17.9,17.995,7564200
2006-11-15,18.0,18.0,17.92,17.935,6539600
2006-11-16,17.98,18.09,17.96,18.0,7460000
2006-11-17,18.135,18.14,17.94,18.02,3571200
2006-11-20,18.025,18.045,17.96,17.96,2093400
2006-11-21,17.975,18.014999,17.935,17.99,1950600
2006-11-22,17.965,18.075001,17.965,18.030001,3316000
2006-11-24,18.075001,18.1,18.02,18.1,592800
2006-11-27,18.075001,18.09,17.875,17.9,4694800
2006-11-28,17.91,18.07,17.82,18.030001,3828600
2006-11-29,18.11,18.28,18.059999,18.255,6338800
2006-11-30,18.275,18.37,18.21,18.37,5285800
2006-12-01,18.37,18.43,18.28,18.36,5054800
2006-12-04,18.44,18.59,18.365,18.505,3972400
2006-12-05,18.58,18.695,18.525,18.55,8059600
2006-12-06,18.615,18.625,18.455,18.46,3987400
2006-12-07,18.495,18.575,18.395,18.44,6034600
2006-12-08,18.41,18.47,18.31,18.385,3972400
2006-12-11,18.405,18.485,18.385,18.485,3794000
2006-12-12,18.52,18.57,18.445,18.555,5601600
2006-12-13,18.595,18.64,18.52,18.625,3572000
2006-12-14,18.565,18.72,18.565,18.655,5976800
2006-12-15,18.55,18.585,18.43,18.47,5525600
2006-12-18,18.47,18.5,18.31,18.34,3792400
2006-12-19,18.28,18.475,18.24,18.42,4836200
2006-12-20,18.425,18.475,18.355,18.36,2092000
2006-12-21,18.375,18.42,18.265,18.35,8272800
2006-12-22,18.3,18.365,18.24,18.285,5183400
2006-12-26,18.28,18.41,18.25,18.375,2786600
2006-12-27,18.445,18.505,18.41,18.475,2894800
2006-12-28,18.55,18.55,18.365,18.365,2822400
2006-12-29,18.405,18.405,18.3,18.36,2627000
2007-01-03,18.205,18.55,18.205,18.41,8458600
2007-01-04,18.43,18.47,18.335,18.385,5916800
2007-01-05,18.335,18.335,17.995,18.055,7569000
2007-01-08,17.985,18.11,17.965,18.045,4830000
2007-01-09,17.97,18.09,17.935,18.059999,4684200
