PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,pe_5y_incomplete,months_available,ticker
43.73,70.41,28.57,26.67,fair,True,45,AMZN
223.45,461.44,94.03,2.22,cheap,True,45,ONON
166.92,224.12,136.0,75.0,fair,True,12,OSCR
73.31,124.34,21.8,7.02,cheap,True,57,BSX
216.84,558.79,52.39,14.04,cheap,True,57,NOW
,,,,,n/a,8,PATH
32.51,76.36,8.6,3.57,cheap,True,56,LULU
,,,,,n/a,6,CRCL
3.81,8.71,2.02,27.45,fair,True,51,MNSO
,,,,,n/a,0,ASTS
231.09,484.84,28.54,33.33,fair,True,21,MNDY
33.13,43.29,20.72,19.61,cheap,True,51,MSFT
22.9,40.23,4.12,10.42,cheap,True,48,CNC
2.71,5.19,1.42,14.04,cheap,True,57,XP
0.0,0.0,0.0,100.0,expensive,True,57,EC
26.55,81.33,5.45,77.19,expensive,True,57,PFE
36.65,66.26,12.25,12.07,cheap,True,58,ADBE
30.9,51.5,7.71,3.51,cheap,True,57,FISV
283.7,893.0,11.1,24.24,cheap,True,33,DUOL
,,,,,n/a,0,TEAM
37.54,63.04,21.87,3.85,cheap,True,52,ORCL
176.37,809.09,30.39,35.09,fair,True,57,MELI
24.02,74.84,8.7,96.49,expensive,True,57,CVS
153.34,736.19,2.24,68.89,fair,True,45,COIN
41.42,72.41,15.15,21.05,cheap,True,57,NFLX
25.62,45.34,14.46,78.95,expensive,True,57,CAKE
24.05,45.93,12.82,3.7,cheap,True,54,DECK
24.77,38.91,16.71,85.96,expensive,True,57,MDLZ
,,,,,n/a,0,RKLB
,,,,,n/a,0,MDB
2.82,8.96,1.08,60.0,fair,True,45,JD
43.59,131.59,15.05,28.07,fair,True,57,DLO
20.02,44.6,4.27,87.72,expensive,True,57,OXY
27.11,35.69,15.02,5.77,cheap,True,52,NKE
87.31,512.56,9.05,89.47,expensive,True,57,KER.PA
31.11,51.21,15.59,95.56,expensive,True,45,ABNB
38.61,69.39,22.12,18.18,cheap,True,33,NU
21.99,53.1,7.91,15.79,cheap,True,57,PYPL
,,,,,n/a,9,GRAB
27.65,80.98,10.36,76.92,expensive,True,52,LW
3.8,13.23,1.09,10.53,cheap,True,57,PDD
8.77,14.33,4.19,10.42,cheap,True,48,CROX
147.52,363.87,23.04,70.18,fair,True,57,AMD
18.34,25.94,9.86,41.07,fair,True,56,DG
40.49,86.53,25.14,40.35,fair,True,57,BKNG
479.9,2157.12,40.02,45.45,fair,True,44,WDAY
92.62,281.95,31.07,32.14,fair,True,56,NVDA
266.82,1254.98,19.96,12.5,cheap,True,56,CRM
51.99,66.0,35.49,3.51,cheap,True,57,RMS.PA
4.04,9.34,1.2,73.68,fair,True,57,BIDU
26.89,39.95,16.73,5.26,cheap,True,57,DPZ
38.01,44.94,29.87,21.05,cheap,True,57,MA
53.13,75.33,27.74,12.28,cheap,True,57,CMG
27.15,54.28,13.64,92.98,expensive,True,57,HSY
78.93,248.09,13.09,62.5,fair,True,32,DOCU
15.99,29.64,7.45,100.0,expensive,True,45,MMM
25.82,39.39,16.62,87.72,expensive,True,57,GOOG
2.32,7.43,0.93,10.53,cheap,True,57,PAGS
55.43,78.13,18.89,8.0,cheap,True,50,INTU
4.86,8.31,1.59,8.77,cheap,True,57,NVO
61.65,153.99,13.99,13.33,cheap,False,60,DIS
25.44,37.89,6.66,28.07,fair,True,57,META
30.61,45.27,13.4,83.93,expensive,True,56,FIVE
121.2,188.63,43.25,53.33,fair,True,15,IREN
446.18,2086.37,32.94,60.0,fair,True,45,CELH
19.44,26.62,13.48,53.57,fair,True,56,ULTA
139.51,382.24,30.64,87.72,expensive,True,57,TSLA
60.21,153.59,9.69,100.0,expensive,True,36,MP
24.99,31.05,17.69,14.04,cheap,True,57,MC.PA
2.21,3.54,1.07,4.76,cheap,True,21,STNE
2.91,4.01,2.02,50.88,fair,True,57,ABEV
18.86,34.51,10.47,100.0,expensive,True,59,DE
20.08,25.91,15.1,85.96,expensive,True,57,MNST
142.26,383.71,38.46,51.52,fair,True,33,WIX
31.9,41.65,21.11,96.67,expensive,False,60,AAPL
76.43,312.7,11.61,31.58,fair,True,57,GPN
3.06,4.92,2.05,37.04,fair,True,54,BABA
18.5,24.71,10.59,53.33,fair,True,45,BMY
15.34,41.33,5.42,22.81,cheap,True,57,TEP.PA
,,,,,n/a,0,OKLO
45.86,80.43,28.93,98.25,expensive,True,57,ASML
31.69,78.43,11.74,7.02,cheap,True,57,EPAM
14.46,23.86,7.85,78.95,expensive,True,57,DVA
34.54,65.01,20.97,100.0,expensive,False,60,SBUX
30.75,46.96,17.58,10.71,cheap,True,56,OLLI
63.24,113.39,25.45,52.38,fair,True,21,HIMS
29.96,60.61,16.71,71.11,fair,True,45,EXPE
26.01,33.68,18.83,26.32,fair,True,57,PEP
28.59,56.44,16.48,95.56,expensive,True,45,ETSY
53.46,113.5,18.23,42.11,fair,True,57,SAP
