Ticker,Name,Sector,Industry,Strategy,Active,Currency,FX_to_USD,verify_fx_handling,Price,Price_USD,EMA_20,EMA_50,EMA_200,RSI_14,ATR_14,Dist_EMA_20_pct,Risk_Score,Date,Market_Cap_B_USD,EV_B,Revenue_B,Net_Income_B,EBITDA_B,FCF_B,ROE_pct,ROA_pct,ROIC_pct,PE,PB,EV_EBITDA,EV_Sales,DE,Current_Ratio,FCF_Yield_pct
AAPL,Apple Inc.,Technology services,Consumer electronics,Core,TRUE,USD,1.0,false,308.08,308.08,311.86602199719454,309.2742085465779,283.1491877966864,54.65441470235716,5.956328571428563,-1.228908724095869,25.0,2026-08-21,4622.65,4666.61,416.16,112.01,144.75,98.77,151.91,31.18,113.05,41.12,62.69,32.24,11.21,1.34,0.89,2.14
ABEV,Ambev SA,Consumer non-durables,Beverages: alcoholic,,TRUE,BRL,0.18,true,2.855,0.513,2.912737059977992,3.0011464633811005,2.886946482757596,25.925925925925924,0.0585714285714286,-2.022313834605653,27.0,2026-08-21,8.06,27.84,88.24,15.5,29.15,19.86,17.46,10.69,31.07,2.88,0.5,0.96,0.32,0.04,0.96,44.35
ABNB,"Airbnb, Inc.",Consumer services,Hotels/Resorts/Cruise lines,Especulativa,TRUE,USD,1.0,false,187.614,187.61,172.53637215595435,158.4114019999418,140.91744026204682,80.92298942860964,6.513886428571431,8.036515315512515,28.75,2026-08-21,116.88,107.94,12.24,2.51,2.54,4.65,30.63,11.31,-340.11,45.8,14.26,42.43,8.82,0.25,1.38,3.97
ADBE,Adobe Inc.,Technology services,Packaged software,Core,TRUE,USD,1.0,false,272.59,272.59,258.482024220795,246.4872539212104,272.0000505483037,62.749592013055576,9.792349999999988,5.1755294688744975,25.0,2026-08-21,116.4,116.45,23.77,7.13,9.52,9.85,61.34,24.17,74.56,16.29,10.01,12.23,4.9,0.57,1.0,8.46
AMD,"Advanced Micro Devices, Inc.",Electronic technology,Semiconductors,Core,TRUE,USD,1.0,false,471.465,471.46,487.7416873473667,485.4524915151732,364.0562153076862,46.62637953550304,22.83357142857144,-3.452363875869196,25.0,2026-08-21,771.32,764.61,34.64,4.33,6.7,6.74,6.88,5.64,6.56,176.62,12.24,114.16,22.07,0.06,2.85,0.87
AMZN,"Amazon.com, Inc.",Retail trade,Internet retail,Core,TRUE,USD,1.0,false,260.20001,260.2,261.2512187398257,255.065513431988,240.49708191037345,22.80983841366464,5.913257142857134,-0.4040002688030849,27.0,2026-08-21,2817.19,2847.14,716.92,77.67,145.73,7.7,18.89,9.49,18.13,35.7,6.85,19.54,3.97,0.37,1.05,0.27
ASML,ASML Holding NV,Electronic technology,Semiconductors,Core,TRUE,EUR,1.1,true,1754.524,1929.9720000000002,1762.8606021069445,1735.079780000852,1474.1574834367646,61.74183971283839,56.409639285714256,-0.4751489353775944,25.0,2026-08-21,750.56,673.4,32.67,9.61,12.33,-1.63,49.0,19.0,105.81,70.93,34.79,54.63,20.61,0.22,1.26,-0.24
ASTS,"AST SpaceMobile, Inc.",Communications,Specialty telecommunications,Especulativa,TRUE,USD,1.0,false,67.55,67.55,67.58370851415012,71.40207747793669,75.04773166044691,54.79004621265427,4.8583857142857125,-0.0499015753517698,25.0,2026-08-21,17.29,17.2,0.07,-0.34,-0.24,-1.19,-14.29,-6.82,-12.53,-50.57,7.23,-72.68,242.47,0.94,16.35,-6.9
BABA,Alibaba Group Holding Limited,Retail trade,Internet retail,Core,TRUE,CNY,0.14,true,120.87,16.9218,123.76378405937356,120.8623627201976,129.5663426280504,41.242173117857206,4.206429285714284,-2.3941292788728044,25.0,2026-08-21,40.69,255.44,1023.67,103.59,106.78,-50.72,9.2,5.42,5.47,2.71,0.26,2.39,0.25,0.25,1.28,-17.45
BIDU,BIDU,Technology services,Internet media,,TRUE,CNY,0.14,true,93.32,13.0648,102.88413512961073,109.3402356384324,117.20357022707576,8.354430379746788,3.134050000000001,-10.24875174626095,30.25,2026-08-21,4.48,13.82,129.08,5.59,31.72,-16.43,1.93,1.24,3.82,5.69,0.11,0.44,0.11,0.34,1.76,-51.33
