Ticker,Shares,Avg_Cost,Buy_Date,Account,Notes
BTC-USD,0.01845119,65036.45564,2026-08-17,Quantfury,Core
XRP-USD,107.1340938,2.800229034,2026-08-17,Quantfury,
BKNG,2,151.93,2026-08-17,Quantfury,Core
UBER,13,68.69692308,2026-08-17,Quantfury,Core
IREN,12,47.36166667,2026-08-17,Quantfury,Especulativa
EC,7,14.69,2026-08-17,Quantfury,
WDAY,2,191.705,2026-08-17,Quantfury,
NOW,2,96.055,2026-08-17,Quantfury,Core
NFLX,9,74.80222222,2026-08-17,Quantfury,
DUOL,1,133.13,2026-08-17,Quantfury,Especulativa
TLT,56,84.35714286,2026-08-17,Quantfury,
SQM,7,60.16571429,2026-08-17,Quantfury,
MSFT,3,367.46,2026-08-17,Quantfury,Core
INTU,2,312.705,2026-08-17,Quantfury,
ADBE,15,277.832,2026-08-17,Quantfury,Core
CRM,6,180.64,2026-08-17,Quantfury,
SE,14,85.18857143,2026-08-17,Quantfury,Core
MELI,2,1586.555,2026-08-17,Quantfury,Core
FISV,5,51.332,2026-08-17,Quantfury,Especulativa
CRCL,14,60.28714286,2026-08-17,Quantfury,Especulativa
COIN,6,211.8883333,2026-08-17,Quantfury,Core
EPAM,46,113.8134783,2026-08-17,Quantfury,
NKE,12,61.1475,2026-08-17,Quantfury,
LULU,12,159.315,2026-08-17,Quantfury,
ONON,17,31.08176471,2026-08-17,Quantfury,
PDD,15,97.16466667,2026-08-17,Quantfury,
BABA,4,96.8875,2026-08-17,Quantfury,Core
JD,50,32.3746,2026-08-17,Quantfury,Especulativa
XP,72,16.14527778,2026-08-17,Quantfury,
PAGS,247,8.948704453,2026-08-17,Quantfury,Core
NU,84,13.00238095,2026-08-17,Quantfury,
DLO,412,12.15521845,2026-08-17,Quantfury,Core
SHAK,101,71.30415842,2026-08-17,Quantfury,Core
OLLI,6,75.125,2026-08-17,Quantfury,
CMG,39,31.28358974,2026-08-17,Quantfury,Core
DPZ,1,299.97,2026-08-17,Quantfury,Core
CELH,20,30.0625,2026-08-17,Quantfury,Especulativa
ZTS,15,76.138,2026-08-17,Quantfury,
BSX,2,43,2026-08-17,Quantfury,
HIMS,28,25.74428571,2026-08-17,Quantfury,Especulativa
NVO,72,44.23861111,2026-08-17,Quantfury,Core
RMS.PA,3,1588.333333,2026-08-17,Quantfury,Core
MC.PA,6,456.4716667,2026-08-17,Quantfury,
