Ticker,ROIC_Symbol,Sector,Industry,Name,Strategy,Active
ABBV,NYSE:ABBV,Health technology,Pharmaceuticals: major,AbbVie Inc.,Core,True
ABEV,NYSE:ABEV,Consumer non-durables,Beverages: alcoholic,Ambev SA,Core,True
ABNB,NASDAQ:ABNB,Consumer services,Hotels/Resorts/Cruise lines,"Airbnb, Inc.",Core,True
ADBE,NASDAQ:ADBE,Technology services,Packaged software,Adobe Inc.,Core,True
AMD,NASDAQ:AMD,Electronic technology,Semiconductors,"Advanced Micro Devices, Inc.",Core,True
AMT,NYSE:AMT,Finance,Real estate investment trusts,American Tower Corporation (REIT),Core,True
AMZN,NASDAQ:AMZN,Retail trade,Internet retail,"Amazon.com, Inc.",Core,True
ARRY,NASDAQ:ARRY,Producer manufacturing,Electrical products,"Array Technologies, Inc.",Core,True
ASML,NASDAQ:ASML,Electronic technology,Semiconductors,ASML Holding NV,Core,True
ASTS,NASDAQ:ASTS,Communications,Specialty telecommunications,"AST SpaceMobile, Inc.",Core,True
BA,NYSE:BA,Electronic technology,Aerospace & defense,Boeing Company (The),Core,True
BABA,NYSE:BABA,Retail trade,Internet retail,Alibaba Group Holding Limited,Core,True
BAX,NYSE:BAX,Health technology,Medical specialties,Baxter International Inc.,Core,True
BHP,NYSE:BHP,Non-energy minerals,Steel,BHP Group Ltd,Core,True
BIDU,NYSE:BIDU,Technology services,Internet media,,Core,True
BKNG,NASDAQ:BKNG,Consumer services,Other consumer services,Booking Holdings Inc. Common Stock,Core,True
BMY,NYSE:BMY,Health technology,Pharmaceuticals: major,Bristol-Myers Squibb Company,Core,True
BN,NYSE:BN,Finance,Investment managers,Brookfield Corporation,Core,True
BSX,NYSE:BSX,Health technology,Medical specialties,Boston Scientific Corporation,Core,True
CAKE,NYSE:CAKE,Consumer services,Restaurants,,Core,True
CAT,NYSE:CAT,Producer manufacturing,Trucks/Construction/Farm machinery,"Caterpillar, Inc.",Core,True
CELH,NASDAQ:CELH,Consumer non-durables,Beverages: non-alcoholic,"Celsius Holdings, Inc.",Core,True
CLF,NYSE:CLF,Non-energy minerals,Steel,Cleveland-Cliffs Inc.,Core,True
CMG,NYSE:CMG,Consumer services,Restaurants,"Chipotle Mexican Grill, Inc.",Core,True
CNC,NYSE:CNC,Health services,Managed health care,Centene Corporation,Core,True
COIN,NASDAQ:COIN,Finance,Investment banks/Brokers,"Coinbase Global, Inc.",Core,True
COST,NYSE:COST,Retail trade,Discount chains,,Core,True
CRCL,NASDAQ:CRCL,Health technology,Medical appliances,,Core,True
CRM,NYSE:CRM,Technology services,Packaged software,"Salesforce, Inc.",Core,True
CROX,NASDAQ:CROX,Consumer non-durables,Apparel/Footwear,"Crocs, Inc.",Core,True
CVS,NYSE:CVS,Retail trade,Drugstore chains,CVS Health Corporation,Core,True
CVX,NYSE:CVX,Energy minerals,Integrated oil,Chevron Corporation,Core,True
DAVA,NASDAQ:DAVA,Technology services,Data processing services,,Core,True
DE,NYSE:DE,Producer manufacturing,Trucks/Construction/Farm machinery,Deere & Company,Core,True
DECK,NYSE:DECK,Consumer non-durables,Apparel/Footwear,Deckers Outdoor Corporation,Core,True
DG,NYSE:DG,Retail trade,Discount stores,Dollar General Corporation,Core,True
DIS,NYSE:DIS,Consumer services,Movies/Entertainment,Walt Disney Company (The),Core,True
DLO,NASDAQ:DLO,Technology services,Packaged software,DLocal Limited,Core,True
DOCU,NASDAQ:DOCU,Technology services,Packaged software,"DocuSign, Inc.",Core,True
DPZ,NASDAQ:DPZ,Consumer services,Restaurants,Domino's Pizza Inc,Core,True
DUK,NYSE:DUK,Utilities,Electric utilities,,Core,True
DUOL,NASDAQ:DUOL,Technology services,Packaged software,"Duolingo, Inc.",Core,True
DVA,NYSE:DVA,Health services,Medical/Nursing services,DaVita Inc.,Core,True
EC,NYSE:EC,Energy minerals,Integrated oil,Ecopetrol SA,Core,True
EPAM,NYSE:EPAM,Technology services,Information technology services,"EPAM Systems, Inc.",Core,True
ETSY,NYSE:ETSY,Retail trade,Internet retail,"Etsy, Inc.",Core,True
EXPE,NASDAQ:EXPE,Consumer services,Other consumer services,"Expedia Group, Inc.",Core,True
FISV,NASDAQ:FISV,Commercial services,Miscellaneous commercial services,"Fiserv, Inc.",Core,True
FIVE,NASDAQ:FIVE,Retail trade,Discount stores,"Five Below, Inc.",Core,True
FTNT,NASDAQ:FTNT,Technology services,Information technology services,"Fortinet, Inc.",Core,True
GE,NYSE:GE,Electronic technology,Aerospace & defense,GE Aerospace,Core,True
GLBE,NASDAQ:GLBE,Retail trade,Internet retail,Global-E Online Ltd.,Core,True
GLOB,NASDAQ:GLOB,Technology services,IT consulting,,Core,True
GOOG,NYSE:GOOG,Technology services,Internet media,,Core,True
GPN,NASDAQ:GPN,Finance,Transaction & payment processing,,Core,True
GPRK,NYSE:GPRK,Energy minerals,Oil & gas production,Geopark Ltd,Core,True
GRAB,NASDAQ:GRAB,Transportation,Air freight/Couriers,Grab Holdings Limited,Core,True
GS,NYSE:GS,Finance,Investment banks,,Core,True
HIMS,NASDAQ:HIMS,Health technology,Pharmaceuticals: other,,Core,True
HRL,NYSE:HRL,Consumer non-durables,Food: meat/fish/dairy,Hormel Foods Corporation,Core,True
HSY,NYSE:HSY,Consumer non-durables,Food: specialty/candy,The Hershey Company,Core,True
IGV,NASDAQ:IGV,Technology services,ETF,,Core,True
ILF,NASDAQ:ILF,Finance,Latin America ETF,,Core,True
INFY,NYSE:INFY,Technology services,Information technology services,Infosys Limited,Core,True
INTC,NASDAQ:INTC,Electronic technology,Semiconductors,,Core,True
INTU,NASDAQ:INTU,Technology services,Packaged software,Intuit Inc.,Core,True
IRDM,NASDAQ:IRDM,Communications,Specialty telecommunications,Iridium Communications Inc,Core,True
IREN,NASDAQ:IREN,Technology services,Data processing services,IREN Limited,Core,True
JD,NYSE:JD,Retail trade,Internet retail,,Core,True
JNJ,NYSE:JNJ,Health technology,Pharmaceuticals: major,Johnson & Johnson,Core,True
JOBY,NASDAQ:JOBY,Transportation,Air transportation,,Core,True
KER.PA,EURONEXT:KER,Consumer non-durables,Consumer sundries,Kering SA,Core,True
KHC,NASDAQ:KHC,Consumer non-durables,Food: major diversified,The Kraft Heinz Company,Core,True
KO,NYSE:KO,Consumer non-durables,Beverages: non-alcoholic,Coca-Cola Company (The),Core,True
KTOS,NASDAQ:KTOS,Electronic technology,Aerospace & defense,"Kratos Defense & Security Solutions, Inc.",Core,True
LIN,NYSE:LIN,Non-energy minerals,Chemicals: Specialty,,Core,True
LLY,NYSE:LLY,Health technology,Pharmaceuticals: major,Eli Lilly and Company,Core,True
LULU,NASDAQ:LULU,Consumer non-durables,Apparel/Footwear,lululemon athletica inc.,Core,True
LW,NYSE:LW,Consumer non-durables,Food: specialty/candy,"Lamb Weston Holdings, Inc.",Core,True
MA,NYSE:MA,Finance,Finance/Rental/Leasing,Mastercard Incorporated,Core,True
MC.PA,EURONEXT:MC,Consumer non-durables,Apparel/Footwear,LVMH Moet Hennessy Louis Vuitton SE,Core,True
MDB,NASDAQ:MDB,Technology services,Packaged software,"MongoDB, Inc.",Core,True
MDLZ,NASDAQ:MDLZ,Consumer non-durables,Food: specialty/candy,"Mondelez International, Inc.",Core,True
MELI,NASDAQ:MELI,Retail trade,Internet retail,"MercadoLibre, Inc.",Core,True
META,NASDAQ:META,Technology services,Internet software/Services,"Meta Platforms, Inc.",Core,True
MMM,NYSE:MMM,Producer manufacturing,Industrial conglomerates,3M Company,Core,True
MNDY,NASDAQ:MNDY,Technology services,Packaged software,monday.com Ltd.,Core,True
MNSO,NYSE:MNSO,Retail trade,Specialty stores,MINISO Group Holding Ltd.,Core,True
MNST,NASDAQ:MNST,Consumer non-durables,Beverages: non-alcoholic,Monster Beverage Corporation,Core,True
